site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Former Liskeard Enterprise Centre Liskeard PL14 4BW,,,2017-12-12,,0.39,15,10,,local-authority-eng:CON,not owned by a public authority,,http://planning.cornwall.gov.uk/online-applications/,not permissioned,,POINT(-4.465671 50.451009),BR1,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR1
Land to rear Old County Hall Truro TR1 3HA,,,2019-12-12,,0.58,40,20,,local-authority-eng:CON,mixed ownership,,http://planning.cornwall.gov.uk/online-applications/,not permissioned,,POINT(-5.064684 50.262187),BR2,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR2
Forge Industrial Park North Roskear Camborne TR14 0AW,,,2017-12-12,,0.47,35,25,,local-authority-eng:CON,not owned by a public authority,,http://planning.cornwall.gov.uk/online-applications/,not permissioned,,POINT(-5.288859 50.223965),BR4,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR4
Land at North Roskear Road Camborne TR14 8PR,yes,,2018-12-12,,0.5,30,15,,local-authority-eng:CON,not owned by a public authority,,http://planning.cornwall.gov.uk/online-applications/,not permissioned,,POINT(-5.283996 50.221763),BR5,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR5
Site Adj To Tuckingmill Apartments Maynes Row Tuckingmill TR14 8QP,yes,10/01/2020,2020-12-12,,0.1,5,5,five x 2 bedroom dwellings. five x 2 bedroom dwellings,local-authority-eng:CON,not owned by a public authority,2017-01-10,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-5.279919 50.223444),BR14,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR14
The Garden Sports and Leisure Club 10 Antony Road Torpoint PL11 2JW,yes,17/03/2020,2020-12-12,,0.11,26,26,26 residential units. 26 residential units,local-authority-eng:CON,mixed ownership,2017-03-17,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.198286 50.376813),BR16,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR16
The Harbour Lights 1 Fore Street Torpoint PL11 2AA,yes,29/03/2020,2020-12-12,,0.05,10,10,6 no. 2 bed flats and extension of 1 Fore Street to form 5 no. new 1 and 2 bed flats. 6 no. 2 bed flats and extension of 1 Fore Street to form 5 no. new 1 and 2 bed flats,local-authority-eng:CON,not owned by a public authority,2017-03-29,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.19656 50.376603),BR17,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR17
St Michaels Hotel And Spa 7 Stracey Road Falmouth TR11 4NB,yes,,2017-12-12,,0.48,63,63,Erection of new multi-use resort building providing 56 residential apartments. Erection of new multi-use resort building providing 56 residential apartments,local-authority-eng:CON,not owned by a public authority,2018-07-06,http://planning.cornwall.gov.uk/online-applications/,permissioned,other,POINT(-5.067688 50.145331),BR18,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR18
Parc An Creet Garage Higher Stennack St Ives TR26 2HE,yes,31/03/2020,2020-12-12,,0.18,10,10,10 units. 10 units,local-authority-eng:CON,not owned by a public authority,2017-03-10,http://planning.cornwall.gov.uk/online-applications/,permissioned,reserved matters approval,POINT(-5.494009 50.207221),BR20,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR20
Orchard Walls Trewidden Road St Ives TR26 2BX,yes,11/03/2020,2020-12-12,,0.11,5,5,Outline application for six 3-bedroom apartments. Outline application for six 3-bedroom apartments,local-authority-eng:CON,not owned by a public authority,2017-02-23,http://planning.cornwall.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-5.48096 50.209169),BR21,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR21
Tenerife Tregay Lane Liskeard PL14 6RG,yes,11/12/2019,2020-12-12,,0.41,7,7,Demolition of existing dwelling and redevelopment of site to provide 8 two-storey dwellings. Demolition of existing dwelling and redevelopment of site to provide 8 two-storey dwellings,local-authority-eng:CON,not owned by a public authority,2017-02-17,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.458576 50.462529),BR22,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR22
Land East Of Narrowcliff Surgery To Rear Of Whitewater Hilgrove Road NewquayTR7 2RZ,yes,18/02/2019,2020-12-12,,0.72,46,46,46 residential units. 46 residential units,local-authority-eng:CON,not owned by a public authority,2017-03-16,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-5.066985 50.417923),BR24,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR24
8 Bank Street St Columb TR9 6AU,yes,,2017-12-12,,0.02,5,5,Conversion to six self contained flats. Conversion to six self contained flats,local-authority-eng:CON,not owned by a public authority,2017-01-31,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.939557 50.435913),BR25,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR25
Accommodation Hop & Vine Steak & Ale House 3 Market Street St Austell PL25 4BB,yes,23/03/2020,2020-12-12,,0.04,6,6,Change of use of PH and adjoining retail unit into six apartments. Change of use of PH and adjoining retail unit into six apartments,local-authority-eng:CON,not owned by a public authority,2017-03-23,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.791854 50.33867),BR29,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR29
3 St. Nicholas Street Bodmin Cornwall PL31 1AB,yes,28/01/2020,2020-12-12,,0.04,6,6,Conversion of public house to 6 self contained apartments. Conversion of public house to 6 self contained apartments,local-authority-eng:CON,not owned by a public authority,2016-07-25,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.718799 50.469771),BR33,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR33
Former Bus Garage & Depository Buildings Lansdown Road Bude Cornwall EX23 8BN,yes,,2017-12-12,,0.18,15,15,five town houses and ten flats. five town houses and ten flats,local-authority-eng:CON,not owned by a public authority,2016-04-26,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.542526 50.830216),BR34,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR34
North Cornwall Motorcycles Hospital Road Stratton Bude EX23 9BP,yes,25/10/2019,2020-12-12,,0.07,10,10,Demolition of building and erection of block of 10 flats. Demolition of building and erection of block of 10 flats,local-authority-eng:CON,not owned by a public authority,2016-06-01,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.516281 50.830734),BR35,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR35
Western Power Distribution Kings Hill Close Bude Cornwall EX23 8PQ,yes,,2017-12-12,,0.3,9,9,Construction of 9 x 3 bed dwellings. Construction of 9 x 3 bed dwellings,local-authority-eng:CON,not owned by a public authority,2016-07-08,http://planning.cornwall.gov.uk/online-applications/,permissioned,full planning permission,POINT(-4.541982 50.822816),BR36,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR36
Land SW Of Westland Countryside Stewards Kilkhampton Bude Cornwall,yes,,2018-12-12,,0.74,10,10,Redevelopment of existing brownfield site to provide 10 No dwellings. Redevelopment of existing brownfield site to provide 10 No dwellings,local-authority-eng:CON,not owned by a public authority,2018-06-11,http://planning.cornwall.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-4.487461 50.874495),BR37,https://map.cornwall.gov.uk/website/ccmap/?zoomlevel=1&xcoord=166583&ycoord=63854&wsName=ccmap&layerName=Brownfield%20register,2017-12-12,brownfield-land/local-authority-eng/CON/BR37
