site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"The Old Sorting Office, Charlton Green, Dover, CT16 1AP",yes,,2019-11-13,,0.69,65,65,"Erection of a two and three storey building incorporating 70 'Extra Care' apartments (C2 use) for older persons, communal facilities, parking and landscaping (existing building to be demolished) - work on site now under Construction",local-authority-eng:DOV,not owned by a public authority,2018-07-27,,permissioned,full planning permission,POINT(1.307303 51.13201),BR129-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=631489.0,142172.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR129-16
"Albany Place Car Park, Dover",yes,,2016-06-20,,0.4,15,15,Allocated in the Land Allocations Local Plan (LA4) on the 28/01/2015,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.311557 51.123533),BR130-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=631829.0,141243.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR130-16
"Coombe Valley, Dover",yes,,2016-06-20,,6.78,242,242,Allocated site - part of the site has already been granted permission. See BR60-16 and BR61-16 below. A third application on the Former Motorline Line Site in Coombe Valley has been completed https://planning.dover.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=DCAPR_213882. Min homes has been adjusted to take account of this,local-authority-eng:DOV,not owned by a public authority,,,permissioned,,POINT(1.282334 51.1315),BR133-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=629773.0,142032.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR133-16
"Land off Dunedin Drive, Dover",yes,,2016-06-20,,0.26,8,8,Allocated in the Land Allocations Local Plan (LA10) on 28/01/2015,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.302196 51.140772),BR135-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=631088.0,143130.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR135-16
"East Studdal Nursery, Downs Road, East Studdal",yes,,2019-11-13,,1,30,30,"Outline application for residential development (existing nursery buildings to be demolished retaining existing dwelling) (appearance, landscaping, layout and scale reserved) - Not started",local-authority-eng:DOV,not owned by a public authority,2019-05-15,,permissioned,outline planning permission,POINT(1.327922 51.19978),BR171-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=632590.0,149771.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR171-16
"Eastry Hospital, Mill Lane, Eastry",yes,,2019-11-13,,3.29,80,80,"Redevelopment of site to provide a total of 100 residential units comprising: two storey terrace, semi-detached and detached new build dwellings; Change of use and conversion of Tewkesbury House and the Chapel to provide 568 sq m of community space (Use Class D1) and employment space (Use Class B1) two residential units; minor demolition, alteration and conversion of the 'Old Workhouse' to provide ten residential units; retention and reinstatement of the fire damaged Range building and erection of a two-storey terrace of ten residential units' ; car parking, landscaping, public open space and alteration to existing access (Amended plans and documents) - not started",local-authority-eng:DOV,not owned by a public authority,2018-08-09,,permissioned,full planning permission,POINT(1.305426 51.243496),BR173-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=630800.0,154560.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR173-16
"The Old Chalk Pit, Heronden Road, Eastry",yes,,2016-06-20,,0.68,20,20,Allocated in the Land Allocations Local Plan (LA30) on the 28/01/2015,local-authority-eng:DOV,not owned by a public authority,,,Not Permissioned,,POINT(1.295737 51.242483),BR174-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=630129.0,154417.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR174-16
"Prima Windows, Easole Street, Nonington",yes,,2016-06-20,,1.14,35,35,Allocated in the Land Allocations Local Plan (LA41) on the 28/01/2015,local-authority-eng:DOV,not owned by a public authority,,,Not Permissioned,,POINT(1.240027 51.223837),BR181-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=626333.0,152171.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR181-16
"Connaught Barracks, Dover Road, Guston, CT16 1HL",yes,,2016-06-20,,10.12,300,300,"Allocated in Core Strategy (CP10) on the 24/02/2010 - Not Started Part of site under permission, the remainder of the site has planning application pending",local-authority-eng:DOV,owned by a public authority,,,permissioned,,POINT(1.319599 51.133623),BR219 -16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=632341.0,142390.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR219--16
"Buckland Paper Mill, Crabble Hill, Dover",yes,,2019-11-13,,4,150,150,Allocated in the Land Allocations Local Plan (LA9) on the 28/01/2015 - Approx third of the site has the benefit of full planning permission (BR62-16). The remainder of the site is an allocated site,local-authority-eng:DOV,owned by a public authority,,,Not Permissioned,,POINT(1.293016 51.138567),BR220-16,"https://maps.dover.gov.uk/webapps/Brownfield_Schema/?center=630457.0,142856.0,27700&scale=1000",2016-06-20,brownfield-land/local-authority-eng/DOV/BR220-16
