site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
4-6 Park Road North,yes,,2017-12-11,,0.02,8,8,"Change of use from A4 drinking establishement with 2nd floor flat to 8 student cluster flats (1 3B, 6 2B & 1 5B), basement conversion, external alterations, enclosed rear yard and front boundary fencing.",local-authority-eng:MDB,not owned by a public authority,2017-04-26,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OKUH5FKULQR00,permissioned,full planning permission,POINT(-1.23941 54.56699),BR10,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR10-4-6-Park-Road-North.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR10
"L/S Middlesbrough Dock, Middlehaven",,,2017-12-11,,1.89,48,40,,local-authority-eng:MDB,owned by a public authority,,,not permissioned,,POINT(-1.2241 54.57748),BR12,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR12-LS-Middlesbrough-Dock.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR12
"The Lawns, Marton",yes,18/06/2019,2017-12-11,,0.99,23,23,"Residential development comprising 23no dwellings (2,3 & 4 bed), landscaping and associated infrastructure. Site complete as of 18/6/19",local-authority-eng:MDB,not owned by a public authority,2017-08-14,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OM1FBAKU00300,permissioned,full planning permission,POINT(-1.20891 54.5422),BR26,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR26-The-Lawns.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR26
"Ford Close Riding School, Brass Castle Lane",yes,,2017-12-11,,0.97,11,9,Part of a larger allocated housing site with additional 4.47 ha of greenfield.,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,POINT(-1.16868 54.51911),BR28,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR28-Ford-Close-Riding-School.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR28
Gresham,yes,,2017-12-11,,6.15,132,110,,local-authority-eng:MDB,mixed ownership,,,not permissioned,,POINT(-1.24147 54.57257),BR30,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR30-Gresham.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR30
"44 Westbourne Grove, North Ormesby",yes,,2017-12-11,,0.04,8,8,Erection of 8no 1 bed self-contained flats with associated boundary works (demolition of existing building). Site cleared and building work commenced.,local-authority-eng:MDB,not owned by a public authority,2016-05-23,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZSKKUSK331,permissioned,full planning permission,POINT(-1.21406 54.5698),BR32,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR32-44-Westbourne-Grove.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR32
368-374 Linthorpe Road,yes,,2017-12-11,,0.07,48,48,"Erection of five storey student accommodation building consisting of 46no. studio apartments and 2no. two bed apartments (Sui Generis), and associated works.",local-authority-eng:MDB,not owned by a public authority,2019-09-23,https://publicaccess.middlesbrough.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PSVKCIKU00500,permissioned,full planning permission,POINT(-1.24144 54.56358),BR35,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR35-368-374-Linthorpe-Road.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR35
"Sporting Lodge, Low Lane, Stainton",yes,,2017-12-11,,4.72,109,91,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,POINT(-1.26518 54.52585),BR36,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR36-The-Sporting-Lodge.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR36
"Acklam Iron & Steelworks Club, Park Road South",,,2017-12-11,,0.39,28,23,,local-authority-eng:MDB,not owned by a public authority,,,not permissioned,,POINT(-1.22911 54.56202),BR38,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR38-Acklam-Iron-Steelworks-Club.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR38
"Brook Street, Middlehaven",,,2017-12-11,,0.1,7,6,,local-authority-eng:MDB,owned by a public authority,,,not permissioned,,POINT(-1.23246 54.57979),BR43,https://www.middlesbrough.gov.uk/sites/default/files/Brownfield-Register-BR43-Brook-Street.pdf,2017-12-11,brownfield-land/local-authority-eng/MDB/BR43
