site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Three Barrels Winklebury Centre Basingstoke,yes,,2020-12-21,,0.059338,5,5,Small site granted permission (13/00747/FUL) in Feburary 2014. Currently under construction and considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2014-02-11,,permissioned,full planning permission,POINT(-1.124352 51.268051),13/00747/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MO0ZDBCRAT000,2017-12-31,brownfield-land/local-authority-eng/BAN/13-00747-FUL
Main Hall Park Prewett Northbrook Crescent Basingstoke,yes,,2020-12-21,,0.253897,19,19,"Planning permission was granted for a net gain of 19 units in March 2015 (13/02321/FUL) . Construction started on site in December 2015. A planning application was been submitted to provide an additional 9 units in the hall (17/00565/FUL), but this has been withdrawn. The site is deliverable within five years.",local-authority-eng:BAN,not owned by a public authority,2015-03-20,,permissioned,full planning permission,POINT(-1.119274 51.280815),13/02321/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MVYE55CRAT000,2017-12-31,brownfield-land/local-authority-eng/BAN/13-02321-FUL
Cranbourne House The Harrow Way,yes,20191223,2019-12-23,,0.056245,7,7,Small site granted permission (14/03214/FUL) in July 2015. The site is considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2015-07-28,,permissioned,full planning permission,POINT(-1.100087 51.249227),14/03214/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NDWLC6CRL0M00,2018-12-31,brownfield-land/local-authority-eng/BAN/14-03214-FUL
The Railway Inn Station Road,yes,20191223,2019-12-23,,0.138729,5,5,Small site granted permission for 5 dwellings in July 2015 (14/03880/FUL). No starts recorded on site at 1 April 2018 but site considered deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2015-07-07,,permissioned,full planning permission,POINT(-1.337771 51.237067),14/03880/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NGU8J8CRFND00,2018-12-31,brownfield-land/local-authority-eng/BAN/14-03880-FUL
Leamington Court Andover Road Newfound,yes,,2020-12-21,,0.496163,13,13,Planning permission was granted in May 2016 for the conversion of offices to 7 units and erection of 6 further units on site (15/00975/FUL). Site is under construction. At 1 April 2020 there were 4 dwellings outstanding. The site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-05-13,,permissioned,full planning permission,POINT(-1.172445 51.257887),15/00975/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NLGY47CRJBL00,2017-12-31,brownfield-land/local-authority-eng/BAN/15-00975-FUL
Land between Elmdene and Fairholm Aldermaston Road Pamber End,yes,,2020-12-21,,1.025137,12,12,Outline planning permission was granted for 12 units in Feburary 2016 (15/03029/OUT). A reserved matters application was submitted in December 2018 which is pending consideration (18/03729/RES). The site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-05-25,,permissioned,outline planning permission,POINT(-1.125348 51.323459),15/03029/OUT,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NTLFAVCRMW700,2019-05-14,brownfield-land/local-authority-eng/BAN/15-03029-OUT
Wella (Gb) Wella Road Basingstoke,yes,,2020-12-21,,0.668655,70,70,A prior notification was approved for the conversion of the building to residential use (14/02433/GPDOFF) encompassing 12 units. A new application for 70 units on the site (15/03170/FUL) was granted permission in December 2016. The site has been cleared to enable development to take place and start on site was recorded in recorded 2017. The site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-12-23,,permissioned,full planning permission,POINT(-1.10259 51.252623),15/03170/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUB80JCRFS600,2017-12-31,brownfield-land/local-authority-eng/BAN/15-03170-FUL
Queen Marys College Land Adjacent To Cliddesden Road Basingstoke,yes,20191223,2019-12-23,,0.228597,6,6,Outline planning permission grated under reference BDB/74060 in July 2016. Reserved matters approval graned July 2017 (15/04469/RES). As at the 1 April 2018 construction was yet to start. Site considered deliverable within five years.,local-authority-eng:BAN,,2016-07-15,,permissioned,reserved matters approval,POINT(-1.086105 51.255992),15/04469/RES,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZI3KXCRKV200,2017-12-31,brownfield-land/local-authority-eng/BAN/15-04469-RES
Royal British Legion The Street Bramley,yes,20201221,2020-12-21,,0.522844,9,9,Small site granted permission (15/04506/FUL) in November 2016. Complete,local-authority-eng:BAN,not owned by a public authority,2016-11-11,,permissioned,full planning permission,POINT(-1.066886 51.328843),15/04506/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZPT71CRL0V00,2017-12-31,brownfield-land/local-authority-eng/BAN/15-04506-FUL
Brickells Yard Oakley Lane Oakley,yes,,2020-12-21,,0.266285,10,10,A full application (15/04534/FUL) for 10 units was granted in September 2016. All 10 units have started on site. It is considered that the site is deliverable within five years.,local-authority-eng:BAN,not owned by a public authority,2016-09-09,,permissioned,full planning permission,POINT(-1.172679 51.252745),15/04534/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NZT4PMCR0AQ00,2017-12-31,brownfield-land/local-authority-eng/BAN/15-04534-FUL
