site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land at Donnithorne Avenue, Nuneaton",yes,,2017-12-31,,0.48,28,28,The site comprises of former allotment land adjoining the canal. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,owned by a public authority,,,not permissioned,,POINT(-1.464048 52.508489),BF001,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF001
"Stockingford Sports and Social Club and Bungalow, Arbury Road, Nuneaton",yes,,2017-12-31,,0.68,67,67,"The site comprises of informal car parking, a residential property and club with some old industrial buildings.. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017)",local-authority-eng:NUN,not owned by a public authority,,,not permissioned,,POINT(-1.498986 52.522432),BF002,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF002
"King Edward Road, Nuneaton",yes,,2017-12-31,,0.45,44,44,The site comprises of light industrial/office/education buildings and associated parking.. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,not owned by a public authority,,,not permissioned,,POINT(-1.459787 52.522008),BF003,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF003
"Rear of 68 King Edward Road, Nuneaton",yes,,2017-12-31,,0.28,27,27,This is a clear site with rubble hard-core in situ. The site is adjacent to BF003. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,not owned by a public authority,,,not permissioned,,POINT(-1.46023 52.521947),BF004,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF004
"Pine Tree Road, Bedworth",yes,,2017-12-31,,0.22,22,22,The site comprises of a series of lock-ups and garages on an existing estate. The surrounding hard standing has overgrown and is now derelict. This site offers good infill opportunity.. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,owned by a public authority,,,not permissioned,,POINT(-1.463812 52.485491),BF005,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF005
"Rear of 25-39 Whitburn Road, Bedworth",yes,,2017-12-31,,0.24,14,14,The site is scrub land and an area of informal parking. The site is adjacent to a popular well maintained pub.. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,owned by a public authority,,,not permissioned,,POINT(-1.510781 52.47559),BF006,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF006
"New Inn Public House, Bulkington",yes,,2017-12-31,,0.31,14,14,"Existing public house, garden and carpark. Planning permission was granted on 13/04/2017 for 14 dwellings Ref: 034236. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017) Planning permission granted for 14 dwellings",local-authority-eng:NUN,not owned by a public authority,2017-04-13,http://apps.nuneatonandbedworth.gov.uk/BT_NBBC_Planning/BT_NBBC_Planning_application.asp?strApplicationReference=034236&strRecordType=P,permissioned,full planning permission,POINT(-1.417353 52.47647),BF007,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF007
"Rear of Park Road flats, Bedworth",yes,,2017-12-31,,0.18,17,17,Vacant land - disused play area. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,owned by a public authority,,,not permissioned,,POINT(-1.476534 52.479453),BF008,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF008
"Charity Docks, Land rear of Furnace Road/Beechwood Road, Bedworth",yes,,2017-12-31,,2.16,66,66,Previously used as garage courts and parking. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,owned by a public authority,,,not permissioned,,POINT(-1.464406 52.487543),BF009,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF009
"St Marys Road Council Depot, St Marys Road, Nuneaton",yes,,2017-12-31,,2.34,143,143,Council depot site. The depot has relocated.. Site assessed as being deliverable in the SHLAA 2016. Allocated as a proposed Non-strategic site in the Borough Plan 2011-2031 Publication (2017),local-authority-eng:NUN,owned by a public authority,,,not permissioned,,POINT(-1.469173 52.528308),BF010,https://www.nuneatonandbedworth.gov.uk/downloads/file/2200/brownfield_register_-_individual_site_maps_2017,2017-12-31,brownfield-land/local-authority-eng/NUN/BF010
