site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Union Street East Car Park, Union Street, Farnborough",,,2017-12-11,,0.12,8,7,,local-authority-eng:RUH,owned by a public authority,,,not permissioned,,POINT(-0.754257 51.295626),SHELAA ID: 9,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--9
"Farnborough Civic Quarter, Farnborough",yes,,2017-12-11,,5.96,700,630,,local-authority-eng:RUH,mixed ownership,,,not permissioned,,POINT(-0.756948 51.289449),SHELAA ID: 15,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--15
"Kingsmead, The Meads and Queensmead, Farnborough",yes,,2017-12-11,,6.27,69,69,"Planning permission: 04/00080/FUL, the site is partly permissioned (a residual 69 residential units to be built out at Block 3, Queensmead). 69 flats at Block 3, Queensmead (21 one-bedroom and 48 two-bedroom units)",local-authority-eng:RUH,mixed ownership,2004-11-24,,permissioned,full planning permission,POINT(-0.75531 51.292238),SHELAA ID: 35,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--35
"Old Fire Station, Ordnance Road, Aldershot",yes,,2017-12-11,,0.31,32,32,"Planning permission: 16/00815/FULPP. Erection of 2 three-storey blocks, comprising 10 one-bedroom and 22 two-bedroom flats (32 units in total)",local-authority-eng:RUH,not owned by a public authority,2017-04-13,,permissioned,full planning permission,POINT(-0.756222 51.249928),SHELAA ID: 45,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--45
"12-14 Union Street, Aldershot",,,2017-12-11,,0.02,8,7,Active ground floor and town centre uses will be required as part of any development proposals,local-authority-eng:RUH,,,,not permissioned,,POINT(-0.76677 51.249347),SHELAA ID: 100,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--100
"Willow House, 23 Grosvenor Road, Aldershot",yes,,2017-12-11,,0.06,25,23,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.766873 51.248701),SHELAA ID: 102,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--102
"Progress House and Penmark House, Albert Road, Aldershot",,,2017-12-11,,0.07,50,45,,local-authority-eng:RUH,not owned by a public authority,,,not permissioned,,POINT(-0.758689 51.247194),SHELAA ID: 110,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--110
"52 Victoria Road, Aldershot",yes,,2017-12-11,,0.20,56,56,"Planning permission: 16/00878/FULPP. A residential scheme of 56 flats (18 one-bedroom, 31 two-bedroom and 7 three-bedroom units), following demolition of the existing commercial building",local-authority-eng:RUH,not owned by a public authority,2017-03-03,,permissioned,full planning permission,POINT(-0.758712 51.248462),SHELAA ID: 113,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--113
"Former Laundry, 53 Rectory Road, Farnborough",,,2017-12-11,,0.14,5,4,,local-authority-eng:RUH,,,,not permissioned,,POINT(-0.744322 51.294935),SHELAA ID: 284,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--284
"Falcon House, 16 Fernhill Road, Farnborough",yes,,2017-12-11,,0.08,5,5,"Planning permission: 17/00315/FULPP, partly permissioned (existing ground floor flats to be retained). Change of use of the existing first-floor office (B1) to residential use, and the erection of a two-storey side extension to create 1 one-bedroom and 4 two-bedroom flats (5 units in total)",local-authority-eng:RUH,not owned by a public authority,2017-09-01,,permissioned,full planning permission,POINT(-0.77735 51.296112),SHELAA ID: 301,http://www.rushmoor.gov.uk/article/10524/Brownfield-land-register,2017-12-11,brownfield-land/local-authority-eng/RUH/SHELAA-ID--301
