site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Trafalgar House Trafalgar Street,yes,,2018-12-01,,0.06,26,26,Change Of Use from B1 to 26 1 Bed Flats,local-authority-eng:WIN,not owned by a public authority,2017-03-29,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.318422 51.062876),BLR18/01,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-01
Co-Operative Group Ember House Moorside Road,yes,,2018-12-01,,0.11,12,12,(Prior Approval) Change Of Use from B1(A) Office to 12 x Studio Flats.,local-authority-eng:WIN,not owned by a public authority,2015-10-30,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.297766 51.072762),BLR18/02,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-02
15 Chilbolton Avenue,yes,,2018-12-01,,0.5,5,5,Demolition of exisitng buildings and erection of 6 x Houses.,local-authority-eng:WIN,not owned by a public authority,2017-01-09,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.338881 51.063182),BLR18/03,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-03
Garage Court Bailey Close,yes,,2018-12-01,,0.06,5,5,Erection of 5 x 1 Bed affordable housing units.,local-authority-eng:WIN,owned by a public authority,2017-05-09,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.337655 51.056126),BLR18/04,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-04
"Winchester Snooker Centre, Radley House 8 St Cross Road",yes,,2018-12-01,,0.09,6,6,"Demolition of exisitng Snooker Centre and erection of 5No. 3 Bed, 1No. 2 Bed Dwellings and a Commercial Building.",local-authority-eng:WIN,not owned by a public authority,2015-07-21,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.319071 51.059472),BLR18/05,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-05
Regency House 2 - 4 Southgate Street Winchester Hampshire SO23 9EF,yes,,2018-12-01,,0.03,8,8,Retention of lower ground & ground Floor Offices & Change Of Use of First & Second Floor from B1 (Office) to 4x1 Bed & 4 x 2 Bed Flats,local-authority-eng:WIN,not owned by a public authority,2017-03-23,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.317455 51.062664),BLR18/06,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-06
9-11 High Street,yes,,2018-12-01,,0.08,7,7,Redevelop Exisitng Facades on High St & Market St. Change Of Use of 2 Floors from A1 & erection of a 3rd floor to create 7 x Duplex flats,local-authority-eng:WIN,not owned by a public authority,2016-12-21,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.311803 51.061731),BLR18/07,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-07
11-16 Garage Block Mitford Road,yes,,2018-12-01,,0.35,8,8,Erection of 6 x1 Bed and 2 x 2 Bed Affordable Flats Following Demolition of Exisitng Garages.,local-authority-eng:WIN,owned by a public authority,2016-03-03,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.173236 51.084519),BLR18/08,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-08
"Brymor House & Ocean House Parklands Business Park, Forest Rd",yes,,2018-12-01,,0.5,24,24,Change of use of existing B1(a) offices (within 2x separate blocks) to provide a total of 24. No Class C3 Dwellings together with on-site car parking.,local-authority-eng:WIN,not owned by a public authority,2016-09-01,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.069951 50.895773),BLR18/09,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-09
Hill House Rest Home High Street Shirrell Heath,yes,,2018-12-01,,0.31,7,7,"Demolition of Rest Home and erection of 2No.2 Bed, 2No3 Bed, 3No. 4 Bed and 1No. 5 Bed Dwellings.",local-authority-eng:WIN,not owned by a public authority,2015-11-27,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.186954 50.925558),BLR18/10,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-10
"Huxley UK Ltd The Dean, New Alresford",yes,,2018-12-01,,0.63,45,45,Demolition of existing buildings to provide 45 new dwellings,local-authority-eng:WIN,not owned by a public authority,2018-03-21,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.167087 51.0914),BLR18/11,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2017-12-01,brownfield-land/local-authority-eng/WIN/BLR18-11
"St Thomas More Catholic Church, Stoney Lane, Winchester",yes,,2018-12-01,,0.14,7,7,Removal of Church (D1 340M2) & Bungalow. Erection of 8 Dwellings,local-authority-eng:WIN,not owned by a public authority,2017-05-17,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.333346 51.074976),BLR18/12,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-12
"Gentian House, Moorside Road, Winchester",yes,,2018-12-01,,0.14,8,8,3 Storey extension to accommodate 8 additional apartments,local-authority-eng:WIN,not owned by a public authority,2017-12-19,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.297666 51.072753),BLR18/13,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-13
"Kings School House , Sarum Road, Winchester",yes,,2018-12-01,,0.40,29,29,Demolition & Redevelopment to form 29 Sheltered Apartments for the elderly,local-authority-eng:WIN,not owned by a public authority,2018-01-05,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.33916 51.060612),BLR18/14,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-14
"Dance Academy, 21 St Pauls Hill, Winchester",yes,,2018-12-01,,0.11,8,8,Demolition of former Trinity Centre. Erection of 8No Dwellings,local-authority-eng:WIN,not owned by a public authority,2018-01-24,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.323274 51.066789),BLR18/15,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-15
"Police House, Station Road",yes,,2018-12-01,,0.11,10,10,Demolition of existing Buildings and erection of 10 2Bed Apartments,local-authority-eng:WIN,not owned by a public authority,2018-01-05,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.161102 51.089127),BLR18/16,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-16
"WCI Technology House, Parklands Business Park, Forest Road, Denmead",yes,,2018-12-01,,0.15,8,8,Conversion of existing floors(B1A Use) to form Residential Accomodation (8 Flats),local-authority-eng:WIN,not owned by a public authority,2017-12-14,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,other,POINT(-1.069561 50.895348),BLR18/17,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-17
"Jhansi Farm, Clewers Lane, Waltham Chase",yes,,2018-12-01,,0.19,5,5,Redevelopment of site to provide 5 houses,local-authority-eng:WIN,not owned by a public authority,2018-01-31,https://planningapps.winchester.gov.uk/online-applications/search.do?action=simple&searchType=Application,permissioned,full planning permission,POINT(-1.202917 50.938968),BLR18/18,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-18
"Kings Worthy House & Kingsworthy Court, Court Road",yes,,2018-12-01,,,31,31,,local-authority-eng:WIN,,,http://www.winchester.gov.uk/planning-policy/evidence-base/housing/shlaa-strategic-housing-land-availability-assessment,not permissioned,,,BLR18/19,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-19
"The Grove, Hinton Fields",yes,,2018-12-01,,,10,10,,local-authority-eng:WIN,,,http://www.winchester.gov.uk/planning-policy/evidence-base/housing/shlaa-strategic-housing-land-availability-assessment,not permissioned,,,BLR18/20,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-20
"Boat Club, Domum Road",yes,,2018-12-01,,,5,5,,local-authority-eng:WIN,,,http://www.winchester.gov.uk/planning-policy/evidence-base/housing/shlaa-strategic-housing-land-availability-assessment,not permissioned,,,BLR18/21,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,2018-12-01,brownfield-land/local-authority-eng/WIN/BLR18-21
Clayfield Park,yes,,2019-12-22,,,53,53,,local-authority-eng:WIN,,,http://www.winchester.gov.uk/planning-policy/local-plan-part-2-development-management-allocations/lpp2-adoption,not permissioned,,,BLR18/22,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,,brownfield-land/local-authority-eng/WIN/BLR18-22
Morgan?s Yard,yes,,2019-12-22,,,100,100,,local-authority-eng:WIN,,,http://www.winchester.gov.uk/planning-policy/local-plan-part-2-development-management-allocations/lpp2-adoption,not permissioned,,,BLR18/23,http://winch.maps.arcgis.com/apps/webappviewer/index.html?id=4c4379c8d2c14f8c81033b4ffd1d4a3b,,brownfield-land/local-authority-eng/WIN/BLR18-23
