site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"89 Ingram Road, Gillingham",,,2019-01-24,,0.160847435277016,8,8,Demolish existing buildings and redevelop to provide 22 apartments with parking access and infrastructure works,local-authority-eng:MDW,not owned by a public authority,2018-10-24,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZOYKNPM585,permissioned,full planning permission,POINT(0.560511 51.390115),3,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2019-01-24,brownfield-land/local-authority-eng/MDW/3
"82 Jeffery Street, Gillingham",,,2019-01-24,,0.135217360000023,12,12,"Demolish existing buildings and construct a pair of 2 bed detahed bungalows and a two storey block of flats comprising 3 x 2 bed flats and 7 x 1 bed flats with associate amenity space, refuse, cycle storage and car parking",local-authority-eng:MDW,not owned by a public authority,2017-02-24,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP5KNPM797,permissioned,full planning permission,POINT(0.54924 51.387726),663,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2019-01-24,brownfield-land/local-authority-eng/MDW/663
"LIFT site, 551-555 Canterbury Street, Gillingham",yes,,2019-01-24,,0.276901220913759,13,13,Construct 13 dwellings,local-authority-eng:MDW,not owned by a public authority,2018-03-15,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PK1BNYKNJLQ00,pending decision,outline planning permission,POINT(0.552118 51.374087),707,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30,brownfield-land/local-authority-eng/MDW/707
"Junction of Pier Road and Medway Road, Gillingham",,,2019-01-24,,0.593016847339959,51,20,,local-authority-eng:MDW,not owned by a public authority,,,not permissioned,,POINT(0.55045 51.39539),810,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30,brownfield-land/local-authority-eng/MDW/810
"Meeting Hall, Queens Road, Gillingham",,,2019-01-24,,0.132591522814263,5,5,Construct a pair of semi detached houses and three detached bungalows,local-authority-eng:MDW,,2016-05-13,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP7KNPM465,permissioned,full planning permission,POINT(0.549496 51.382161),816,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2019-01-24,brownfield-land/local-authority-eng/MDW/816
"111 Rainham Road (Jezreels), Gillingham",,,2019-01-24,,0.213429773785204,7,7,Replacement of boundary fencing approved February 2017. https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZP2KNPM317,local-authority-eng:MDW,mixed ownership,,,not permissioned,,POINT(0.551262 51.374112),853,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2019-01-24,brownfield-land/local-authority-eng/MDW/853
"Land at 54 Beacon Road, Chatham",,,2019-01-24,,0.132602608324607,6,6,Construct 6 x 1 bed flats,local-authority-eng:MDW,not owned by a public authority,2018-10-02,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=PCD7ARKNIZ700,permissioned,full planning permission,POINT(0.546113 51.373142),1048,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2019-01-24,brownfield-land/local-authority-eng/MDW/1048
"101 Beacon Road, Chatham",,,2019-01-24,,0.413932717575286,13,13,,local-authority-eng:MDW,not owned by a public authority,,,not permissioned,,POINT(0.54674 51.373656),1052,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30,brownfield-land/local-authority-eng/MDW/1052
"6-11 New Road Avenue, Chatham",,,2019-01-24,,0.284445712929751,70,9,,local-authority-eng:MDW,not owned by a public authority,,,not permissioned,,POINT(0.518122 51.38262),1056,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30,brownfield-land/local-authority-eng/MDW/1056
"Greatfield Lodge, Darnley Road, Strood",yes,,2019-01-24,,0.33765853477873303,24,21,Part demolition and other works to facilitate the conversion into 24 flats (14 x 1 bed and 10 x 2 bed),local-authority-eng:MDW,not owned by a public authority,2018-12-19,https://publicaccess1.medway.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=ZZZZOXKNPM680,permissioned,full planning permission,POINT(0.469469 51.39112),1100,http://maps.medway.gov.uk/webmaplayersext/map.aspx,2016-06-30,brownfield-land/local-authority-eng/MDW/1100
