site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Merryfield Park, Derritt Lane, Bransgore",yes,2018-03-31,2020-03-24,,0.88,20,20,"4, one-bedroom houses, 6 two-bedroom houses, 4 three-bedroom houses, 8 four-bedroom houses. Demolition of existing 2 two bedroom dwellings",local-authority-eng:NEW,not owned by a public authority,2017-01-19,http://planning.newforest.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.747586 50.782055),BLR_Brans_001,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Brans-001
"Methodist Church Land Of Long Lane, Fawley",yes,2019-03-31,2020-03-24,,0.17,5,5,"1 two-bedroom bungalow, 4 three-bedroom houses",local-authority-eng:NEW,not owned by a public authority,2016-06-24,http://planning.newforest.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.389601 50.839653),BLR_Fawl_001,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Fawl-001
"Site of the Former Fawley Power Station, Fawley",,,2020-03-24,,49,1380,1380,"Proposed Strategic Site Allocation (SS.4) in the Local Plan Review 2016-2036 Part 1: Planning Strategy. Site allocated for around 1380 dwellings, up to around 10,000 square metres of ancillary community, retail, leisure and service uses, and around 10 hectares of employment land. Outline planning application 19/10581 currently being determined",local-authority-eng:NEW,not owned by a public authority,,,not permissioned,,POINT(-1.329304 50.819675),BLR_Fawl_002,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Fawl-002
"Unit B Fordingbridge Business Park Ashford Road, Fordingbridge",yes,2019-03-31,2020-03-24,,0.15,5,5,5 one-bedroom flats,local-authority-eng:NEW,not owned by a public authority,2016-04-06,http://planning.newforest.gov.uk/online-applications/,permissioned,other,POINT(-1.806759 50.928607),BLR_Fording_001,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Fording-001
"Ashford Works, Fordingbridge",,,2020-03-24,,0.35,10,10,"Small 0.35ha employment site tightly surrounded by residential on all sides. Site in very poor condition, buildings in very poor condition and would appear unlikely to attract future commercial occupiers. Some units appear vacant. Not a particularly suitable location for the light industrial uses currently present. Could accommodate around 10 dwellings",local-authority-eng:NEW,not owned by a public authority,,,not permissioned,,POINT(-1.806299 50.927304),BLR_Fording_002,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Fording-002
"Fordingbridge Club, Roundhill, Fordingbridge",yes,,2020-03-24,,0.1,8,8,"Permission reference: 17/10426. 7 two-bedroom houses, 1 two-bedroom flat, and Retail unit",local-authority-eng:NEW,not owned by a public authority,2017-07-12,http://planning.newforest.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.790917 50.927596),BLR_Fording_003,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Fording-003
"2 South Street, Hythe",yes,,2020-03-24,,0.27,41,41,"Permission reference: 17/11646. Retirement housing scheme - 27 one-bedroom flats, 16 two-bedroom flats, loss of two existing flats",local-authority-eng:NEW,not owned by a public authority,2019-04-02,http://planning.newforest.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.397012 50.868033),BLR_Hythe_001,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Hythe-001
"Hythe & Dibden War Memorial Hospital, Beaulieu Road, Hythe",,,2020-03-24,,1.5,21,21,"Permission reference: 17/11204. 7 two-bedroom houses, 3 three-bedroom houses, 2 four-bedroom houses, 3 one-bedroom flats, 6 two-bedroom flats, and Community hospital",local-authority-eng:NEW,owned by a public authority,2018-08-03,http://planning.newforest.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-1.402987 50.858539),BLR_Hythe_002,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Hythe-002
"Former Police Station Site, Jones Lane, Hythe",,,2020-03-24,,0.4,20,20,"Police station building is vacant and not in use. Police services have already relocated from this site to Hardley. 0.4ha site with extensive mature treed frontage, adjacent to Conservation Area. Potential capacity for 20 flats",local-authority-eng:NEW,owned by a public authority,,,not permissioned,,POINT(-1.40172 50.871474),BLR_Hythe_003,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Hythe-003
"1-20 Marsh Parade, Hythe",,2018-06-29,2020-03-24,,0.2,7,7,7 one/two-bedroom flats,local-authority-eng:NEW,not owned by a public authority,2002-03-15,http://planning.newforest.gov.uk/online-applications/,permissioned,full planning permission,POINT(-1.399894 50.869841),BLR_Hythe_004,http://www.newforest.gov.uk/media/39728/Brownfield-Land-Register-Site-Location-Maps/Pdf/Brownfield_Land_Register_Site_Location_Maps_Update_March_2020.pdf,2017-12-31,brownfield-land/local-authority-eng/NEW/BLR-Hythe-004
