name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
RBG-01,"“Thomas St phases 3 & 4, Thomas St, Woolwich New Rd & Wellington St Woolwich“",yes,,2017-12-22,,1.82,701,701,"Of the 960 total dwellings permitted, 259 dwellings completed 14/03/2014 in Phase 1 (10/2440/R).",local-authority-eng:GRE,,2007-07-27,,permissioned,outline planning permission,,RBG-01,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-01
RBG-02,"“64 & rear of, Plumstead High St Plumstead“",yes,,2017-12-22,,0.09,9,9,“Started,local-authority-eng:GRE,,2007-10-29,,permissioned,full planning permission,POINT(0.088441 51.488379),RBG-02,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-02
RBG-03,"“Former Greenwich District Hospital site, Vanbrugh Hill Greenwich“",yes,,2017-12-22,,2.2,645,645,“Started,local-authority-eng:GRE,,2009-03-31,,permissioned,full planning permission,POINT(0.009127 51.485358),RBG-03,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-03
RBG-04,"“The Academy (former Royal Military Academy), Academy Rd Woolwich“",yes,,2017-12-22,,4.41,328,328,“Started,local-authority-eng:GRE,,2009-07-10,,permissioned,full planning permission,POINT(0.058655 51.475956),RBG-04,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-04
RBG-05,"“Kidbrooke Village Phase 2, Kidbrooke Park Rd Kidbrooke“",yes,,2017-12-22,,5.04,595,595,“Started,local-authority-eng:GRE,,2010-03-24,,permissioned,reserved matters approval,POINT(0.02368 51.460441),RBG-05,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-05
RBG-06,“92-94 Shooters Hill Rd Charlton“,yes,,2017-12-22,,0.07,3,3,“Started,local-authority-eng:GRE,,2010-08-02,,permissioned,full planning permission,POINT(0.025765 51.474685),RBG-06,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-06
RBG-07,"“Former Millers PH & newsagent, 83-87 Greenwich High Rd Greenwich“",yes,,2017-12-22,,0.03,9,9,“Started,local-authority-eng:GRE,,2011-07-11,,permissioned,full planning permission,POINT(-0.018096 51.476379),RBG-07,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-07
RBG-08,"“Alcatel-Lucent, Christchurch Way Greenwich“",yes,,2017-12-22,,3.6,770,770,“Started,local-authority-eng:GRE,,2012-03-03,,permissioned,full planning permission,POINT(0.006515 51.490178),RBG-08,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-08
RBG-09,"“Hilton's Wharf, 30-52 Norman Rd Greenwich“",yes,,2017-12-22,,0.13,85,85,“Started,local-authority-eng:GRE,,2012-03-27,,permissioned,full planning permission,POINT(-0.017159 51.479727),RBG-09,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-09
RBG-10,"“Mast Quay Phase 2, Woolwich Church St Woolwich“",yes,,2017-12-22,,0.76,218,218,“Not started.,local-authority-eng:GRE,,2012-03-29,,permissioned,full planning permission,POINT(0.059252 51.494012),RBG-10,,2017-12-22,/brownfield-land/local-authority-eng/GRE/RBG-10
