site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Meriden Road Depot, Meriden Road, Hampton in Arden",,,2018-12-03,,5.21,10,5,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001R4FOELI000,not permissioned,,POINT(-1.691076 52.429101),BLR/010,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-010.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-010
"Widney Manor House, Widney Manor House, Bentley Heath",,,2018-12-03,,1,2,1,,local-authority-eng:SOL,not owned by a public authority,,,not permissioned,,POINT(-1.765529 52.389311),BLR/013,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-013.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-013
"The Glider Yard, Houndsfield Lane, Shirley",yes,09/12/2019,2018-12-03,,0.13,4,2,Planning permission granted. Now included as PR42,local-authority-eng:SOL,not owned by a public authority,2017-12-12,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OJXAJ3OE03G00,permissioned,outline planning permission,POINT(-1.852375 52.387779),BLR/014,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-014.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-014
"Land East of 106 - 118 Old Station Road,Old Station Road, Hampton in Arden",,,2018-12-03,,0.5,2,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZV0BOETA917,not permissioned,,POINT(-1.703676 52.436307),BLR/015,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-015.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-015
"Pheasant Oak Farm, Hob Lane Balsall Common",,,2018-12-03,,1.37,20,10,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DK8OELI000,not permissioned,,POINT(-1.631804 52.383459),BLR/016,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-016.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-016
"National Motorcycle Museum, Coventry Road, Bickenhill",,,2018-12-03,,3.6,125,50,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000HWGOELI000,not permissioned,,POINT(-1.706375 52.444019),BLR/017,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-017.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-017
"Windmill House, Windmill Lane, Balsall Common",,,2018-12-03,,0.3,3,2,,local-authority-eng:SOL,not owned by a public authority,,,not permissioned,,POINT(-1.636381 52.380651),BLR/018,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-018.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-018
"Whitehouse Kennels, Back Lane, Meriden",yes,09/12/2019,2018-12-03,,0.83,4,2,Planning permission granted. Now included as PR68,local-authority-eng:SOL,not owned by a public authority,2018-12-14,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000DJSOELI000,permissioned,full planning permission,POINT(-1.632172 52.422262),BLR/020,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-020.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-020
"Land at and to the rear of 146-152 Tilehouse Lane, Tidbury Green",,,2018-12-03,,0.87,10,5,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000L9QOELI000,not permissioned,,POINT(-1.851985 52.390107),BLR/021,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-021.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-021
"1806 Warwick Road, Knowle",,,2018-12-03,,3.01,3,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000R3JOELI000,not permissioned,,POINT(-1.736289 52.381707),BLR/024,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-024.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-024
"1817 Warwick Road, Knowle",,,2018-12-03,,1.46,3,1,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000JMFOELI000,not permissioned,,POINT(-1.734032 52.383203),BLR/025,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-025.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-025
"Service Station & land rear Kenilworth Road, Balsall Common",,,2018-12-03,,0.66,18,12,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000J3ZOELI000,not permissioned,,POINT(-1.657862 52.401275),BLR/036,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-036.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-036
"Trevallion Stud, Wootton Green Lane, Balsall Common",,,2018-12-03,,5.81,16,14,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000WX8OELI000,not permissioned,,POINT(-1.659617 52.400534),BLR/037,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-037.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-037
"Builders Yard, Wootton Green Lane, Balsall Common",,,2018-12-03,,0.84,10,8,,local-authority-eng:SOL,not owned by a public authority,,https://publicaccess.solihull.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NMHASKOE03G00,not permissioned,,POINT(-1.659336 52.398753),BLR/038,http://www.solihull.gov.uk/Portals/0/Planning/BLR/BLR-038.pdf,2018-03-23,brownfield-land/local-authority-eng/SOL/BLR-038
