site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Carier Site, East Street, Braintree",yes,,2018-12-22,,2.13,74,74,"Outline permission 15/01366/OUT - (granted 10th July 2017). 18/00613/REM - Application for approval of Reserved Matters for 'Access', 'Appearance', 'Landscaping', 'Layout', and 'Scale' for erection of 74 dwellings pursuant to outline planning permission",local-authority-eng:BRA,not owned by a public authority,2018-11-30,,permissioned,reserved matters approval,POINT(0.563915 51.878839),BCBG144,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/BCBG144
"The Rose and Crown, Masefield Road, Braintree",yes,,2018-12-22,,0.09,14,14,"Erection of 14no. flats, new vehicular access, basement parking and amenity areas (application pending decision 18/00195/FUL). Previous application 14/01115/FUL has expired.",local-authority-eng:BRA,not owned by a public authority,,,pending decision,full planning permission,POINT(0.555406 51.868169),BRS35,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/BRS35
"Hunnable Industrial Estate, Great Yeldham",yes,,2018-12-22,,2.19,60,60,Reserve Matters pending 18/01475/REM. 14/01254/OUT - Erection of up to 60 no. dwellings and community use area,local-authority-eng:BRA,not owned by a public authority,2015-07-09,,permissioned,outline planning permission,POINT(0.562537 52.013376),GRYE 275,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/GRYE-275
"Universal Garage, The Street, Hatfield Peverel",yes,,2017-12-22,,0.22,9,9,"Demolish workshop and vehicle sales buildings, cease vehicle sales use and erection of 7 no. two storey terrace dwellings and 2 no. detached dwellings, formation of new vehicular access on the The Street, layout parking spaces and form private amenity areas.",local-authority-eng:BRA,not owned by a public authority,2016-08-18,,permissioned,outline planning permission,POINT(0.598066 51.776791),15/01103/OUT,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/15-01103-OUT
"Former Courtauld Boiler Building Factory, Lane West, Halstead",yes,,2017-12-22,,0.3,22,22,"Change of use of existing former Courtauld boiler buildings to create 22 flats together with commercial storage, landscaping and car parking",local-authority-eng:BRA,not owned by a public authority,2017-07-19,,permissioned,full planning permission,POINT(0.637769 51.941767),16/00850/FUL,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/16-00850-FUL
"4 Helions Road, Steeple Bumpstead",yes,,2017-12-22,,0.84,9,9,Application for outline planning permission with all matters reserved - redevelopment of an agricultural machinery depot to residential development of 9no. three bedroom dwellings with associated works,local-authority-eng:BRA,not owned by a public authority,2017-01-12,,permissioned,outline planning permission,POINT(0.440652 52.041388),16/01525/OUT,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/16-01525-OUT
"Garage Site, Lancaster Way, Braintree",yes,,2017-12-22,,0.14,7,7,Demolition of existing garages and erection of 7 no. apartments contained within one block,local-authority-eng:BRA,not owned by a public authority,2016-07-21,,permissioned,full planning permission,POINT(0.543869 51.886136),16/00661/FUL,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/16-00661-FUL
"28-30 Trinity Street, Halstead",yes,,2017-12-22,,0.02,6,6,"Change of use of building from commercial to 6 no. one bedroom flats and a commercial unit at ground floor level, together with internal and external alterations",local-authority-eng:BRA,not owned by a public authority,2017-11-23,,permissioned,full planning permission,POINT(0.63265 51.943806),17/01340/FUL,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/17-01340-FUL
"Units 1 and 2 Tey Grove, Gt Domseys Farm, Domsey Chase, Feering",yes,,2017-12-22,,0.26,11,11,Proposed alterations and landscaping following approval under ref 13/00005/COUPA that allowed for the conversion of vacant office building to residential use comprising 11 no. dwellings,local-authority-eng:BRA,not owned by a public authority,2016-06-10,,permissioned,full planning permission,POINT(0.740376 51.862368),16/00418/FUL,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/16-00418-FUL
"Bardfield Centre, Braintree Road, Great Bardfield",yes,,2017-12-22,,0.41,8,8,"The conversion of existing commercial buildings to form 8 no. residential units with associated landscaping, creation of vehicular access and demolition of Unit 13 and a storage building to facilitate amended car parking provision",local-authority-eng:BRA,not owned by a public authority,2017-04-28,,permissioned,full planning permission,POINT(0.439289 51.944817),16/01470/FUL,https://braintree.maps.arcgis.com/apps/webappviewer/index.html?id=2cb158cfa90841e5be176e0ddbea3865,2017-12-22,brownfield-land/local-authority-eng/BRA/16-01470-FUL
