site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Churston Golf Club, Dartmouth Road, Brixham",,,2017-12-13,,4.53,30,20,"Part brownfield, part green field. Housing estimate is for those on brownfield part, taken form outline application proposed layout. Site size (ha) is for total site.",,not owned by a public authority,,,not permissioned,,POINT(-3.55662 50.3982),BPNPH02,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Knapman's Builders Yard, off Stoke Gabriel Road, Galmpton, Brixham",,,2017-12-13,,0.14,8,4,,,not owned by a public authority,,,not permissioned,,POINT(-3.56542 50.395),BPNPH03,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Northcliff Hotel, North Furzeham Road, Brixham",,,2017-12-13,,0.29,15,8,,,not owned by a public authority,,,not permissioned,,POINT(-3.51716 50.4003),BPNPH05,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Torbay Industrial Estate, New Road, Brixham",,,2017-12-13,,0.32,15,8,,,not owned by a public authority,,,not permissioned,,POINT(-3.51733 50.3926),BPNPH06,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"74 New Road, Brixham",,,2017-12-13,,0.19,10,5,,,not owned by a public authority,,,not permissioned,,POINT(-3.51997 50.3919),BPNPH07,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Brixham Police Station, Rea Barn Road, Brixham",,,2017-12-13,,0.15,12,6,,,,,,not permissioned,,POINT(-3.50852 50.3903),BPNPH08H3-I7,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"King's Barton, Summer Lane, Brixham",,,2017-12-13,,0.2,7,4,,,not owned by a public authority,,,not permissioned,,POINT(-3.52697 50.3839),BPNPH09,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Beverley Court, Upton Manor Road, Brixham",,,2017-12-13,,0.21,9,5,,,not owned by a public authority,,,not permissioned,,POINT(-3.51482 50.3836),BPNPH10,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"St Mary's Industrial Estate, St Mary's Road, Brixham",,,2017-12-13,,0.79,25,13,,,not owned by a public authority,,,not permissioned,,POINT(-3.51356 50.3831),BPNPH11,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Vauxhall Garage, Torquay Road, Paignton",,,2017-12-13,,0.17,20,10,,,not owned by a public authority,,,not permissioned,,POINT(-3.55617 50.447564),PNPH03,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Modern Motoring, Torquay Road, Paignton",,,2017-12-13,,0.04,6,3,,,not owned by a public authority,,,not permissioned,,POINT(-3.56002 50.4445),PNPH05,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"63 Manor Road, Paignton",,,2017-12-13,,0.15,8,4,,,not owned by a public authority,,,not permissioned,,POINT(-3.56155 50.4431),PNPH06,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Land R/O Quarry Terrace, Marldon Road, Paignton",,,2017-12-13,,0.21,8,4,,,not owned by a public authority,,,not permissioned,,POINT(-3.57341 50.4381),PNPH08,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Lyndhurst Hotel, Lower Polsham Road, Paignton",,,2017-12-13,,0.03,12,6,,,not owned by a public authority,,,not permissioned,,POINT(-3.55921 50.4387),PNPH09,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Crossways Shopping Centre, Paignton",,,2017-12-13,,0.89,150,70,,,not owned by a public authority,,,not permissioned,,POINT(-3.56549 50.4363),PNPH11,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Lighthouse, Esplanade Road, Paignton",,,2017-12-13,,0.17,20,10,Application pending decision for hotel P/2019/0804,,not owned by a public authority,,,not permissioned,,POINT(-3.55959 50.4367),PNPH12,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Victoria Square/Multi Storey Car Park, Paignton",,,2017-12-13,,1.33,182,60,,,owned by a public authority,,,not permissioned,,POINT(-3.56194 50.4361),PNPH13,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Corner of Hyde Road and Torbay Road, Paignton",,,2017-12-13,,0.27,50,25,,,not owned by a public authority,,,not permissioned,,POINT(-3.56367 50.4352),PNPH14,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"4 Palace Avenue, Paignton",,,2017-12-13,,0.04,6,3,,,not owned by a public authority,,,not permissioned,,POINT(-3.56708 50.4347),PNPH15,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Station Lane/Great Western Car Park, Paignton",,,2017-12-13,,2.94,100,50,,,owned by a public authority,,,not permissioned,,POINT(-3.56444 50.4333),PNPH16,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Angleside House, Cleveland Road, Paignton",,,2017-12-13,,0.24,22,11,,,not owned by a public authority,,,pending decision,,POINT(-3.55896 50.4314),PNPH19,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Paignton Harbour Car Park, Cliff Road, Paignton",,,2017-12-13,,0.36,50,25,,,owned by a public authority,,,not permissioned,,POINT(-3.55537 50.4309),PNPH20,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"20 Roundham Road, Paignton",,,2017-12-13,,0.04,10,5,,,not owned by a public authority,,,not permissioned,,POINT(-3.55639 50.4298),PNPH21,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Council Depot, Borough Road, Paignton",,,2017-12-13,,2.98,40,20,,,owned by a public authority,,,not permissioned,,POINT(-3.5901 50.4243),PNPH23,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Alan Kerr Garage, Brixham Road, Paignton",,,2017-12-13,,0.37,10,5,,,not owned by a public authority,,,not permissioned,,POINT(-3.57704 50.4137),PNPH26,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Barton Hall Activity Centre, Kingskerswell Road, Torquay",,,2017-12-20,,1.47,45,23,,,not owned by a public authority,,,not permissioned,,POINT(-3.55064 50.4936),TNPH01,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Torquay Holiday Park, Kingskerswell Road, Torquay",,,2017-12-20,,6.34,150,75,,,not owned by a public authority,,,not permissioned,,POINT(-3.54834 50.4934),TNPH02,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Site 2, Higher Cadewell Lane, Torquay",,,2017-12-20,,0.29,12,6,,,not owned by a public authority,,,not permissioned,,POINT(-3.56189 50.4823),TNPH07,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Site 1, Higher Cadewell Lane, Torquay",,,2017-12-20,,0.45,18,9,,,not owned by a public authority,,,not permissioned,,POINT(-3.56017 50.481),TNPH08,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Shiphay Manor, Torquay Girls Grammar, Shiphay Lane, Torquay",,,2017-12-20,,1.39,20,10,,,not owned by a public authority,,,not permissioned,,POINT(-3.55581 50.474),TNPH10,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Quintaville, Reddenhill Road, Torquay",,,2017-12-20,,0.1,10,5,,,not owned by a public authority,,,not permissioned,,POINT(-3.517 50.474),TNPH11,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
"Torre Station, Torquay",,,2017-12-20,,0.21,9,5,,,not owned by a public authority,,,not permissioned,,POINT(-3.54509 50.472),TNPH12,http://torbay.addresscafe.com/app/exploreit/default.aspx,2016-06-24,
