site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Trough Laithe Farm,yes,,2019-10-14,,0.512,10,10,No work has been started been started on this site as yet.. Outline: Erection of 5 No. dwelling houses and improvements to access from Wheatley Lane Road (Access and Layout only).,local-authority-eng:PEN,not owned by a public authority,2018-08-13,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.2313 53.8472),BD072,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"Land at Kirkstall Drive, Barnoldswick",yes,,2019-10-14,,0.11,6,6,Development at the site has been started but work has stopped and the developer is no longer on site. The owner of the site has previously suggested that work will recommence once the economic circumstances improve. The site has been stalled for 10 years. Site is still suitable for housing development and may come forward in the future. No Building Control records available. The owner has returned the Housing Land Survey form and indicated that they intend to complete the work within 2-5 years.. Erection of 6 two-storey houses in three blocks,local-authority-eng:PEN,not owned by a public authority,2005-06-08,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1735 53.9209),BK045,http://www.pendle.gov.uk/downloads/file/9998/site_plan_bk045_-_land_at_kirkstall_drive_barnoldswick,2017-12-14
"Land to the rear of the Greyhound Pub, Manchester Road, Barnoldswick",yes,,2019-10-14,,0.22,9,9,"Work has not started at this site. A further application at the site was dismissed at appeal. It is unclear as to the owners intentions. No Building Control records available. The owner has returned the Housing Land Survey form and indicated that they intend to start development within 1 year and complete it within 2-5 years.. Full: Erection of 9 dwellings with associated access, parking and landscaping.",local-authority-eng:PEN,not owned by a public authority,2015-04-02,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1882 53.9126),BK090,http://www.pendle.gov.uk/downloads/file/9999/site_plan_bk090_-_land_to_rear_of_the_greyhound_pub_manchester_road_barnoldswick,2017-12-14
"B Preston Joinery Works, Bank Street, Barnoldswick",yes,,2019-10-14,,0.034,5,5,"Development at the site has not yet started. The demolition of the existing workshop building has now been carried out. No Building Control records available. Owner has returned the Housing Land Survey form indicating they intend to start the development within 1 year and complete it within 2-5 years.. Full: Erection of 5 dwellings with associated curtilages, landscaping and parking area to side.",local-authority-eng:PEN,not owned by a public authority,2015-11-25,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1839 53.9178),BK110,http://www.pendle.gov.uk/downloads/file/10000/site_plan_bk110_-_b_preston_joinery_works_bank_street_barnoldswick,2017-12-14
"Briercliffe Lodge, Rainhall Crescent, Barnoldswick",yes,,2019-10-14,,0.14,5,5,"No work has started at this site - Outline permission only. No Reserved Matters application submitted. No Building Control records available. Owner has returned the Housing Land Survey form indicating that they intend to start and complete the site within 2-5 years.. Outline: Demolition of existing nursing home and construction of 5 dwelling houses in a terrace row (Access, Layout and Scale).",local-authority-eng:PEN,not owned by a public authority,2016-06-13,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.1716 53.9199),BK115,http://www.pendle.gov.uk/downloads/file/10001/site_plan_bk115_-_briercliffe_lodge_rainhall_crescent_barnoldswick,2017-12-14
"St Andrews Methodist Church, Mosley Street, Barnoldswick",yes,,2019-10-14,,0.14,6,6,"No work has started at this site. A Building Control application for the extension has been submitted. Owner did not return the Housing Land Survey form.. Full: Part demolition of school building and conversion to six 1 and 2 bed apartments and erection of two storey extension to rear, erection of single storey extension to rear of church.",local-authority-eng:PEN,not owned by a public authority,2016-07-06,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1851 53.9156),BK116,http://www.pendle.gov.uk/downloads/file/10002/site_plan_bk116_-_st_andrews_methodist_church_mosley_street_barnoldswick,2017-12-14
"Gisburn Street Works, Barnoldswick",yes,,2019-10-14,,0.093,3,3,"Work has started on site. Full: Demolition of garage, joiners workshop and office and erection of 7 dwelling houses.",local-authority-eng:PEN,not owned by a public authority,2019-02-27,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1885 53.9207),BK132,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"Four Oaks, The Crescent, Brierfield",yes,,2019-10-14,,0.39,9,9,"Development at the site has not yet started, Although Building Control records indicate that some foundations for one of the dwellings has now been laid. Owner did not return the Housing Land Survey form.. Erection of 9 dwellinghouses (Extension of time)",local-authority-eng:PEN,not owned by a public authority,2013-09-04,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.2309 53.8185),BR037,http://www.pendle.gov.uk/downloads/file/10003/site_plan_br037_-_four_oaks_the_crescent_brierfield,2017-12-14
"Marsden Cross, 30 Higher Reedley Road, Brierfield",yes,,2019-10-14,,0.26,10,4,Development has not started at this site and the permission has now expired. It is unlikely that the site will come forward in the next five years but is still a potentially developable site.. Development taken from previous (lapsed) application. ((13/12/0415P) Full: Conversion of public house with residential flat to four flats with eight solar panels on the rear roofslope (resubmission).,local-authority-eng:PEN,not owned by a public authority,,,not permissioned,,POINT(-2.2205 53.8224),BR053,http://www.pendle.gov.uk/downloads/file/10004/site_plan_br053_-_marsden_cross_30_higher_reedley_road_brierfield,2017-12-14
"Barley House Farm, Barley Lane, Barley",yes,,2019-10-14,,0.25,5,5,"Work has not started at this site - Outline permission only. A Reserved Matters application has not been submitted. No Building Control records available. Owner did not return the Housing Land Survey form.. Reserved Matters: Erection of 5 detached dwelling houses (Appearance, Landscaping, Layout and Scale) of Planning Permission 13/15/0290P and formation of access road (Re-Submission).",local-authority-eng:PEN,not owned by a public authority,2015-09-15,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.2725 53.8603),BY011,http://www.pendle.gov.uk/downloads/file/10005/site_plan_by011_-_barley_house_farm_barley_lane_barley,2017-12-14
"Barley House Farm, Barley",yes,,2019-10-14,,0.245,5,5,"Not yet started awaiting a reserved matters application. Reserved Matters: Erection of 5 detached dwelling houses (Appearance, Landscaping, Layout and Scale) of Planning Permission 13/15/0290P and formation of access road (Re-Submission).",local-authority-eng:PEN,not owned by a public authority,2018-11-14,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,outline planning permission,POINT(-2.2725 53.8605),BY011,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"Oak Mill, Skipton Road, Colne",yes,,2019-10-14,,0.78,32,32,"A new planning permission has been granted at this site. The site is now in the Council's ownership and is being brought forward by the Joint Venture Partnership PEARL. No Building Control records available.. Full: Major: Erection of 32 dwellings with associated works including parking, highways and landscaping.",local-authority-eng:PEN,owned by a public authority,2016-12-12,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1617 53.8621),CE078,http://www.pendle.gov.uk/downloads/file/10006/site_plan_ce078_-_oak_mill_skipton_road_colne,2017-12-14
"Site of Former 1 to 34 Bright Street, Colne",yes,,2019-10-14,,0.287,9,9,Work has started on site. Full: Major: Erection of 10 semi-detached bungalows with associated bin storage and parking.,local-authority-eng:PEN,not owned by a public authority,2018-12-07,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1714 53.8581),CE197,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"Colne Commercial Centre, Exchange Street, Colne",yes,,2019-10-14,,0.033,1,1,The owner intends to start this year.. Prior Approval Notification: (Class O - Offices to Dwelling Houses) Change of use of B1(a) Office to up to 16 dwellings C3.,local-authority-eng:PEN,not owned by a public authority,2018-10-24,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,other,POINT(-2.1709 53.8559),CE198,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"Garage site to the rear of 10-24 Essex Street, Colne",yes,,2019-10-14,,0.274,5,5,No work has been started been started on this site as yet.. Full: Major: Erection of 15 residential units including 9 dwelling houses and 6 apartments with 26 car parking spaces (resubmission).,local-authority-eng:PEN,not owned by a public authority,2019-01-14,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1683 53.8543),CE200,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
"58-60 Brown Street West, Colne",yes,,2019-10-14,,0.058,2,2,Work has started on site. Full: Major: Change of use from light industrial (Use Class B1) to 10 residential apartments (Use Class C3).,local-authority-eng:PEN,not owned by a public authority,2019-03-11,https://publicaccess.pendle.gov.uk/online-applications/,permissioned,full planning permission,POINT(-2.1802 53.8557),CE201,http://www.pendle.gov.uk/downloads/file/10031/site_plan_sh013_-_salterforth_mill_earby_road_salterforth,2019-10-14
