site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Velodrome Saffron Lane,yes,,2017-12-31,,1.28,53,53,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.134419 52.614589),MRQ5191,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=19&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/MRQ5191
241 Loughborough Road - Rear of Bestway,yes,,2017-12-31,,2.7,161,161,Planning permission for 161 dwellings,local-authority-eng:LCE,not owned by a public authority,2014-05-07,,permissioned,full planning permission,POINT(-1.123805 52.663049),NGS5719_20131484,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=31&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/NGS5719-20131484
Abbey Meadows - remainder of site,yes,,2017-12-31,,1.7,110,110,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.129888 52.649632),MJS5316,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=61&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/MJS5316
Abbey Park Road Bus Depot (MHT),yes,,2017-12-31,,3.65,400,400,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.128561 52.646475),MKE9020,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=68&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/MKE9020
Former Merlin Works - Bath Lane (No 1 Westbridge),yes,,2017-12-31,,0.61,388,388,Planning permission for 388 flats,local-authority-eng:LCE,not owned by a public authority,2013-03-20,,permissioned,full planning permission,POINT(-1.143787 52.635618),LMU4746_20130021,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=71&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/LMU4746-20130021
Leicester House - Lee Circle,yes,,2017-12-31,,0.2,96,96,Planning permission for 96 flats,local-authority-eng:LCE,not owned by a public authority,2001-10-19,,permissioned,full planning permission,POINT(-1.128495 52.638059),NMF7932_20011249,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=96&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/NMF7932-20011249
38-44 York Street and 31-33 Dover Street,yes,,2017-12-31,,0.08,49,49,Planning permission for 49 flats,local-authority-eng:LCE,not owned by a public authority,2017-02-16,,permissioned,full planning permission,POINT(-1.129579 52.631697),NNP0827_20161604,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=110&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/NNP0827-20161604
Former Filbert Street Stadium (remainder of site),yes,,2017-12-31,,1.33,73,73,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.139514 52.622965),LPM0921,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=122&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/LPM0921
143-147 Queens Road,yes,,2017-12-31,,0.12,41,41,Planning permission for 41 flats,local-authority-eng:LCE,not owned by a public authority,2014-12-31,,permissioned,full planning permission,POINT(-1.116589 52.61603),ORJ0995_20132156,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=176&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/ORJ0995-20132156
10-12 Fairfax Road,yes,,2017-12-31,,0.2,30,30,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.098133 52.655934),RIF9950_20072213,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=181&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/RIF9950-20072213
4 Wheat Street,yes,,2017-12-31,,0.06,34,34,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.126913 52.639407),NMB8286,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=187&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/NMB8286
101 Knighton Fields Road West,yes,,2017-12-31,,0.08,22,22,,local-authority-eng:LCE,not owned by a public authority,,,not permissioned,,POINT(-1.132807 52.611187),MSI2463,https://maps.leicester.gov.uk/map/Aurora.svc/run?script=%5CAurora%5Cw3%5CPLANNING%5Cw3LP.AuroraScript%24&inspect_query=BFReg&inspect_value=209&show_layers=BFReg&hide_layers=Wards&nocache=32281332-3504-d8fd-d4e6-2ea6a181fb0a&resize=always,2017-12-31,brownfield-land/local-authority-eng/LCE/MSI2463
