name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BR0002,"Land off York Road, St Ann's, Rotherham, S65 1PN",yes,,2018-11-30,,0.47,30,15,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,owned by a public authority,,,not permissioned,,,BR0002,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0002
BR0004,"Land at Boswell Street and Arundel Road, Herringthorpe, Rotherham",yes,,2018-11-30,,0.46,15,11,,local-authority-eng:ROT,,,,not permissioned,,,BR0004,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0004
BR0005,"Land behind Bradgate Club, Bradgate Lane, Rotherham, S61 1QJ",,,2018-11-30,,0.59,19,14,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,,,,not permissioned,,,BR0005,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0005
BR0006,"Timberyard, Outgang Lane, Dinnington, S25 3QX",yes,,2018-11-30,,7.96,271,167,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2012/1643,not permissioned,,,BR0006,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0006
BR0008,"Tarmac site off Blyth Road, Maltby, Rotherham, S64 8HJ",yes,,2018-11-30,,0.95,25,18,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,not owned by a public authority,2017-06-02,http://rotherham.planportal.co.uk/?id=RB2015/1075,permissioned,full planning permission,,BR0008,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0008
BR0009,"North Farm Close, Harthill, S26 7YH",,,2018-11-30,,0.75,17,14,Part of proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,not owned by a public authority,,,not permissioned,,,BR0009,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0009
BR0010,"128-130 Wellgate, Rotherham, S60 2LL",yes,,2018-11-30,,0.65,100,52,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2006/0925,not permissioned,,,BR0010,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0010
BR0011,"Moorgate House, Moorgate Road, Rotherham, S60 2AD",yes,,2018-11-30,,0.43,26,10,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2007/1136,not permissioned,,,BR0011,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0011
BR0012,"Land off Mansfield Road, North of A57, Aston, Rotherham",yes,,2018-11-30,,0.78,24,18,Proposed housing allocation in the Rotherham Local Plan. Forms part of a wider allocation which in total is estimated to have capacity for 99 homes,local-authority-eng:ROT,not owned by a public authority,,,not permissioned,,,BR0012,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0012
BR0013,"Land to the north west of Doncaster Road, Dalton, Rotherham",yes,,2018-11-30,,0.63,38,15,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,not owned by a public authority,,,not permissioned,,,BR0013,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0013
BR0014,"Charnwood House, Charnwood Street, Swinton, Rotherham",yes,,2018-11-30,,0.62,20,15,Proposed housing allocation in the Rotherham Local Plan,local-authority-eng:ROT,owned by a public authority,,,not permissioned,,,BR0014,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0014
BR0015,"The Howard Building, Howard Street, Rotherham, S65 1AX",yes,,2018-11-30,,0.21,125,64,Part of site is subject to a prior approval for change from office to residential use (53 apartments; RMBC2014/1453). Remainder of the site has permission (RB2014/1499) for conversion to residential use for 72 apartments. Application to vary conditions 2018,local-authority-eng:ROT,not owned by a public authority,2015-04-16,http://rotherham.planportal.co.uk/?id=RB2014/1453|http://rotherham.planportal.co.uk/?id=RB2014/1499,not permissioned,full planning permission,,BR0015,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0015
BR0016,"Techtronics, 22 St Georges Drive, Brinsworth, Rotherham, S60 5NG",,,2018-11-30,,0.12,5,4,,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2014/0502,not permissioned,,,BR0016,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0016
BR0018,"31 Carlyle Road, Maltby, Rotherham, S66 7LP",,,2018-11-30,,0.03,6,1,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2004/1022,not permissioned,,,BR0018,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0018
BR0019,"Land at Oldgate Lane, Thrybergh, Rotherham, S65 4JX",,,2018-11-30,,0.08,6,3,Current temporary permission for use of land as a car wash expires 31 October 2021,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2006/0226,not permissioned,,,BR0019,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0019
BR0020,"Land at Herringthorpe Valley Road, Herringthorpe, Rotherham",,,2018-11-30,,0.14,8,4,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2006/2156,not permissioned,,,BR0020,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0020
BR0021,"Land at Challenger Tyre & Exhaust, Wellgate, Rotherham Town Centre",,,2018-11-30,,0.34,30,12,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2007/0124,not permissioned,,,BR0021,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0021
BR0022,"Land at Morrell Street, Maltby, S66 7LP",,,2018-11-30,,0.07,8,2,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2007/0839,not permissioned,,,BR0022,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0022
BR0023,"Former Lordens Hotel, 64 Doe Quarry Lane, Dinnington, Rotherham, S25 2NN",yes,,2018-11-30,,0.31,9,9,Site cleared. 15 dwellings,local-authority-eng:ROT,not owned by a public authority,2018-11-22,http://rotherham.planportal.co.uk/?id=RB2018/1231,permissioned,full planning permission,,BR0023,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0023
BR0024,"Land at Cemetery Road, Wath-upon-Dearne, Rotherham, S63 6LL",,,2018-11-30,,0.23,27,7,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2008/0485,not permissioned,,,BR0024,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0024
BR0025,"2-4 Essoldo Chambers, High Street, Rotherham Town Centre, S60 1PZ",,,2018-11-30,,0.04,8,3,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2008/1271,not permissioned,,,BR0025,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0025
BR0027,"Land at Hollowgate Avenue, Wath-upon-Dearne, Rotherham",,,2018-11-30,,0.35,14,5,,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2014/1376,not permissioned,,,BR0027,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0027
BR0028,"13 Quarry Lane, North Anston, Rotherham, S25 4DB",yes,,2018-11-30,,0.17,4,4,6 dwellings,local-authority-eng:ROT,not owned by a public authority,2015-11-06,http://rotherham.planportal.co.uk/?id=RB2015/1258,permissioned,outline planning permission,,BR0028,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0028
BR0030,"20-22 Bradgate Lane, Rotherham, S61 1QH",,,2018-11-30,,0.09,6,3,,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2011/0877,not permissioned,,,BR0030,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0030
BR0031,"1 Magna Lane, Dalton, Rotherham, S65 4HH",,,2018-11-30,,0.07,7,3,,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2011/0863,not permissioned,,,BR0031,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0031
BR0032,"The Rectory, 36 Union street, Harthill, Rotherham, S26 7YH",,,2018-11-30,,0.21,4,4,5 dwellings,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2017/1365,permissioned,,,BR0032,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0032
BR0033," Former Laudsdale House Care Home, Laudsdale Road, East Herringthorpe, Rotherham, S65 3LY",,,2018-11-30,,0.44,26,12,,local-authority-eng:ROT,not owned by a public authority,,http://planning.rotherham.gov.uk/fastweblive/detail.asp?AltRef=RB2010/1467,not permissioned,,,BR0033,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0033
BR0035,"7 Hunger Hill Lane, Whiston, Rotherham, S60 4BD",,,2018-11-30,,0.2,5,3,Any redevelopment should retain the existing ground floor shop units,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2012/1727,not permissioned,,,BR0035,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0035
BR0036,"Land off Monksbridge Road, Dinnington, Rotherham, S25 3QS",,,2018-11-30,,1.4,45,34,,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2013/0606,not permissioned,,,BR0036,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0036
BR0037,"Station Works, Station Street, Swinton, Rotherham, S64 8AU",,,2018-11-30,,0.13,14,4,,local-authority-eng:ROT,not owned by a public authority,,http://rotherham.planportal.co.uk/?id=RB2013/0741,not permissioned,,,BR0037,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0037
BR0038,"Land at Ryton Road, South Anston, Rotherham",yes,,2018-11-30,,0.93,28,28,Part of proposed housing allocation in the Rotherham Local Plan. Up to 30 dwellings,local-authority-eng:ROT,not owned by a public authority,2016-04-25,http://rotherham.planportal.co.uk/?id=RB2015/0472,permissioned,outline planning permission,,BR0038,http://communitymapping.rotherham.gov.uk/Communitymapfindit/findit/,2017-09-29,/brownfield-land/local-authority-eng/ROT/BR0038
