site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Police Station, 12, Bell Road, Bottisham, CAMBRIDGE, CB25 9DF",yes,,2017-12-12,,0.11048,9,9,Redevelopment of former police station Construction of 9No. Flats with offstreet parking and new access road off Bell Road,local-authority-eng:ECA,not owned by a public authority,2017-09-03,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFM1FRGGKPB00,permissioned,full planning permission,POINT(0.256845 52.222905),BLR0201,https://www.eastcambs.gov.uk/sites/default/files/BLR0201.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR0201
Former D S Smith Site Reach Road Burwell Burwell CB25 0AH,yes,,2017-12-12,,3.052829,70,70,Approval of details for all reserved matters for the housing element ( plots 1-70) of planning application 14/00046/OUM,local-authority-eng:ECA,not owned by a public authority,2016-02-19,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NWOI9ZGGFM100&activeTab=summary,permissioned,reserved matters approval,POINT(0.322746 52.266392),BLR0501,https://www.eastcambs.gov.uk/sites/default/files/BLR0501.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR0501
"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",yes,12/12/2019,2017-12-12,,0.512696,8,8,Reserved matters application for erection of eight detached dwellings,local-authority-eng:ECA,not owned by a public authority,2017-12-06,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OXEMKQGGI2S00,permissioned,reserved matters approval,POINT(0.462439 52.21174),BLR0601,https://www.eastcambs.gov.uk/sites/default/files/BLR0601.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR0601
Land At Barton Road Car Park Barton Road Ely Cambridgeshire,yes,12/12/2019,2017-12-12,,0.18571,11,11,"Residential development for 11 dwellings, with minor alterations to the existing vehicular and pedestrian access.",local-authority-eng:ECA,owned by a public authority,2016-12-28,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NXYI08GGGGP00&activeTab=summary,permissioned,reserved matters approval,POINT(0.258723 52.396555),BLR1001,https://www.eastcambs.gov.uk/sites/default/files/BLR1001.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1001
"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",yes,,2017-12-12,,0.095662,6,6,Refurbishment and partial demolition of existing building to provide five residential townhouses and one residential apartment over retained commercial unit.,local-authority-eng:ECA,not owned by a public authority,2017-08-08,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OPQMUYGGK4S00,permissioned,full planning permission,POINT(0.266795 52.398304),BLR1002,https://www.eastcambs.gov.uk/sites/default/files/BLR1002.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1002
"The Grange, Nutholt Lane, Ely CB7 4EE",yes,,2017-12-12,,0.604838,10,10,"The site is allocated by the Local Plan for mixed-use development. Allocated for a retail-led scheme (4,200sqm max), with retail and/or office as complimentary uses.",local-authority-eng:ECA,owned by a public authority,,,not permissioned,,POINT(0.263666 52.400841),BLR1003,https://www.eastcambs.gov.uk/sites/default/files/BLR1003.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1003
"Police/ Abulance Station, Nutholt Lane, Ely, CB7 4PL",yes,,2019-11-12,,,30,30,Land allocated in adopted 2015 Local Plan,local-authority-eng:ECA,not owned by a public authority,,,not permissioned,,POINT(0.264065 52.401569),BLR1035,https://www.eastcambs.gov.uk/sites/default/files/BLR1035%20-%20Police%20%26%20Ambulance%20Station%2C%20Nutholt%20Lane.pdf,2019-11-12,brownfield-land/local-authority-eng/ECA/BLR1035
"Paradise Leisure Centre, Newnham St, Ely CB7 4PQ",yes,,2017-12-12,,1.036523,50,50,"The site is allocated by the Local Plan for mixed-use development. Allocated as a residential-led scheme with potential for other uses, such as offices, leisure and small-scale retail.",local-authority-eng:ECA,owned by a public authority,,,not permissioned,,POINT(0.266758 52.401932),BLR1004,https://www.eastcambs.gov.uk/sites/default/files/BLR1004.jpg,2017-12-12,brownfield-land/local-authority-eng/ECA/BLR1004
"Waitrose Car Park area, Brays Lane, Ely, CB7 4QJ",yes,,2019-11-12,,,20,20,Land allocated in adopted 2015 Local Plan,local-authority-eng:ECA,not owned by a public authority,,,not permissioned,,POINT(0.267654 52.40062),BLR1034,https://www.eastcambs.gov.uk/sites/default/files/BLR1034%20-%20Waitrose%20Car%20Park%2C%20Ely.pdf,2019-11-12,brownfield-land/local-authority-eng/ECA/BLR1034
Alexander House 38 Forehill Ely Cambridgeshire,yes,,2019-11-12,,0.1454,20,20,,local-authority-eng:ECA,not owned by a public authority,2018-05-31,https://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=P72ILDGG0CS00,permissioned,full planning permission,POINT(0.268003 52.39784),BLR1036,https://www.eastcambs.gov.uk/sites/default/files/BLR1036%20-%20%2038%20Forehill%2C%20Ely.pdf,2019-11-12,brownfield-land/local-authority-eng/ECA/BLR1036
