name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
SWDP43/3,Ribble Close & Gas Holder Site,yes,,2019-12-14,,1.2,50,40,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.203305 52.190268),SWDP43/3,,,/brownfield-land/local-authority-eng/WOC/SWDP43-3
SWDP43/19,"Blackpole Road, Western Power Distribution Depot",yes,,2019-12-14,,2.58,40,40,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,,SWDP43/19,,,/brownfield-land/local-authority-eng/WOC/SWDP43-19
SWDP43/a,73-77 Bromwich Road,yes,,2019-12-14,,0.14,11,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,,SWDP43/a,,,/brownfield-land/local-authority-eng/WOC/SWDP43-a
SWDP43/c,"Malvern Gate, Bromwich Road",yes,,2019-12-14,,1.28,55,45,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.234108 52.173761),SWDP43/c,,,/brownfield-land/local-authority-eng/WOC/SWDP43-c
SWDP43/9,"Old Brewery Service Station, Barbourne Road",yes,,2019-12-14,,0.14,18,12,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,permissioned,full planning permission,POINT(-2.2261 52.202013),SWDP43/9,,,/brownfield-land/local-authority-eng/WOC/SWDP43-9
SWDP43/f,"County Council Offices, Sherwood Lane",yes,,2019-12-14,,0.5,30,25,,local-authority-eng:WOC,owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.237981 52.17502),SWDP43/f,,,/brownfield-land/local-authority-eng/WOC/SWDP43-f
SWDP43/g,"County Council Offices, Bilford Road",yes,,2019-12-14,,0.67,20,15,,local-authority-eng:WOC,owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.216007 52.213017),SWDP43/g,,,/brownfield-land/local-authority-eng/WOC/SWDP43-g
SWDP43/h,"Laugherne Garage, Bransford Road",yes,,2019-12-14,,0.44,10,8,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.253973 52.183961),SWDP43/h,,,/brownfield-land/local-authority-eng/WOC/SWDP43-h
SWDP43/m,"Former Club House, Tolladine Golf Course",yes,,2019-12-14,,0.5,15,9,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.188366 52.199268),SWDP43/m,,,/brownfield-land/local-authority-eng/WOC/SWDP43-m
SWDP43/q,79 St Johns,yes,,2019-12-14,,0.05,10,10,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,pending decision,other,POINT(-2.235188 52.186872),SWDP43/q,,,/brownfield-land/local-authority-eng/WOC/SWDP43-q
SWDP43/s,Rose Avenue,yes,,2019-12-14,,0.18,8,5,,local-authority-eng:WOC,not owned by a public authority,,https://www.worcester.gov.uk/planning-application-search,not permissioned,other,POINT(-2.201603 52.198356),SWDP43/s,,,/brownfield-land/local-authority-eng/WOC/SWDP43-s
