site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
The Depot (Commercial Centre) Old Bracknell Lane West Bracknell,,,2018-12-19,,1.53,115,115,Site Allocated in Local Plan PDL in Defined Settlenments,local-authority-eng:BRC,owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.755259 51.412427),Map ref 1 Policy SA1 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-ref-1-Policy-SA1-SALP--July-2013-
Albert Road Car Park Bracknell,,,2018-12-19,,0.53,40,40,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.751896 51.419225),Map ref 2 Policy SA1 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-ref-2-Policy-SA1-SALP--July-2013-
Downside Wildridings Road Bracknell,,,2018-12-19,,0.46,26,26,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,not owned by a public authority,2018-06-29,https://www.bracknell-forest.gov.uk/view-or-comment-planning-applications/access-online-planning-register,permissioned,full planning permission,POINT(-0.756377 51.410424),Map ref 3 Policy SA1 SALP (July 2013) 17/01065/FUL,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-ref-3-Policy-SA1-SALP--July-2013--17-01065-FUL
Land at Battle Bridge House & garage Forest Road Warfield,,,2018-12-19,,0.29,10,10,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.749171 51.435292),Map ref 4 Policy SA1 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-ref-4-Policy-SA1-SALP--July-2013-
White Cairn Dukes Ride Crowthorne,,,2018-12-19,,0.5,16,16,Site Allocated in Local Plan - Edge of Settlement Site,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.810864 51.368053),Map ref 5 Policy SA3 SALP (July 2013),https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-ref-5-Policy-SA3-SALP--July-2013-
Old Bracknell Lane West Bracknell,,,2018-12-19,,2.51,131,131,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.755259 51.412427),Map ref 7 Policy SA1 Residual SALP July 2013,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-ref-7-Policy-SA1-Residual-SALP-July-2013
Land North of Eastern Road (Greenwood/MOT/Radius Court),,,2018-12-19,,1.98,188,188,Site Allocated in Local Plan - PDL in Defined Settlenments,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.739744 51.415552),Map Ref 8 Policy SA1 Residual July 2013 SALP,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-Ref-8-Policy-SA1-Residual-July-2013-SALP
Land at Broadmoor Crowthorne,,,2018-12-19,,15,270,270,Site Allocated in Local Plan - Mixed use development. Site is affected by a number of heritage constraints.,local-authority-eng:BRC,not owned by a public authority,,https://www.bracknell-forest.gov.uk/planning-and-building-control/planning/planning-policy/development-plan/site-allocations-local-plan,not permissioned,,POINT(-0.781 51.369086),Map Ref 9 Policy SA4 SALP July 2013,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-Ref-9-Policy-SA4-SALP-July-2013
Wyevale Garden Centre Forest Road Binfield,,,2018-12-19,,1.89,33,33,,local-authority-eng:BRC,not owned by a public authority,,http://consult.bracknell-forest.gov.uk/file/4867117,pending decision,full planning permission,POINT(-0.775567 51.434338),Map Ref 10 SHELAA BIN4,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-Ref-10-SHELAA-BIN4
Town square The Ring Bracknell,,,2018-12-19,,1.16,130,130,,local-authority-eng:BRC,not owned by a public authority,,http://consult.bracknell-forest.gov.uk/file/4867117,not permissioned,,POINT(-0.747572 51.417479),Map Ref 12 SHELAA BRA7,https://www.bracknell-forest.gov.uk/sites/default/files/documents/brownfield-register-map.pdf,2017-10-01,brownfield-land/local-authority-eng/BRC/Map-Ref-12-SHELAA-BRA7
