site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Saffron Walden CB10 1EF,yes,,,,,,,,,not owned by a public authority,,,Not permissioned,,POINT(0.239766 52.022188),UBLR/17/001,,,
"Rear of 10-12 Bridge Street, Saffron Walden CB10 1BU",yes,,,,,,,,,not owned by a public authority,,,Not permissioned,,POINT(0.237135 52.025268),UBLR/17/002,,,
"Parsonage Downs, Great Dunmow, CM6 2AU",yes,,,,,,,,,owned by a public authority,,,Not permissioned,,POINT(0.353747 51.882351),UBLR/17/003,,,
"Bardfield Road, Thaxted, CM6 2LW",yes,,,,,,,,,not owned by a public authority,,,Not permissioned,,POINT(0.350018 51.951786),UBLR/17/004,,,
"Thaxted Road, Saffron Walden CB11 3AA",yes,,,,,,,,,not owned by a public authority,,,Not permissioned,,POINT(0.24931 52.02241),UBLR/17/005,,,
"14 Stortford Road, Great Dunmow, CM6 1DF",yes,,,,,,,,,not owned by a public authority,,,Not permissioned,,POINT(0.358797 51.873347),UBLR/17/007,,,
"New Street, Great Dunmow, CM6 1BH",yes,,,,,,,,,owned by a public authority,,,Not permissioned,,POINT(0.364334 51.870053),UBLR/17/008,,,
"Thaxted Road, Saffron Walden, CB10 2UQ",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.256467 52.01374),UBLR/17/009,,,
"Royston Road, Wendens Ambo, CB11 4JX",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.206296 52.005536),UBLR/17/011,,,
"Chelmsford Road, White Roding CM6 1RF",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.270857 51.799162),UBLR/17/013,,,
"Clapton Hall Lane, Dunmow CM6 1JF",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.360457 51.861758),UBLR/17/016,,,
"Dunmow Road, Stebbing CM6 3LF",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.444936 51.878719),UBLR/17/017,,,
"Stortford Road, Great Dunmow, Essex",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.20481 51.871434),UBLR/19/001,,,
"Haslers Lane, Dunmow, CM6 1XS",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.364541 51.869284),UBLR/19/002,,,
"Start Hill, Stane Street, Great Hallingbury, Hertfordshire CM22 7TA",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.20481 51.871434),UBLR/19/003,,,
"Hammonds Road, Hatfield Broad Oak, CM22 7JN",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.248161 51.826316),UBLR/19/004,,,
"Station Road, Little Dunmow, CM6 3HF",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.417769 51.864443),UBLR/19/005,,,
"Thaxted Road, Saffron Walden, Essex",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.256312 52.013842),UBLR/19/006,,,
"Copthall Lane, Thaxted, CM6 2LG",yes,,,,,,,,,not owned by a public authority,,,permissioned,,POINT(0.355229 51.957068),UBLR/19/007,,,
1 mile north of Debden,,,,,,,,,,owned by a public authority,,,Not permissioned,,POINT(0.283096 51.989181),UBLR/19/009,,,
