name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BFL/BAR/003,"Beaufort Walk, Gorwell Barnstaple EX32 7JD",yes,,2017-08-02,,0.41,32,32,"Gross 32 residential units net 16.. DEMOLITION OF EXISTING DWELLINGS & CAR PARKING AREAS & ERECTION OF 32 DWELLINGS, COMMUNITY CENTRE & ASSOCIATED AMENITY SPACE, LANDSCAPING & PARKING",local-authority-eng:NDE,not owned by a public authority,,,pending decision,Permission in principle,POINT(-4.047075 51.083756),BFL/BAR/003,https://www.northdevon.gov.uk/media/378044/bfl-bar-003-beaufort-walk-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-003
BFL/GEO/012,"Bay View Farm, Croyde Road Croyde Braunton EX33 1PN",,,2017-08-02,,0.25,6,3,Car parking / reception area and traditional stone barn attached to existing camping and caravan site.,local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.226592 51.126987),BFL/GEO/012,https://www.northdevon.gov.uk/media/378081/bfl-geo-012-bay-view-caravan-park-croyde-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-GEO-012
BFL/GEO/017,"Fairleigh, Crowborough Road Georgeham Braunton EX33 1JZ",,,2017-08-02,,0.37,10,8,Gross 8 residential units net 6. 63390 : ERECTION OF TWO DWELLINGS (ADDITIONAL TO 8 APPROVED DWELLING UNDER PLANNING PERMISSION 59996). Pending Decision.. DEMOLITION OF EXISTING BUILDINGS & ERECTION OF 8 DWELLINGS,local-authority-eng:NDE,not owned by a public authority,2017-04-19,,permissioned,full planning permission,POINT(-5.932832 51.087487),BFL/GEO/017,https://www.northdevon.gov.uk/media/378082/bfl-geo-017-fairleigh-crowborough-road-georgeham-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-GEO-017
BFL/BAR/018,"The Tile Centre, 113 Boutport Street Barnstaple EX31 1TD",yes,,2017-08-02,,0.03,6,6,ALTERATIONS TO & CONVERSION OF BUILDING TO FORM 6 FLATS (AMENDED RED OUTLINE WHICH REMOVES CAR PARKING FROM THE PROPOSAL),local-authority-eng:NDE,not owned by a public authority,2014-10-13,,permissioned,full planning permission,POINT(-4.05895 51.081731),BFL/BAR/018,https://www.northdevon.gov.uk/media/378046/bfl-bar-018-113-boutport-street-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-BAR-018
BFL/MOR/019,"Land adjacent Woolacombe Station Road, Mortehoe Ilfracombe EX34 7HN",yes,,2017-08-02,,0.21,4,4,59371 : ERECTION OF FOUR NEW DWELLINGS (AMENDED PLANS & CONTAMINATION REPORT) (ADDITIONAL INFORMATION). Approved 24/01/17. Part of site for 6 dwellings has been built. The remaining 4 dwellings have stalled. 55668 : THE PROVISION OF TWO INTERMEDIATE RENT HOUSES (AFFORDABLE) & THE PROVISION OF FOUR OPEN MARKET HOUSES TOGETHER WITH FORMATION OF ACCESS AND CAR PARKING (AMENDED DESCRIPTION & PLANS). Approved 17/09/15. APPROVAL OF DETAILS IN RESPECT OF DISCHARGE OF CONDITION 7 (CONSTRUCTION MANAGEMENT PLAN) ATTACHED TO PLANNING PERMISSION 59371),local-authority-eng:NDE,not owned by a public authority,2017-06-21,,permissioned,reserved matters approval,POINT(-4.17009 51.17379),BFL/MOR/019,https://www.northdevon.gov.uk/media/378062/bfl-mor-019-land-adj-woolacombe-station-road-1-1250.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-MOR-019
BFL/MOR/021,"The Rocks Hotel, Beach Road Woolacombe Ilfracombe EX34 7BT",yes,,2017-08-02,,0.06,5,5,Gross 7 residential units net 5.. RETENTION OF TWO RESIDENTIAL FLATS & EXTENSION / CONVERSION OF HOTEL TO FORM FIVE RESIDENTIAL FLATS,local-authority-eng:NDE,not owned by a public authority,2015-04-14,,permissioned,full planning permission,POINT(-4.204602 51.172695),BFL/MOR/021,https://www.northdevon.gov.uk/media/378094/bfl-mor-021-the-rocks-hotel-woolacombe-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-MOR-021
BFL/ILF/022,"John Fowler Holidays, Ilfracombe Holiday Park Marlborough Road Ilfracombe EX34 8PF",yes,,2017-08-02,,3.14,80,60,"OUTLINE PLANNING APPLICATION FOR DEMOLITION OF HOLIDAY CHALETS, ERECTION OF UP TO 80 DWELLINGS, FORMATION OF PUBLIC OPEN SPACE, RECONFIGURATION OF EXISTING ACCESSES ONTO WORTH ROAD & OLD BARNSTAPLE ROAD",local-authority-eng:NDE,not owned by a public authority,2016-06-10,,permissioned,outline planning permission,POINT(-4.11215 51.200104),BFL/ILF/022,https://www.northdevon.gov.uk/media/378083/bfl-ilf-022-former-john-fowler-holiday-park-ilfracombe-1-2500.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-ILF-022
BFL/LAN/027,"Westacott Heights, Whiddon Valley BARNSTAPLE EX32 7NF",,,2017-08-02,,0.6,21,18,This site forms part of the strategic urban extension at Westacott in the emerging Local Plan (BAR01). Redevelopment of this brownfield site must not prejudice the comprehensive delivery of BAR01.,local-authority-eng:NDE,not owned by a public authority,,,Not permissioned,,POINT(-4.020828 51.078754),BFL/LAN/027,https://www.northdevon.gov.uk/media/378093/bfl-lan-027-westacott-heights-whiddon-valley-1-2500.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-LAN-027
BFL/FRE/028,"Land at Yelland Quay, Yelland BARNSTAPLE EX31 3EZ",,,2017-08-02,,11.9,280,250,Site is allocated for approximately 250 dwellings in the emerging Local Plan (FRE02).. OUTLINE APPLICATION FOR 280 DWELLINGS (USE CLASS C3),local-authority-eng:NDE,not owned by a public authority,,,pending decision,,POINT(-4.162222 51.069775),BFL/FRE/028,https://www.northdevon.gov.uk/media/378052/bfl-fre-028-land-at-yelland-quay-1-3500.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-FRE-028
BFL/MOR/029,"Panorama, Rockfield Road Woolacombe Ilfracombe EX34 7DH",yes,,2017-08-02,,0.54,5,5,Gross 5 residential units net 4. 56934 : DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER WITH ASSOCIATED WORKS. Approved 02/06/14 54876 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 50819 DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA. Approved 21/12/12 50819 : EXTENSION OF TIME LIMIT FOR IMPLEMENTATION OF PLANNING PERMISSION 45947 FOR DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS WITH PARKING AREA. Approved 22/09/10 45947 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 41949). Approved 31/03/08 41949 : DEMOLITION OF BUNGALOW & ERECTION OF 5 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDMENT TO PLANNING PERMISSION 40183) (AMENDED PLANS). Approved 08/09/06 40183 : DEMOLITION OF BUNGALOW & ERECTION OF 4 APARTMENTS TOGETHER WITH FORMATION OF PARKING AREA (AMENDED PLANS & DESCRIPTION). Approved 03/01/06. VARIATION OF CONDITION 2 (APPROVED PLANS) ATTACHED TO PLANNING PERMISSION 56934 DEMOLITION OF ONE DWELLING & ERECTION OF FIVE FLATS TOGETHER WITH ASSOCIATED WORKS TO ALLOW AMENDED DESIGN,local-authority-eng:NDE,not owned by a public authority,2016-08-11,,permissioned,full planning permission,POINT(-4.211249 51.175861),BFL/MOR/029,https://www.northdevon.gov.uk/media/378095/bfl-mor-029-panorama-rockfield-road-woolacombe-1-750.pdf,2017-08-02,/brownfield-land/local-authority-eng/NDE/BFL-MOR-029
