name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BR1,"48 Alexandra Street, Southend-On-Sea, Essex, SS1 1BJ",yes,,2017-03-31,,0.053,9,9,"3 x 1 Bed Houses, 6 x 1 Bed Houses",local-authority-eng:SOS,not owned by a public authority,2016-03-03,,permissioned,full planning permission,POINT(0.710936 51.535399),BR1,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR1
BR4,"Car Park Centurion Close, Shoeburyness, Essex, SS3 9UT",yes,,2017-03-31,,0.42,9,9,"1 x 1 Bed House, 7 x 1 Bed Houses and 1 x 1 Bed House",local-authority-eng:SOS,owned by a public authority,2017-03-01,,permissioned,full planning permission,POINT(0.794553 51.539237),BR4,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR4
BR5,"Chartwell House Chartwell Square (Plaza Centre), Southend-On-Sea, Essex, SS2 5SP",yes,,2017-03-31,,0.189,108,108,73 x 1 Bed Houses and 35 x 1 Bed Houses,local-authority-eng:SOS,not owned by a public authority,2016-01-05,,permissioned,full planning permission,POINT(0.712511 51.540552),BR5,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR5
BR6,"Part Of Former Keddies Building And Maitland House Chichester Road, Southend-On-Sea, Essex, SS1 2JY",yes,,2017-03-31,,0.276,98,98,"83 x 1 Bed Houses, 10 x 1 Bed Houses and 5 x 1 Bed Houses",local-authority-eng:SOS,not owned by a public authority,2011-06-30,,permissioned,full planning permission,POINT(0.713596 51.53916),BR6,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR6
BR7,"8 (Central House) Clifftown Road, Southend-On-Sea, Essex, SS1 1AB",yes,,2017-03-31,,0.296,28,28,8 x 1 Bed Houses and 20 x 1 Bed Houses,local-authority-eng:SOS,not owned by a public authority,2014-09-05,,permissioned,full planning permission,POINT(0.712727 51.537148),BR7,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR7
BR8,"6 (The Britannia) Eastern Esplanade, Southend-On-Sea, Essex, SS1 2ER",yes,,2017-03-31,,0.049,9,9,6 x 1 Bed Houses and 4 x 1 Bed Houses,local-authority-eng:SOS,not owned by a public authority,2017-03-02,,permissioned,full planning permission,POINT(0.725024 51.532483),BR8,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR8
BR9,"57 - 59 (The Sarah Moore Public House) Elm Road, Leigh-on-Sea, Essex, SS9 1SP",yes,,2017-03-31,,0.066,6,6,3 x 1 Bed Houses and 3 x 1 Bed Houses,local-authority-eng:SOS,not owned by a public authority,2017-01-24,,permissioned,full planning permission,POINT(0.654016 51.544067),BR9,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR9
BR10,"9 Elmer Approach, Southend-On-Sea, Essex, SS1 1NE",yes,,2017-03-31,,0.197,140,140,140 x Flats (bedrooms unknown),local-authority-eng:SOS,not owned by a public authority,2017-02-07,,permissioned,full planning permission,POINT(0.712014 51.538495),BR10,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR10
BR11,"Venture House (First Floor) Essex Street, Southend-On-Sea, Essex, SS1 2NY",yes,,2017-03-31,,0.009,1,1,1 x 1 Bed House,local-authority-eng:SOS,not owned by a public authority,2016-09-13,,permissioned,full planning permission,POINT(0.715698 51.540541),BR11,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR11
BR12,"Venture House (Ground Floor) Essex Street, Southend-On-Sea, Essex, SS1 2NY",yes,,2017-03-31,,0.009,1,1,1 x 1 Bed House,local-authority-eng:SOS,not owned by a public authority,2016-09-13,,permissioned,full planning permission,POINT(0.715698 51.540541),BR12,http://www.southend.gov.uk/downloads/200160/local_planning_framework,2017-03-31,/brownfield-land/local-authority-eng/SOS/BR12
