site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"AnchorStorage,EyeRoad,Kenton,IP146JJ",yes,,2017-12-21,,2,30,30,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Commercial Warehousing",local-authority-eng:MSU,not owned by a public authority,,,not permissioned,,POINT(1.2109 52.2511),SS0401,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:619251/y:266337/z:12/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0401
"StowmarketMiddleSchool,WalnutTreeWalk,IP141JP",yes,,2017-12-21,,1,40,40,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Redundant Middle School",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,POINT(0.99 52.1898),SS0101,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:604477/y:258843/z:12/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0101
"NeedhamMarketMiddleSchool,SchoolStreet,IP68BB",yes,,2017-12-21,,1.26,40,40,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Redundant Middle School",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,POINT(1.0505 52.1522),SS0669,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:608811/y:254839/z:12/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0669
"MidSuffolkCouncilCarPark,HurstleaRoad,IP68DL",yes,,2017-12-21,,1.31,30,30,"See SHELAA (Aug 2017) Assessment Sheet. Mixed,CarParkandlandscaping",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,POINT(1.0467 52.1558),SS1005,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:608505/y:255199/z:13/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS1005
"CouncilDepot,CreetingRoadWest,Stowmarket,IP145AT",yes,,2017-12-21,,0.88,25,25,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,WorksDepotandOffices",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,POINT(1.0023 52.1895),SS0668,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:605328/y:258824/z:13/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0668
"MidSuffolkDistrictCouncilOffices,131HighStreet,NeedhamMarket",yes,,2017-12-21,,1.31,50,50,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,Council Offices",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,POINT(1.0488 52.156),SS0530,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:608633/y:255229/z:12/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0530
"LandSouthofGippingRoad,GreatBlakenham",yes,,2017-12-21,,0.41,20,20,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RecyclingFacility",local-authority-eng:MSU,not owned by a public authority,,,not permissioned,,POINT(1.1004 52.1095),SS0952,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:612405/y:250204/z:12/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0952
"PaddockHouse,WellingtonStreet,Eye,IP237BE",yes,,2017-12-21,,0.33,20,20,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RedundantCareHome",local-authority-eng:MSU,owned by a public authority,,,not permissioned,,POINT(1.1488 52.3213),SS0672,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:614686/y:273912/z:13/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0672
"LandnorthofGippingRoad,Westofrailwayline,GreatBlakenham",yes,,2017-12-21,,1.3,10,10,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RecyclingFacility",local-authority-eng:MSU,not owned by a public authority,,,not permissioned,,POINT(1.0985 52.1121),SS0864,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:612272/y:250494/z:11/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/MSU/SS0864
"Garages,ClaypitsAvenue,Bures St Mary",yes,,2017-12-21,,0.15,5,5,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,ResidentialGarages",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,POINT(0.7786 51.9711),SS0754,,2017-12-21,brownfield-land/local-authority-eng/BAB/SS0754
"AngelCourt,AngelStreet,Hadleigh",yes,,2017-12-21,,0.3,10,10,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,RedundantResidentialCareHome",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,POINT(0.9537 52.0457),SS0502,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:602647/y:242710/z:13/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/BAB/SS0502
"BaberghDistrictCouncilOffices,CorksLane,Hadleigh",yes,,2017-12-21,,0.69,20,20,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,CouncilOffices",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,POINT(0.9483 52.0481),SS0537,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:602236/y:242925/z:12/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/BAB/SS0537
"CouncilDepot,GreatWenham",yes,,2017-12-21,,0.3,6,6,"See SHELAA (Aug 2017) Assessment Sheet. Brownfield,CouncilWarehouseandDepot",local-authority-eng:BAB,owned by a public authority,,,not permissioned,,POINT(1.0167 52.0044),SS0507,http://baberghmidsuffolk.opus4.co.uk/planning/localplan/maps/consultation#/x:607141/y:238283/z:13/b:14/o:1599,2017-12-21,brownfield-land/local-authority-eng/BAB/SS0507
