name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
C21,"The Golden Age Inn, Moss Road, Cannock",yes,,2017-09-01,,0.21,20,20,"CH/15/0381 is full planning permission for the erection of 16 supported living apartments, granted January 2016. CH/16/022 is full planning permission for 4 supporting living apartments (formerly site C21(a)- total of 20 units). CH/15/0381/A is discharge of conditions application.",local-authority-eng:CAN,not owned by a public authority,2016-07-05,,permissioned,full planning permission,POINT(-2.011619 52.702189),C21,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C21
C90(b),"Whitelodge, New Penkridge Road, Cannock",yes,,2017-09-01,,0.23,13,13,"CH/16/410 is full planning permission for the conversion of the existing building to form 13 apartments, granted February 2017.",local-authority-eng:CAN,not owned by a public authority,2017-02-28,,permissioned,full planning permission,POINT(-2.045498 52.692778),C90(b),http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C90-b-
C269,"Blackford's Former Working Men's Club, Cannock Road, Cannock",yes,,2017-09-01,,0.4,26,26,"Buildings have been demolished. CH/15/0497 is full planning permission for 26 apartments, granted March 2017. Site owned by developer who intends to build out site.",local-authority-eng:CAN,not owned by a public authority,2017-03-21,,permissioned,full planning permission,POINT(-2.020569 52.696686),C269,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C269
C152,"26 - 28 Wolverhampton Road, Cannock",yes,,2017-09-01,,0.12,21,21,"CH/15/0078 is full planning permission for 21no. 1 bed flats, granted May 2015. Landowner intends to develop- potentially as landlord to future rental properties.",local-authority-eng:CAN,not owned by a public authority,2015-05-28,,permissioned,full planning permission,POINT(-2.032163 52.687586),C152,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C152
C364,"The Tackeroo, Bracken Close, Hednesford",yes,,2017-09-01,,0.1,10,10,"CH/16/144 is full planning permission for the erection of 10 apartments, granted January 2017. Landowner is intended developer of site. CH/16/144/A is discharge of conditions application.",local-authority-eng:CAN,not owned by a public authority,2017-01-17,,permissioned,full planning permission,POINT(-1.992214 52.721958),C364,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C364
C20,"410-418 Cannock Road, Cannock (AKA. Land at Cannock Road/Stafford Lane, Hightown)",yes,,2017-09-01,,0.7,30,30,"CH/15/0001 is full planning application for the demolition of existing retail units and the erection of 23no. 2 bedroom houses and 11no. 3 bedroom houses (all affordable housing), granted July 2015. The full extent of this site including greenfield land is 0.94ha with a capacity of 34 dwellings. The register reflects the size and indicative capacity of the brownfield element of the site only. For full details on the site please see the SHLAA.",local-authority-eng:CAN,not owned by a public authority,2015-07-23,,permissioned,full planning permission,POINT(-2.006573 52.706918),C20,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C20
C43,"Land behind 81-129 High Mount Street & 97-105 Mount Street, Hednesford",yes,,2017-09-01,,0.65,21,21,Demolition of 95 High Mount Street included in the Reserved Matters application granted in December 2007 for 22 dwellings (net 21). Building work has resumed on site following a stall in 2009. (CH/07/0507). 13 completions to date.,local-authority-eng:CAN,not owned by a public authority,2007-12-04,,permissioned,full planning permission,POINT(-2.003362 52.71598),C43,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C43
C128,"Hednesford Court Office, Angelsey Street, Hednesford",yes,,2017-09-01,,0.35,14,14,"CH/13/0132 is full planning permission for the erection of 5 pairs of 2-storey 3 bedroom houses (with rooms in roof space), 3 detached 2-storey 4 bedroom houses and 1 detached 3 bedroom bungalow, granted December 2013. 1 completion to date.",local-authority-eng:CAN,not owned by a public authority,2014-09-08,,permissioned,full planning permission,POINT(-2.001541 52.708222),C128,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C128
C222(b),"Edgemead Court - Units between Walsall Road and, Park Street, Bridgtown, Cannock",yes,,2017-09-01,,0.99,39,39,"CH/16/006 is full planning permission for the erection of 24 houses and 15 apartments, granted March 2016.",local-authority-eng:CAN,not owned by a public authority,2016-03-30,,permissioned,full planning permission,POINT(-2.026035 52.657526),C222(b),http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C222-b-
C272 (Part 2),"Langbourn, Hillcroft and Ivy House, Longford Road, Cannock ",yes,,2017-09-01,,0.4,14,14,"CH/16/364 is full planning permission for the conversion of offices to 14 apartments, granted November 2016. Landowner is intended developer of site.",local-authority-eng:CAN,not owned by a public authority,2016-11-22,,permissioned,full planning permission,POINT(-2.038004 52.683836),C272 (Part 2),http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C272--Part-2-
C327,"Land at junction of Cannock Road and Burgoyne Street, Cannock",yes,,2017-09-01,,0.3,14,14,"CH/14/0097 is full planning permission for 14 dwellings, granted March 2014.",local-authority-eng:CAN,not owned by a public authority,2016-10-19,,permissioned,full planning permission,POINT(-2.011116 52.705479),C327,http://cannockchase.addresscafe.com/app/exploreit/,2017-09-01,/brownfield-land/local-authority-eng/CAN/C327
