site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
Barn at Little Longs Chatham Green Little Waltham Chelmsford Essex,yes,,2017-10-24,,0.03,1,1,,local-authority-eng:CHL,,,,not permissioned,,POINT(0.48613 51.808943),CFS11,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS11
Former Industrial Site Rignals Lane Galleywood Chelmsford,yes,,2017-10-24,,1.64,20,20,,local-authority-eng:CHL,not owned by a public authority,,,not permissioned,,POINT(0.478567 51.699586),CFS197,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS197
Land North West of Lockside Marina Hill Road South Chelmsford,yes,,2017-10-24,,0.71,100,100,,local-authority-eng:CHL,not owned by a public authority,,,not permissioned,,POINT(0.48314 51.731819),CFS262,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS262
Baddow Road Car Park Baddow Road Chelmsford,yes,,2017-10-24,,0.029999999999999916,70,70,,local-authority-eng:CHL,owned by a public authority,,,not permissioned,,POINT(0.478921 51.729363),CFS263,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS263
Waterhouse Lane Depot and Nursery Waterhouse Lane Chelmsford,yes,,2017-10-24,,0.84,10,10,,local-authority-eng:CHL,owned by a public authority,,,not permissioned,,POINT(0.454225 51.732211),CFS266,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS266
Essex Police HQ and Sports Ground New Court Road Chelmsford,yes,,2017-10-24,,4.63,200,200,,local-authority-eng:CHL,owned by a public authority,,,not permissioned,,POINT(0.494267 51.738472),CFS267,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS267
Bell Works Well Lane Danbury Chelmsford,yes,,2017-10-24,,0.58,10,10,,local-authority-eng:CHL,not owned by a public authority,,,not permissioned,,POINT(0.566802 51.716369),CFS274,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS274
Former St Peters College Fox Crescent Chelmsford,yes,,2017-10-24,,11.19,100,100,,local-authority-eng:CHL,owned by a public authority,,,not permissioned,,POINT(0.453149 51.745237),CFS276,https://www.chelmsford.gov.uk/planning-and-building-control/planning-policy-and-new-local-plan/new-local-plan/call-for-sites-slaa-and-parish-maps/,2017-10-24,brownfield-land/local-authority-eng/CHL/CFS276
Land north west of Essex County Cricket Ground New Writtle Street Chelmsford,yes,,2017-10-30,,1.12,357,357,"Extension of time limit to permission reference 08/01235/EIA (Demolition of existing buildings and redevelopment of the Essex County Cricket Club County Ground and adjoining New Writtle Street car park to provide: New cricket pavilion, cricket centre and stands (capacity 8000) with ancillary catering, retail and office functions, new media centre, floodlighting and groundsman's facilities; Multi storey car park (307 spaces); 1,754sqm Retail (A1) and catering (A3/A4) uses; 413 residential units in three blocks comprising, 302 no. flats on riverside to the west of the site with under-croft parking, 109 no. flats on Parkway and 2 no. town houses at the site entrance from New Writtle Street",local-authority-eng:CHL,not owned by a public authority,2013-09-17,,permissioned,full planning permission,POINT(0.469213 51.731124),13/00690/ETL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30,brownfield-land/local-authority-eng/CHL/13-00690-ETL
24 Duke Street Chelmsford,yes,,2017-10-30,,0.38,84,84,"Demolition of all existing buildings and the erection of a mixed use development comprising 84 residential units, 1no. A1 unit and 5no. flexible commercial units (A1/A2/A3/B1/D1), together with parking, public realm and footpath improvements.",local-authority-eng:CHL,not owned by a public authority,2018-05-18,,permissioned,full planning permission,POINT(0.470391 51.73573),14/01692/FUL,https://publicaccess.chelmsford.gov.uk/online-applications/search.do,2017-10-30,brownfield-land/local-authority-eng/CHL/14-01692-FUL
