name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BK001,Heathside and Lethbridge Estate,yes,,2017-11-30,,6.05,645,645,"14/087333 (currently at phase 4) for mixed use development including 2-6 phases with a total of 1,225 residential units minus 565 existing units, with phase 4 (236 units) still to be logged as completed and phases 5 (284 units) and 6 (159 units) still to be approved",local-authority-eng:LEW,mixed ownership,2014-12-08,,permissioned,reserved matters approval,POINT(-0.0128 51.47114),BK001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK001
BK002,"BMW site, Lee Terrace",yes,,2017-11-30,,0.35,30,30,"16/095488 for mixed use development including 9 x one bedroom, 8 x two bedroom, 3 x three bedroom self-contained flats and 10 x four bedroom townhouses",local-authority-eng:LEW,not owned by a public authority,2016-10-20,,permissioned,full planning permission,POINT(0.000695 51.46352),BK002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK002
BK003,"Former petrol station, 167 Lewisham Road",yes,,2017-11-30,,0.07,28,28,15/091914 for mixed use development including 28 flats,local-authority-eng:LEW,not owned by a public authority,2016-03-16,,permissioned,full planning permission,POINT(-0.01082 51.4655),BK003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK003
BK004,"23 Boone Street, Dacre Park Estate",yes,,2017-11-30,,0.91,25,25,"14/089902 for residential development including 6 x 1 bedroom and 14 x 2 bedroom flats, 3 x 3 bedroom and 2 x 4 bedroom flats",local-authority-eng:LEW,owned by a public authority,2015-03-04,,permissioned,full planning permission,POINT(0.003763 51.45975),BK004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK004
BK005,"Tower House, 65-71 Lewisham High Street",yes,,2018-10-22,,0.17,56,56,"15/094039, 15/094870 and 17/100726 Prior Approval for residential development including two additional floors at roof level with 56 residential units",local-authority-eng:LEW,not owned by a public authority,2017-04-16,,permissioned,full planning permission,POINT(-0.0096 51.46289),BK005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK005
BK006,"Independents Day Centre, Independents Road",yes,,2017-11-30,,0.06,16,16,10/76229 for residential development including 10 x one bedroom self-contained flats and 4 x two bedroom and 2 x three bedroom self-contained maisonettes,local-authority-eng:LEW,not owned by a public authority,2013-12-17,,permissioned,full planning permission,POINT(0.008078 51.4654),BK006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK006
BK007,1 Myron Place,yes,,2017-11-30,,0.02,12,12,16/099036 Prior Approval for residential development including 12 studio flats,local-authority-eng:LEW,not owned by a public authority,2016-12-21,,permissioned,full planning permission,POINT(-0.0092 51.46277),BK007,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK007
BK008,"Our Lady of Lourdes School, Belmont Hill",yes,,2017-11-30,,0.26,9,9,15/094157 for residential development including 9 x four bedroom town houses comprising three pairs of semi-detached houses and one terrace of three houses,local-authority-eng:LEW,not owned by a public authority,2016-01-08,,permissioned,full planning permission,POINT(-0.00218 51.46321),BK008,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK008
BK009,Garages at 49-71 Dacre Park,yes,,2017-11-30,,0.09,5,5,14/89973 for residential development including 5 x two bedroom mews houses,local-authority-eng:LEW,owned by a public authority,2015-04-22,,permissioned,full planning permission,POINT(0.003934 51.46084),BK009,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK009
BK010,17 Brandram Road,,,2018-10-22,,0.03,6,6,Lapsed 07/65979 and Lapsed 09/73230 for residential development including 4 x one bedroom and 2 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(0.001491 51.46022),BK010,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BK010
BL001,351-355 Sydenham Road,yes,,2017-11-30,,0.04,9,9,14/88927 for residential development including 8 x two bedroom self-contained flats and 1 x one bedroom maisonette,local-authority-eng:LEW,not owned by a public authority,2015-02-02,,permissioned,full planning permission,POINT(-0.03835 51.42854),BL001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BL001
BL002,117 Dunfield Road,yes,,2017-11-30,,0.04,7,7,"16/99506 for residential development including 4 x one bedroom, 3 x two bedroom and 1 x three bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,2017-05-19,,permissioned,full planning permission,POINT(-0.01676 51.4245),BL002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BL002
BL003,"Kenton Court, 132 Adamsrill Road",yes,,2018-10-22,,0.2,25,25,"17/103961 for residential development including 5 x one bedroom, 15 x two bedroom, 4 x three bedroom and 1 x four bedroom self contained flats",local-authority-eng:LEW,owned by a public authority,2017-12-20,,permissioned,full planning permission,POINT(-0.04084 51.43023),BL003,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22,/brownfield-land/local-authority-eng/LEW/BL003
BL004,"Home Park Housing Office, 129 Winchfield Road",yes,,2018-10-22,,0.24,31,31,"18/106485 for mixed use development including 8 x one bedroom, 16 x two bedroom, 7 x three bedroomed self-contained flats",local-authority-eng:LEW,mixed ownership,2018-08-20,,permissioned,full planning permission,POINT(-0.03969 51.42521),BL004,http://www.lewisham.gov.uk/brownfieldregister,2018-10-22,/brownfield-land/local-authority-eng/LEW/BL004
BR001,"302-308, 310-312 New Cross Road",yes,,2017-11-30,,0.09,11,11,15/93085 for mixed use development including 16 x studio flats and 2 x one bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2015-12-09,,permissioned,full planning permission,POINT(-0.0374 51.47538),BR001,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BR001
BR003,1 Brockley Cross,yes,,2017-11-30,,0.02,5,5,17/100503 for residential development including 3 x one bedroom and 2 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2017-05-22,,permissioned,full planning permission,POINT(-0.03528 51.46578),BR003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BR003
BR004,97 - 103 Florence Road,,,2018-10-22,,0.09,9,9,"Lapsed 09/73121 for residential development including 1 x three bedroom, 2 x two bedroom and 6 x one bedroom self-contained flats",local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(-0.03072 51.47231),BR004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BR004
BR005,Land adjoining 196 Brockley Road,,,2018-10-22,,0.02,5,5,Lapsed 11/77443 for residential development including 2 x one bedroom and 2 x two bedroom self-contained flats and 1 x two bedroom self-contained maisonette,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(-0.03592 51.46276),BR005,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BR005
BR006,111 and 115 Endwell Road,,,2018-10-22,,0.43,40,40,Site Allocation SA30 for mixed use development including 40 residential units,local-authority-eng:LEW,not owned by a public authority,,,not permissioned,,POINT(-0.0366 51.46592),BR006,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/BR006
CP002,33 - 39 Beadnell Road,yes,,2017-11-30,,0.09,9,9,"15/091375 for mixed use development including 4 x three bedroom two storey houses, 1 x three bedroom maisonette, 1 x three bedroom flat, 1 x two bedroom flat and 2 x three bedroom live/work unit",local-authority-eng:LEW,not owned by a public authority,2015-09-17,,permissioned,full planning permission,POINT(-0.04968 51.44341),CP002,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/CP002
CP003,437-439 Brockley Road,yes,,2017-11-30,,0.05,7,7,14/088077 for mixed use development including 2 x three bedroom houses and 4 x one bedroom and 3 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2015-01-09,,permissioned,full planning permission,POINT(-0.03803 51.45317),CP003,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/CP003
CP004,219 Stanstead Road,yes,,2018-10-22,,0.05,11,11,16/097266 Prior Approval for residential development including 5 x one bedroom self-contained flats and 18/106769 for residential development including 2 x one bedroom and 4 x two bedroom self-contained flats,local-authority-eng:LEW,not owned by a public authority,2018-08-31,,permissioned,full planning permission,POINT(-0.04098 51.44242),CP004,http://www.lewisham.gov.uk/brownfieldregister,2017-11-30,/brownfield-land/local-authority-eng/LEW/CP004
