name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BRABB100,"7 Lower Borough Walls, Bath",yes,,2017-12-21,,0.06,7,7,16/00782/FUL,local-authority-eng:BAS,not owned by a public authority,2016-06-01,,permissioned,full planning permission,,BRABB100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRABB100
BRCHS100,"Newbridge House, Bristol Road, Chew Stoke",yes,,2017-12-21,,0.07,5,5,16/00571/FUL,local-authority-eng:BAS,not owned by a public authority,2016-10-01,,permissioned,full planning permission,,BRCHS100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRCHS100
BRK100,"St Augustines Surgery, 4 Station Road, Keynsham",yes,,2017-12-21,,0.08,6,6,16/04660/FUL,local-authority-eng:BAS,not owned by a public authority,2016-11-01,,permissioned,full planning permission,,BRK100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRK100
BRLAN100,"Parish Centre, Harley Street, Bath",yes,,2017-12-21,,0.02,8,8,14/01153/FUL,local-authority-eng:BAS,not owned by a public authority,2014-05-14,,permissioned,full planning permission,,BRLAN100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRLAN100
BRLAN101,"E Block, MoD Ensleigh, Bath",yes,,2017-12-21,,0.19,9,9,16/02706/FUL,local-authority-eng:BAS,not owned by a public authority,2016-12-01,,permissioned,full planning permission,,BRLAN101,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRLAN101
BRMAR100,"Westways Garage, Bath Road, Marksbury",yes,,2017-12-21,,0.06,7,7,15/00424/ODCOU,local-authority-eng:BAS,not owned by a public authority,2015-03-23,,permissioned,other,,BRMAR100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRMAR100
BRMSN100,"The Island, Midsomer Norton",yes,,2017-12-21,,0.03,10,10,15/04021/SDCOU,local-authority-eng:BAS,not owned by a public authority,2015-11-03,,permissioned,other,,BRMSN100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRMSN100
BROLD100,"33 Oldfield Road, Bath",yes,,2017-12-21,,0.4,8,8,14/01080/FUL,local-authority-eng:BAS,not owned by a public authority,2014-07-10,,permissioned,full planning permission,,BROLD100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BROLD100
BRPEN100,"Pensford Garage, New Road, Pensford",yes,,2017-12-21,,0.17,8,8,15/04054/FUL,local-authority-eng:BAS,not owned by a public authority,2016-05-01,,permissioned,full planning permission,,BRPEN100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRPEN100
BRPEN101,"Old Colliery Yard, Wick Lane, Pensford",yes,,2017-12-21,,0.6,6,6,14/02858/FUL,local-authority-eng:BAS,not owned by a public authority,2015-03-26,,permissioned,full planning permission,,BRPEN101,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRPEN101
BRWES100,"Unit 2 Lymore Gardens, Bath",yes,,2017-12-21,,0.05,8,8,16/04261/FUL,local-authority-eng:BAS,not owned by a public authority,2017-02-01,,permissioned,full planning permission,,BRWES100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRWES100
BRWES101,"151 - 152 High Street Twerton, Bath",yes,,2017-12-21,,0.02,7,7,15/03742/FUL,local-authority-eng:BAS,not owned by a public authority,2016-05-01,,permissioned,full planning permission,,BRWES101,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRWES101
BRWFD100,"Designer Composites, Fosseway, Westfield",yes,,2017-12-21,,0.21,7,7,12/00107/FUL,local-authority-eng:BAS,not owned by a public authority,2015-03-13,,permissioned,full planning permission,,BRWFD100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRWFD100
BRWID100,"44 Lower Bristol Road, Bath",yes,,2017-12-21,,0.04,16,16,16/02527/FUL,local-authority-eng:BAS,not owned by a public authority,2017-01-01,,permissioned,full planning permission,,BRWID100,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/BRWID100
CLU1,"The Wharf, Greensbrook, Clutton",yes,,2017-12-21,,0.66,15,15,12/00293/FUL,local-authority-eng:BAS,not owned by a public authority,2015-04-02,,permissioned,full planning permission,,CLU1,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/CLU1
K4,"Riverside, Keynsham",yes,,2017-12-21,,0.59,98,98,16/05646/ODCOU,local-authority-eng:BAS,owned by a public authority,2017-02-01,,permissioned,other,,K4,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/K4
KING10,Hinton Garage,yes,,2017-12-21,,0.43,67,67,16/06188/FUL,local-authority-eng:BAS,not owned by a public authority,2017-06-20,,permissioned,full planning permission,,KING10,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/KING10
KING11A,East of Onega Terrace,yes,,2017-12-21,,0.11,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,KING11A,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/KING11A
KING11B,Onega Centre,yes,,2017-12-21,,0.19,44,44,17/01204/FUL,local-authority-eng:BAS,not owned by a public authority,2017-10-05,,permissioned,full planning permission,,KING11B,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/KING11B
KING12A,West of Onega Terrace,yes,,2017-12-21,,0.1,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,KING12A,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/KING12A
KING12B,Army Reserves Centre,,,2017-12-21,,0.34,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,KING12B,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/KING12B
KING15,"SB8 Windsor Bridge Road/Upper Bristol Road, Bath",,,2017-12-21,,0.72,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,KING15,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/KING15
LAN1,SB16 Burlington Street,yes,,2017-12-21,,0.96,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,LAN1,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/LAN1
MSN14,"SSV11 St Peter's Factory, Westfield",yes,,2017-12-21,,2.24,72,72,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,MSN14,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/MSN14
NEW1,"SB15 Hartwells Garage, Bath",yes,,2017-12-21,,1.67,80,80,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,NEW1,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/NEW1
RAD15,"Old Pit Yard, Clandown, Radstock",yes,,2017-12-21,,1.94,44,44,14/02889/OUT,local-authority-eng:BAS,not owned by a public authority,2018-10-08,,permissioned,outline planning permission,,RAD15,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/RAD15
RAD9,"SSV17 Former Radstock County Infants, Radstock",yes,,2017-12-21,,0.34,9,9,,local-authority-eng:BAS,owned by a public authority,,,not permissioned,,,RAD9,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/RAD9
SSV20,"SSV20 Former St Nicholas School, Radstock",,,2017-12-21,,0.13,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,SSV20,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/SSV20
TIM1,"SR14 Wheelers Manufacturing Blockworks, Timsbury",yes,,2017-12-21,,0.85,22,22,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,TIM1,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/TIM1
TWT1,"SB14 Twerton Park, Bath (part redevelopment)",,,2017-12-21,,0.62,1,1,,local-authority-eng:BAS,not owned by a public authority,,,not permissioned,,,TWT1,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/TWT1
WES1B,"Bath Western Riverside, Bath (western)",,,2017-12-21,,5.11,1,1,06/01733/EOUT,local-authority-eng:BAS,not owned by a public authority,2010-12-23,,permissioned,outline planning permission,,WES1B,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/WES1B
WES1C,SB8 Recycling Centre,,,2017-12-21,,1.14,1,1,,local-authority-eng:BAS,owned by a public authority,,,not permissioned,,,WES1C,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/WES1C
WES2,"Bath Press, Bath",yes,,2017-12-21,,2.2,244,244,15/02162/EFUL,local-authority-eng:BAS,not owned by a public authority,2016-09-01,,permissioned,full planning permission,,WES2,https://isharemaps.bathnes.gov.uk/atMyCouncil.aspx,2017-12-21,/brownfield-land/local-authority-eng/BAS/WES2
