site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Eagle Pottery, Ivy House Road",yes,,2017-12-31,,1.76,22,22,,local-authority-eng:STE,not owned by a public authority,2006-05-31,,permissioned,full planning permission,POINT(-2.162228 53.022985),44864,,2017-12-31,brownfield-land/local-authority-eng/STE/44864
"Edinburgh House, YMCA, Harding Road, Hanley",yes,,2017-12-31,,1.49,40,40,,local-authority-eng:STE,not owned by a public authority,2008-05-02,,permissioned,full planning permission,POINT(-2.174605 53.017855),48119,,2017-12-31,brownfield-land/local-authority-eng/STE/48119
"Land off Westport Road, Hall Street & Pack Horse Lane, Burslem, Stoke-on-Trent, ST6 4BB",yes,,2017-12-31,,0.46,43,43,,local-authority-eng:STE,not owned by a public authority,2013-04-30,,permissioned,outline planning permission,POINT(-2.200809 53.045468),51283,,2017-12-31,brownfield-land/local-authority-eng/STE/51283
"Land at, Central Outpatients/Central Pathology Laboratory, Thornburrow Drive, Hartshill, Stoke-on-Trent",yes,,2017-12-31,,2.36,69,69,,local-authority-eng:STE,not owned by a public authority,2015-04-02,,permissioned,outline planning permission,POINT(-2.206598 53.007356),51841,,2017-12-31,brownfield-land/local-authority-eng/STE/51841
"Land at, North Staffordshire Royal Infirmary, Princes Road / Queens Road, Hartshill, Stoke on Trent",yes,,2017-12-31,,8.75,236,236,,local-authority-eng:STE,not owned by a public authority,2014-03-26,,permissioned,outline planning permission,POINT(-2.199747 53.00634),52839,,2017-12-31,brownfield-land/local-authority-eng/STE/52839
"Land at Trentham Lakes, Stanley Matthews Way, Stoke-on-Trent",yes,,2018-12-05,,7.2,147,147,Site is under construction,local-authority-eng:STE,not owned by a public authority,2015-03-31,,permissioned,outline planning permission,POINT(-2.173626 52.974231),53413,,2017-12-31,brownfield-land/local-authority-eng/STE/53413
"Former Simpsons Pottery, Grange Street, Cobridge, Stoke-on-Trent, ST6 2JT",yes,,2019-09-26,,0.73,17,17,Site is under construction,local-authority-eng:STE,not owned by a public authority,2013-02-05,,permissioned,full planning permission,POINT(-2.187702 53.036528),54289,,2017-12-31,brownfield-land/local-authority-eng/STE/54289
"Former Falcon Works, Sturgess Street, Stoke-on-Trent, ST4 7QH",yes,,2017-12-31,,0.62,43,43,,local-authority-eng:STE,not owned by a public authority,2014-11-12,,permissioned,full planning permission,POINT(-2.189408 53.001621),56801,,2017-12-31,brownfield-land/local-authority-eng/STE/56801
"Land at 31-33 Houghton Street, Hanley, Stoke On Trent, ST1 3BJ",yes,,2017-12-31,,0.05,5,5,,local-authority-eng:STE,not owned by a public authority,2015-02-19,,permissioned,full planning permission,POINT(-2.174535 53.018592),57805,,2017-12-31,brownfield-land/local-authority-eng/STE/57805
"17/19 Glebe Street, Stoke On Trent, ST4 1JG",yes,,2019-09-26,,0.02,7,7,Site is under construction,local-authority-eng:STE,not owned by a public authority,2015-11-19,,permissioned,full planning permission,POINT(-2.182593 53.003926),57972,,2017-12-31,brownfield-land/local-authority-eng/STE/57972
