site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
146a Landells Road SE22 9PL,yes,,2017-12-20,,0,0,0,Change of use of a building and its curtilage from Class B8 (storage or distribution) to Class C3 (dwelling houses).,local-authority-eng:SWK,,2017-01-16,,permissioned,full planning permission,POINT(-0.071305 51.453217),16-AP-5067,,2017-12-20,brownfield-land/local-authority-eng/SWK/16-AP-5067
"Dev Site At 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street And 30 Gloucester Place London",,,2017-11-30,,0.2784500117,0,0,"5-15 House Supply. Demolition of the existing buildings at 19-35 Baker Street, 88-110 George Street, 69-71 Blandford Street and redevelopment to create a mixed use scheme providing offices (Class B1), retail (Class A1 a",,,,,pending decision,,POINT(-0.156711 51.517598),16/11376/FULL,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=16/11376/FULL,2017-11-30,
"Unit 1, Old Stable House Between 53 And 55 North Cross Road SE22 9ET",yes,,2017-12-20,,0,0,0,Change of use from Office (Class B1a) to a residential dwelling (Class C3) to provide 1 x 1 bed plus study unit.,local-authority-eng:SWK,,2016-04-19,,permissioned,full planning permission,POINT(-0.07394 51.457403),16-AP-0675,,2017-12-20,brownfield-land/local-authority-eng/SWK/16-AP-0675
80 Peckham High Street SE15 5ED,yes,,2017-12-20,,0,0,0,Erection of mixed use development comprising ground floor Class A1 retail space and 2 x self contained flats above.,local-authority-eng:SWK,,2015-07-09,,permissioned,full planning permission,POINT(-0.069337 51.473531),15-AP-1883,,2017-12-20,brownfield-land/local-authority-eng/SWK/15-AP-1883
5 Draymans Mews SE15 4PW,yes,,2017-12-20,,0,0,0,Conversion of 4 storey house into a self contained flat and a 3 storey maisonette,local-authority-eng:SWK,,2017-01-13,,permissioned,full planning permission,POINT(-0.075728 51.468309),16-AP-4063,,2017-12-20,brownfield-land/local-authority-eng/SWK/16-AP-4063
1-3 Mount Pleasant Road London N17 6TR London,yes,,,,0,4,4,"Demolition of existing building and erection of part thtee storey/ part two-storey block to accommodate a mixed use development comprising of 1 x Office (A2), 4 residential units consisting of 2 x two",local-authority-eng:HRY,not owned by a public authority,2010-07-27,,permissioned,full planning permission,POINT(-0.078968 51.589325),HGY/2009/1858,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=206086,,brownfield-land/local-authority-eng/HRY/HGY-2009-1858
97 Azenby Road SE15 5AJ,yes,,2017-12-20,,0,0,0,Change of use of a vacant shop unit (A1 Class) to a studio flat (Use Class C3a),local-authority-eng:SWK,,2015-09-09,,permissioned,full planning permission,POINT(-0.077382 51.469681),15-AP-1900,,2017-12-20,brownfield-land/local-authority-eng/SWK/15-AP-1900
Lttle Church Street,,,2017-11-30,,0.0047728750000000002,0,0,"5-15 House Supply. The Little Church Street site currently comprises 45 homes. If redeveloped, the site has the potential to deliver around 65 new homes.",,,,,Not permissioned,,POINT(-0.16949 51.523667),HS002,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=HS002,2017-11-30,
Garage at rear 19 Willoughby Road London N8 0JE,yes,,,,0,1,1,"Construction of a part 1, part 2 storey dwelling (C3) with accommodation at basement level following demolition of existing single detached lock up garage (sui generis)",local-authority-eng:HRY,not owned by a public authority,2017-01-27,,permissioned,full planning permission,POINT(-0.1041 51.588535),HGY/2016/3169,http://www.planningservices.haringey.gov.uk/portal/servlets/ApplicationSearchServlet?PKID=294779,,brownfield-land/local-authority-eng/HRY/HGY-2016-3169
15 Winchester Walk SE1 9AG,yes,,2017-12-20,,0.01,0,0,ERECTION OF A NEW FOUR STOREY EXTENSION OVER EXISTING ELECTRICITY SUBSTATION TO PROVIDE X3 TWO BED UNITS.,local-authority-eng:SWK,,2015-01-19,,permissioned,full planning permission,POINT(-0.091395 51.506503),14-AP-1125,,2017-12-20,brownfield-land/local-authority-eng/SWK/14-AP-1125
"20-24 Broadwick Street, London, W1F 7DD",yes,,2017-11-30,,0.0051056249999999999,0,0,"5-15 House Supply. Redevelopment of 20-24 Broadwick Street and 85 Berwick Street, including the creation of new facades and extensions at main roof level, installation of plant in the basement and at main roof level wit. http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00",,,2015-06-15,http://idoxpa.westminster.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N15ASXRP01R00,permissioned,full planning permission,POINT(-0.138832 51.513282),14/01450/FULL,https://lbhf.maps.arcgis.com/apps/View/index.html?appid=d0d51e7d013a4d1a953ecc1cff697d24&site=14/01450/FULL,2017-11-30,
