site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Tower Place, Waterworks Street, Immingham",yes,,2017-10-18,,0.8,32,32,Under construction (Planning application reference DC/578/10/IMM) (Local Plan allocation HOU001).,local-authority-eng:NEL,not owned by a public authority,2010-08-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVJLJXB209,permissioned,full planning permission,POINT(-0.20117 53.618219),BS0001,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0001
"71-85 Hamilton Street, Grimsby",,,2017-10-18,,0.27,30,24,The site was granted planning permission for 3 dwellings and 21 apartments on 2007-11-05 (Planning application reference DC/764/07/EMA) but has since expired. An existing car wash forms part of the site.,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,POINT(-0.060129 53.572164),BS0002,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0002
"Chapman's pond, Hawthorne Avenue, Cleethorpes",,,2017-10-18,,3.76,110,110,Site is allocated as housing site HOU034A in the adopted Local Plan (2018).,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,POINT(-0.037754 53.566441),BS0003,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0003
"Land off Pelham Road, Cleethorpes (1)",yes,,2017-10-18,,0.54,14,14,S106 approved. Demolish existing commercial premise and erect 14 link homes (12 no. 3 bed link over 2 floors and 2 no. 3 bed semi detached over 3 floors). Planning application reference DC/800/12/SSU. Allocated as housing site HOU034B in the adopted Local Plan (2018).,local-authority-eng:NEL,not owned by a public authority,2015-12-24,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVRLJXB013,permissioned,full planning permission,POINT(-0.036967 53.565484),BS0004,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0004
"Land off Pelham Road, Cleethorpes (2)",,,2017-10-18,,3.96,118,118,Site is allocated as housing site HOU034C in the adopted Local Plan (2018).,local-authority-eng:NEL,owned by a public authority,,,not permissioned,other,POINT(-0.036967 53.565484),BS0005,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0005
"Land west of Cartergate, Grimsby",,,2017-10-18,,0.18,14,14,The site is currently in temporary alternative use as a car park granted permission on 2016-12-21 (Planning application reference DM/1027/16/FUL).,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFLDHMLJM1000,not permissioned,,POINT(-0.091797 53.563845),BS0006,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0006
"Former Clifton Bingo, Grant Street, Grimsby",yes,,2017-10-18,,0.21,80,35,"Outline for LDO, erection of buildings and / or use of land primarily for Class C3 with ancillary A1, A3, D2 and C1 use. Reserved Matters, 2018-06-29. (Planning application reference DM/0537/18/REM)",local-authority-eng:NEL,not owned by a public authority,2016-03-09,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY47VLJ00700,permissioned,full planning permission,POINT(-0.030128 53.561875),BS0007,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0007
"Former Birds-eye factory site, Ladysmith Road, Grimsby",yes,,2017-10-18,,4.16,260,176,Under construction (Planning application reference DC/630/12/HEN and DC/1224/06/HEN) (Local Plan allocation HOU044).,local-authority-eng:NEL,not owned by a public authority,2013-02-18,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVKLJXB482,permissioned,outline planning permission,POINT(-0.070785 53.565342),BS0008,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0008
"Claremont House, 7 Welholme Avenue, Grimsby",yes,,2017-10-18,,0.58,22,13,Under construction (Planning application reference DM/0889/17/FUL) (Local Plan allocation HOU047).,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OWH9KQLJK4B00,permissioned,full planning permission,POINT(-0.089109 53.559496),BS0009,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0009
"The Cedars offices, Eastern Inway, Grimsby",yes,,2017-10-18,,0.43,34,32,Under construction (Planning application reference DM/0105/15/OUT) (Local Plan allocation HOU059).,local-authority-eng:NEL,not owned by a public authority,2016-09-28,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJI410LJJSK00,permissioned,outline planning permission,POINT(-0.111189 53.553617),BS0010,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0010
"Cordage Mill, Convamore Road, Grimsby",,,2017-10-18,,3.22,113,113,"The site incorporates a grade II listed building, is in Flood Zone 3 and carries a potential for contamination due to its historical use as a mill. However the development of the site gives an opportunity to bring a listed building back into use. Part now in use for commercial use. Site allocated as housing site HOU119 in the adopted Local Plan (2018).",local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,POINT(-0.071729 53.561186),BS0011,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0011
"Former Western School site, Cambridge Road, Grimsby",yes,,2017-10-18,,10.38,390,390,"Former school site, now cleared, and associated playing fields . Outline for LDO (Planning application DM/0677/15/LDO). Site allocated as housing site HOU128 in the adopted Local Plan (2018).",local-authority-eng:NEL,owned by a public authority,2016-03-09,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY4BRLJ00700,permissioned,full planning permission,POINT(-0.12112 53.556057),BS0012,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0012
"Land off College Street, Grimsby",yes,,2017-10-18,,0.43,13,13,Erect 10 three bedroom and 3 four bedroom dwellings (Planning application reference DM/0936/15/FUL). Allocated as housing site HOU144 in the adopted Local Plan (2018).,local-authority-eng:NEL,not owned by a public authority,2016-02-12,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVUY4CLJLSJ00,permissioned,full planning permission,POINT(-0.094482 53.560553),BS0013,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0013
"Land at north west of Diana Princess of Wales Hospital site, Grimsby",,,2017-10-18,,0.5,19,19,Site allocated as housing site HOU151 in the adopted Local Plan (2018).,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,POINT(-0.098063 53.548725),BS0015,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0015
"Fletchers Yard, Wellowgate, Grimsby",yes,,2017-10-18,,0.18,12,12,Previous consent expired (Planning application reference DC/812/12/PAR). Site allocated as housing site HOU231 in the adopted Local Plan (2018).,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV9LJXB177,not permissioned,,POINT(-0.08708 53.561963),BS0016,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0016
"Land at Willows Farm, Immingham",yes,,2017-10-18,,0.66,8,8,Outline application to erect 8 dwellings and associated works with access to be considered (Planning application reference DM/0167/17/OUT).,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=OLF6C6LJIYH00,permissioned,outline planning permission,POINT(-0.208316 53.591564),BS0017,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0017
"Land at 65 Park Street/brereton Avenue, Cleethorpes",yes,,2017-10-18,,0.18,14,14,"Planning permission available upon appeal, DC/729/12/SSU now expired.",local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVALJXB335,not permissioned,,POINT(-0.057951 53.569261),BS0018,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0018
