name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
464,"Bridge House, Bridge Court, Normanby",yes,,2020-12-10,,0.17,9,9,"Detailed permission for 12 flats expired June 2019. Since then the building has beome vacant and another detailed application has been submitted, for 9 houses, and is awaiting determination.",local-authority-eng:RCC,not owned by a public authority,,https://planning.redcar-cleveland.gov.uk/Planning/Display?applicationNumber=R%2F2020%2F0235%2FFF,not permissioned,,POINT(-1.159834 54.555829),464,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/464.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/464
136,"Wilton Lane, Guisborough",yes,03/12/2019,2020-12-10,,0.27,14,14,Site under development.,local-authority-eng:RCC,not owned by a public authority,,,permissioned,full planning permission,POINT(-1.054712 54.539524),136,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/136.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/136
387,"Land Adjacent Ryehills School, Redcar",yes,03/12/2019,2020-12-10,,1.4,49,49,Site under development.,local-authority-eng:RCC,owned by a public authority,,,permissioned,full planning permission,POINT(-1.057576 54.605045),387,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/387.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/387
360,"Former Rosecroft School, Rosecroft Lane, Loftus",yes,03/12/2019,2020-12-10,,1.38,69,69,Site under development.,local-authority-eng:RCC,owned by a public authority,,,permissioned,full planning permission,POINT(-0.891035 54.550708),360,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/360.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/360
389,"Hummersea Hills Phase 1, Loftus",,10/12/2020,2020-12-10,,0.41,17,17,Comprises remaining development area on extant consent at phase 1 . Site in use as public open space; phase 1 has completed.,local-authority-eng:RCC,not owned by a public authority,2010-03-08,https://planning.redcar-cleveland.gov.uk/(S(y3dqliq10gifg4sfkqqfuc4f))/plaRecord.aspx?AppNo=R/2009/0766/FFM,permissioned,full planning permission,POINT(-0.886763 54.557688),389,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/389.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/389
392,"Hummersea Hills Phase 2, Loftus",yes,,2020-12-10,,3.05,128,128,Site under development (revised proposals).,local-authority-eng:RCC,not owned by a public authority,,,permissioned,full planning permission,POINT(-0.889832 54.557402),392,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/392.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/392
457,"Former Abattoir Site, Boosbeck",,,2020-12-10,,0.81,31,31,Local Plan Housing Allocation https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf Part of larger allocation site (4.3ha.) site with outline permission for 69 dwellings. Rest of allocation is currently Council owned open space.,local-authority-eng:RCC,not owned by a public authority,,https://planning.redcar-cleveland.gov.uk/(S(uu2vptib0zpyew1olpkpck1q))/plaRecord.aspx?AppNo=R/2016/0759/OOM,permissioned,,POINT(-0.983966 54.54464),457,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/457.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/457
456,"Former Handale Primary School, Loftus",,03/12/2019,2020-12-10,,0.28,10,10,Permission granted October 2019 for non-residential uses.,local-authority-eng:RCC,owned by a public authority,,,permissioned,,POINT(-0.892609 54.554237),456,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/456.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/456
376,"Land at Park Lane, Guisborough",,,2020-12-10,,0.48,20,20,Local Plan Housing Allocation https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,owned by a public authority,,,not permissioned,,POINT(-1.057268 54.536596),376,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/376.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/376
405,"Land at Stanghow Road, Skelton",,,2020-12-10,,0.33,10,10,Local Plan Housing Allocation https://www.redcar-cleveland.gov.uk/resident/planning-and-building/strategic%20planning/Documents/Local%20Plan%20Adopted%20May%202018.pdf,local-authority-eng:RCC,not owned by a public authority,,,not permissioned,,POINT(-0.972613 54.560263),405,http://www.redcar-cleveland.gov.uk/resident/planning-and-building/local-plan/Local%20Plan%20Documents/Brownfield%20Land%20Register%202020/BLR%20maps%202020/405.pdf,2017-11-10,/brownfield-land/local-authority-eng/RCC/405
