name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
162480,"Site at Old Grammar School, Church Street, Bromyard, Herefordshire, HR7 4DP",yes,,2017-12-07,,0.09,,,Conversion of former Grammar school building into five residential~dwellings. Demolition works include the removal of part of an~extension to the west elevation.,local-authority-eng:HEF,not owned by a public authority,2016-12-21,,permissioned,full planning permission,POINT(-4.173127 53.167654),162480,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=162480,2017-12-07,/brownfield-land/local-authority-eng/HEF/162480
100122,"Barons Cross Camp, Cholstrey Road, Leominster, HR6 8RT",yes,,2017-12-07,,1.39,,,,local-authority-eng:HEF,not owned by a public authority,2010-03-22,,permissioned,reserved matters approval,POINT(-4.105998 53.00567),100122,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=100122,2017-12-07,/brownfield-land/local-authority-eng/HEF/100122
131206,"Land rear of The Kings Head, High Street, Ross-on-Wye, Herefordshire",yes,,2017-12-07,,0.1,,,"Alterations, extension and conversion of existing building to provide~nine apartments with ancillary uses and works.",local-authority-eng:HEF,not owned by a public authority,2013-09-17,,permissioned,full planning permission,POINT(-4.628079 53.106687),131206,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=131206,2017-12-07,/brownfield-land/local-authority-eng/HEF/131206
142121,"Watsons Car Park Site, Church Street, Ross-on-Wye, Herefordshire",yes,,2017-12-07,,0.16,,,"Demolition of garages and stores, removal of 4 mature trees, erection~of terrace of four, two storey houses, semi-detached pair of two~storey three bed houses, communal bin store and alteration of walls,~parking & landscaping",local-authority-eng:HEF,not owned by a public authority,2014-12-11,,permissioned,full planning permission,POINT(-4.629684 53.107047),142121,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=142121,2017-12-07,/brownfield-land/local-authority-eng/HEF/142121
123177,"Land East of 20 Belmont Avenue, Hereford, Herefordshire, HR2 7JQ",yes,,2017-12-07,,0.29,,,,local-authority-eng:HEF,mixed ownership,2015-01-21,,permissioned,full planning permission,POINT(-4.399318 53.027858),123177,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=123177,2017-12-07,/brownfield-land/local-authority-eng/HEF/123177
152246,"1 St Martins Street, Hereford, Herefordshire, HR2 7RD",yes,,2017-12-07,,0.03,,,Proposed conversion of former pub function rooms into 6 self-contained~apartments and external stair to north elevation (For DOC 2 & 3 see~172539).,local-authority-eng:HEF,not owned by a public authority,2015-11-18,,permissioned,full planning permission,POINT(-4.394281 53.030612),152246,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=152246,2017-12-07,/brownfield-land/local-authority-eng/HEF/152246
150173,"T J Crump Oakwrights Ltd, The Lakes, Swainshill, Herefordshire, HR4 7PU",yes,,2017-12-07,,1.21,,,,local-authority-eng:HEF,not owned by a public authority,2016-12-05,,permissioned,outline planning permission,POINT(-4.356224 52.988025),150173,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150173,2017-12-07,/brownfield-land/local-authority-eng/HEF/150173
150630,"Land off Catherine Street, Hereford",yes,,2017-12-07,,0.07,,,Proposed erection of 8 dwellings.,local-authority-eng:HEF,not owned by a public authority,2016-03-14,,permissioned,full planning permission,POINT(-4.383358 53.033483),150630,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=150630,2017-12-07,/brownfield-land/local-authority-eng/HEF/150630
164042,"18 - 20 Commercial Street, Hereford, HR1 2DE",yes,,2017-12-07,,0.03,,,"Proposed change of use of first and second floors from retail into 7~residential apartments. Modification of shop front, removal of part~of first floor to facilitate a roof terrace area and removal of~brickwork infill to blind windows to the rear and insertion of new~matching windows.",local-authority-eng:HEF,not owned by a public authority,2017-02-13,,permissioned,full planning permission,POINT(-4.385719 53.033832),164042,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=164042,2017-12-07,/brownfield-land/local-authority-eng/HEF/164042
153001,"Land adjacent to Chase View Veterinary Clinic, Hildersley, Ross on Wye, Herefordshire, HR9 7NJ",yes,,2017-12-07,,0.58,,,Proposed erection of 6 dwellings.,local-authority-eng:HEF,mixed ownership,2016-05-26,,permissioned,full planning permission,POINT(-4.6317 53.119501),153001,https://www.herefordshire.gov.uk/info/200142/planning_services/planning_application_search/details?id=153001,2017-12-07,/brownfield-land/local-authority-eng/HEF/153001
