site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Veritek House, Edgeland Terrace",yes,,2017-12-20,,0.20,6,6,"Change of use of Veritek House, Edgeland Terrace from offices to residential use in the form of 11 units via the prior notification regime under Class O of Part 3, Schedule 2 of the General Permitted Development Order 2015",local-authority-eng:EAS,not owned by a public authority,2017-07-24,,permissioned,other,,HA08,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Port Road,,,2017-12-20,,0.07,8,8,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA40,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Wadhurst Close,,,2017-12-20,,0.09,11,11,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA45,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages adjacent 25-32 Fletching Road,,,2017-12-20,,0.10,12,12,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA18,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Pulborough Avenue,,,2017-12-20,,0.16,19,19,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA43,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garage off Timberley Road,,,2017-12-20,,0.10,12,12,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,HA44,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Car park rear of Langney Shopping Centre,,,2017-12-20,,0.13,5,5,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,LA01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Sidcup Close,,,2017-12-20,,0.06,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA30,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages at Biddenden Close,,,2017-12-20,,0.08,12,12,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA22,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Hawkhurst Close (north),,,2017-12-20,,0.06,12,12,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA28,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Hawkhurst Close (south),,,2017-12-20,,0.06,12,12,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA29,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Wrotham Close,,,2017-12-20,,0.07,14,14,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA32,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"MVM Site, 87-89 Pevensey Bay Road",,,2017-12-20,,0.14,7,7,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,LA03,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages off Westerham Road,,,2017-12-20,,0.08,16,16,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,LA31,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Belmont Nursing Home, Pevensey Bay Road",,,2017-12-20,,0.74,80,80,,local-authority-eng:EAS,not owned by a public authority,2013-05-17,,permissioned,full planning permission,,LA05,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
28 Grange Road,yes,,2017-12-20,,0.11,9,9,Demolition of existing building and erection of 9 two-bedroom flats with 5 parking spaces with alteration to vehicular access (renewal of planning application EB/2009/0705(FP)).,local-authority-eng:EAS,not owned by a public authority,2013-10-01,,permissioned,full planning permission,,130133,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Ravelston Grange 10 Denton Road,yes,,2017-12-20,,0.15,9,9,"Proposed Material Change of Use from Residential Care Home (C2) to 9x residential dwellings (C3), with associated extensions at ground and first floors (Amended plans recieved)",local-authority-eng:EAS,not owned by a public authority,2017-03-31,,permissioned,full planning permission,,161308,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Courtlands Hotel 3-5 Wilmington Gardens,yes,,2017-12-20,,0.07,15,15,Change of use to convert a 45 bedroom hotel to a 14 bedroom guest house hotel with owner's accommodation and 15 residential apartments.,local-authority-eng:EAS,not owned by a public authority,2016-02-24,,permissioned,full planning permission,,151134,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"St. Elizabeth’s Church, Old Town",,,2017-12-20,,0.50,6,6,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,,OC10,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Garages behind 11 Rockhurst Drive,,,2017-12-20,,0.07,8,8,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,OL28,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
Land adjacent 51 Church Street,,,2017-12-20,,0.04,8,8,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,,OL10,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Land to the rear of Wesley Place, Ringwood Road",yes,,2017-12-20,,0.10,5,5,"Erection of 5 no. 3 bedroom, 3 storey houses together with ten car parking spaces and access road.",local-authority-eng:EAS,not owned by a public authority,2016-11-24,,permissioned,full planning permission,,161010,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
"Fitzmaurice Mews, Fitzmaurice Avenue",yes,,2017-12-20,,0.17,6,6,Proposed demolition of existing garages and development of 6 no.3 bedroomed houses together with parking spaces.,local-authority-eng:EAS,not owned by a public authority,2016-06-27,,permissioned,full planning permission,,160411,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20
