name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR002,"Egginton Street Car Park, Egginton Street, Hull Local Plan Housing Allocation H2, HU2 8BT",,,2018-12-01,,0.120785,24,24,Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 24 flats/dwellings. 04/01171/OUT Erection of a three storey apartment block for 18 two bedroom and 6 one bedroom apartments. Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 24 flats/dwellings. 04/01171/OUT Erection of a three storey apartment block for 18 two bedroom and 6 one bedroom apartments,local-authority-eng:KHL,owned by a public authority,2007-09-26,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=I13TFJSO50000,Not Permissioned,,POINT(-0.338922 53.748176),BLR002,http://hullcc.limehouse.co.uk/file/4808511,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR002
BLR007,"Upper Floors 41 - 65 George Street (Upper Floors), Hull Local Plan Housing Allocation H7, HU1 3BA",,,2018-12-01,,0.068855,6,6,"Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 (net) flats. Change of use of floors 1, 2 and 3 from existing single apartment per floor to 3 apartments per floor.. Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 (net) flats. Change of use of floors 1, 2 and 3 from existing single apartment per floor to 3 apartments per floor.",local-authority-eng:KHL,not owned by a public authority,2013-09-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MR3T8TSO05500,Not Permissioned,,POINT(-0.337181 53.74622),BLR007,http://hullcc.limehouse.co.uk/file/4808525,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR007
BLR008,"25 - 27 Dock Street, Hull Local Plan Housing Allocation H8, HU1 3DL",yes,,2018-12-01,,0.020367,9,9,"Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 9 flats/dwellings. 14/01212/FULL (implemented) & 11/01161/FULL Erection of 7 storey building, offices on first floor/self contained flats on floors 2 - 6 (9 flats). Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 9 flats/dwellings. 14/01212/FULL (implemented) & 11/01161/FULL Erection of 7 storey building, offices on first floor/self contained flats on floors 2 - 6 (9 flats)",local-authority-eng:KHL,not owned by a public authority,2014-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NCV1DOSO00300,permissioned,full planning permission,POINT(-0.336344 53.745835),BLR008,http://hullcc.limehouse.co.uk/file/4808530,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR008
BLR027,"177 Sharp Street (West End), Hull Local Plan Housing Allocation H27, HU5 2AD",,,2018-12-01,,0.353893,15,15,Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 15 dwellings. Erection of 15 dwellings.. Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 15 dwellings. Erection of 15 dwellings.,local-authority-eng:KHL,not owned by a public authority,2016-07-25,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=OKN5AKSOHTZ00,permissioned,full planning permission,POINT(-0.366058 53.763602),BLR027,http://hullcc.limehouse.co.uk/file/4808528,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR027
BLR029,"United Reformed Church and Car Park Holderness Road, Kingston Upon Hull, HU9 3DW",yes,,2018-12-01,,0.202109,13,13,"Erection of three storey building comprising 4 units on ground floor for use within classes A1, A2, A3 and A5 with 4 flats on the first and second floors and erection of 5 two storey dwellings.. Erection of three storey building comprising 4 units on ground floor for use within classes A1, A2, A3 and A5 with 4 flats on the first and second floors and erection of 5 two storey dwellings.",local-authority-eng:KHL,not owned by a public authority,2016-04-27,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NSYGPHSOHHJ00,permissioned,full planning permission,POINT(-0.304055 53.759389),BLR029,http://hullcc.limehouse.co.uk/file/4808529,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR029
BLR035,"121 - 123 Sharp Street, Kingston Upon Hull, HU5 2AE",,,2018-12-01,,0.050861,5,5,Erection of two storey building 3 self contained flats. Erection of 2 dwellings at the rear. Erection of two storey building 3 self contained flats. Erection of 2 dwellings at the rear,local-authority-eng:KHL,not owned by a public authority,2015-01-29,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MGZF3VSO05500,permissioned,,POINT(-0.3638 53.763337),BLR035,http://hullcc.limehouse.co.uk/file/4808537,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR035
BLR043,"48 Pearson Park, Hull Local Plan Housing Allocation H43, HU5 2TG",,,2018-12-01,,0.053281,6,6,Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 dwellings. 13/01025/PCOU Change of use from offices to 6 flats. Hull Local Plan 2016 to 2032 - Housing Allocation with an indicative capacity of 6 dwellings. 13/01025/PCOU Change of use from offices to 6 flats,local-authority-eng:KHL,owned by a public authority,2013-12-05,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=MU5EYESO3B000,Not Permissioned,,POINT(-0.355062 53.75993),BLR043,http://hullcc.limehouse.co.uk/file/4808531,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR043
BLR051,"20-24 Lambert Street, Hull Local Plan Housing Allocation H51, HU5 2SJ",yes,,2018-12-01,,0.070416,9,5,Hull Local Plan 2016 to 2032 - Housing Allocation indicative capacity 5 flats/dwellings. 10/01024/FULL Erection Part three and part two storey building -5 flats. Two storey building - 2 flats.Single storey building -2 flats. Hull Local Plan 2016 to 2032 - Housing Allocation indicative capacity 5 flats/dwellings. 10/01024/FULL Erection Part three and part two storey building -5 flats. Two storey building - 2 flats.Single storey building -2 flats,local-authority-eng:KHL,not owned by a public authority,2012-09-07,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=LAC47NSO05500,permissioned,full planning permission,POINT(-0.353557 53.763822),BLR051,http://hullcc.limehouse.co.uk/file/4808536,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR051
BLR054,"Former Sutton Place Safe Centre, Saltshouse Road, Hull Local Plan Housing Allocation H54, HU8 9HR",yes,,2018-12-01,,0.989064,23,23,Hull Local Plan 2016 to 2032 -Housing Allocation indicative capacity of 23 dwellings/flats. 15/00759/OUT Outline application 13 dwellings & conversion of Woodside House building - 7 dwellings plus erection of 3 new dwellings. Hull Local Plan 2016 to 2032 -Housing Allocation indicative capacity of 23 dwellings/flats. 15/00759/OUT Outline application 13 dwellings & conversion of Woodside House building - 7 dwellings plus erection of 3 new dwellings,local-authority-eng:KHL,not owned by a public authority,2015-10-02,https://www.hullcc.gov.uk/padcbc/publicaccess-live/applicationDetails.do?activeTab=summary&keyVal=NQEN67SOLMI00,permissioned,,POINT(-0.296325 53.778579),BLR054,http://hullcc.limehouse.co.uk/file/4808538,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR054
BLR1001,"Land at Convent Lane, Anlaby Road. HU3 2SA",,,2018-12-01,,0.241012,12,12,Potential for housing - New build 12 dwellings.. Potential for housing - New build 12 dwellings.,local-authority-eng:KHL,owned by a public authority,,https://www.hullcc.gov.uk/padcbc/publicaccess-live/search.do?action=simple&searchType=Application,Not Permissioned,,POINT(-0.355612 53.742576),BLR1001,http://hullcc.limehouse.co.uk/file/4808576,2017-12-20,/brownfield-land/local-authority-eng/KHL/BLR1001
