site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Friar Street and Station Road, Reading",,,2018-12-16,,1,69,43,"Proposed allocation CR11a in Submission Draft Local Plan - remainder of site unpermitted shown here. There will be active retail and leisure uses on the ground floor along Friar Street and Station Road, with a mix of uses on higher floors. Development should enhance linkages in a north-south direction to link to the Station Hill area. Listed buildings and their settings in the area will be conserved, and opportunities to improve the environment of Merchants Place will be sought.. http://www.reading.gov.uk/media/8649/LP001-Submission-Draft-Local-Plan/pdf/LP001_Submission_Draft_Local_Plan.pdf",local-authority-eng:RDG,not owned by a public authority,,,not permissioned,,,BL1001,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1001
"29-35 Station Road, Reading",yes,,2018-12-16,,0.05,33,33,Prior approval 170772. Forms part of proposed allocation in Submission Draft Local Plan (ref CR11a). Change of use from offices to residential under prior approval.. http://www.reading.gov.uk/media/8649/LP001-Submission-Draft-Local-Plan/pdf/LP001_Submission_Draft_Local_Plan.pdf,local-authority-eng:RDG,not owned by a public authority,2017-07-10,,permissioned,full planning permission,,BL1002,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1002
"30-31 Friar Street, Reading",yes,,2018-12-16,,0.08,25,25,"Prior approval 150829 expired July 2018.. Change of use of 1st floor, 2nd floor (part), 3rd floor and 4th floor (part) from Class B1(a) (offices) to C3 (dwellinghouses) to comprise 19 x studio flats and 6 x 1 bedroom flats.",local-authority-eng:RDG,not owned by a public authority,2015-07-06,,not permissioned,,,BL1004,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1004
"35-38 Friar Street, Reading",yes,,2018-12-16,,0.1,25,25,"Prior approval 160232. Change of use of 1st to 3rd floor (with ground floor entrance and plant room at basement) from Class B1(a) (offices) to C3 (dwelling houses) to comprise of 25 flats (15 studios, 6 x 1 bedroom and 4 x 2 bedrooms).",local-authority-eng:RDG,not owned by a public authority,2016-04-04,,permissioned,full planning permission,,BL1005,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1005
"52-55 Friar Street and 12 Greyfriars Road, Reading",,,2018-12-16,,0.26,135,135,"Full permission 162210. Forms part of proposed allocation in Submission Draft Local Plan (ref CR11b). Demolition of existing building and structures (Class A1) and erection of 3 new buildings ranging between 6 - 12 (and basement) storeys in height to provide 135 (1xstudio, 54x1, 73x2 & 7x3-bed) residential units (Class C3), a flexible Class A1-A5 use at ground floor level fronting onto Friar St, a flexible Class A1-5, B1(a) or D2 (gym only) use at ground floor level fronting onto Greyfriars Rd, with associated access, parking, servicing, landscaping and engineering works.",local-authority-eng:RDG,not owned by a public authority,2018-03-20,,permissioned,full planning permission,,BL1006,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1006
"Station Hill, Reading",yes,,2018-12-16,,2.87,570,380,"Outline permission 130436 for mixed use development of much of site. Outline permission 151426 extends the site to adjacent Telecom House and results in additional residential, meaning total of up to 475 dwellings on site. Reserved matters permission 151543 is for Building B. Some of demolition complete. Also alternative outline permission for mixed use development of site (090622) now not expected to be implemented. Forms proposed allocation in Submission Draft Local Plan (ref CR11c), and dwelling range in this entry derived from draft policy rather than permission, which is a maximum.. Redevelopment of site for offices, town centre uses including retail, leisure and residential, infrastructure, public realm works.. http://www.reading.gov.uk/media/8649/LP001-Submission-Draft-Local-Plan/pdf/LP001_Submission_Draft_Local_Plan.pdf",local-authority-eng:RDG,not owned by a public authority,2015-01-09,,permissioned,outline planning permission,,BL1007,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1007
"1-3 Greyfriars Road, Reading",,,2018-12-16,,0.03,8,8,"Application for development of 12 dwellings refused (070944), but a reduced scheme may be suitable. Change of use or redevelopment of offices to residential",local-authority-eng:RDG,not owned by a public authority,,,not permissioned,,,BL1008,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1008
"Greyfriars House, 30 Greyfriars Road, Reading",,,2018-12-16,,0.12,43,43,"Prior approval 170229. Now forms part of proposed allocation in Local Plan (ref CR11b).. Change of use from Class B1(a) (offices) to C3 (dwelling houses) to comprise of 43 apartments comprising 23 one bed flats, 19 two bed flats and a single three bed flat.. http://www.reading.gov.uk/media/8649/LP001-Submission-Draft-Local-Plan/pdf/LP001_Submission_Draft_Local_Plan.pdf",local-authority-eng:RDG,not owned by a public authority,2017-04-05,,permissioned,full planning permission,,BL1009,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1009
"Brunel Arcade and Apex Plaza, Forbury Road, Reading",,,2018-12-16,,1.51,380,250,"Proposed allocation CR11d in Submission Draft Local Plan. This area will be developed for a mix of uses at high density, including residential and/or offices. Retail and/or leisure uses will activate the ground floor facing the southern station square.. http://www.reading.gov.uk/media/8649/LP001-Submission-Draft-Local-Plan/pdf/LP001_Submission_Draft_Local_Plan.pdf",local-authority-eng:RDG,mixed ownership,,,not permissioned,,,BL1011,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1011
"3-10 Market Place, Abbey Hall and Abbey Square, Reading",,,2018-12-16,,0.29,70,46,"Proposed allocation CR14e in Submission Draft Local Plan. Development for retail and related uses on ground floor with residential and/or offices on upper floors, designed to enhance contribution of site to Conservation Area.. http://www.reading.gov.uk/media/8649/LP001-Submission-Draft-Local-Plan/pdf/LP001_Submission_Draft_Local_Plan.pdf",local-authority-eng:RDG,not owned by a public authority,,,not permissioned,,,BL1012,http://www.reading.gov.uk/media/8109/Brownfield-Register-Maps-BL1001-1050/pdf/Brownfield_Register_maps_1001-1050.pdf,2017-12-15,brownfield-land/local-authority-eng/RDG/BL1012
