site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Swimming Pool, Broad Campden, Chipping Campden",yes,,2017-11-13,,0.78,6,6,Has planning permission for six dwellings. Construction of six dwellings,local-authority-eng:COT,not owned by a public authority,2017-03-13,,permissioned,full planning permission,POINT(-1.775533 52.040978),16/03163/FUL,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=415493.000000&StartNorthing=238088.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/16-03163-FUL
"4-6 Black Jack Street, Cirencester",yes,,2017-11-13,,2.06,7,7,"Has planning permission for seven dwellings. Demolition (in part) of 4 Black Jack Street, and outbuildings to rear of 4-6 Black Jack Street and erection of 7 houses",local-authority-eng:COT,not owned by a public authority,2015-03-26,,permissioned,full planning permission,POINT(-1.969395 51.717758),15/00254/FUL,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402211.000000&StartNorthing=202115.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/15-00254-FUL
"Cirencester Baptist Church, 37A Coxwell Street, Cirencester",yes,,2017-11-13,,0.06,5,5,Has planning permission for five dwellings. Change of use and conversion of Baptist Church to five residential units,local-authority-eng:COT,not owned by a public authority,2016-05-19,,permissioned,full planning permission,POINT(-1.970206 51.71801),16/00224/FUL,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402155.000000&StartNorthing=202143.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/16-00224-FUL
"Chesterton Halt Adult Training Centre, Meadow Road, Cirencester",yes,,2017-11-13,,0.48,24,24,Has planning permission for 24 dwellings. Redevelopment to provide 24 apartments,local-authority-eng:COT,not owned by a public authority,2016-11-22,,permissioned,reserved matters approval,POINT(-1.967302 51.709621),16/03017/REM,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402356.000000&StartNorthing=201210.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/16-03017-REM
"First Floor, 27 Dyer Street, Cirencester",yes,,2017-11-13,,0.16,6,6,Has planning permission for six dwellings. Change of use of gym to create six apartments,local-authority-eng:COT,not owned by a public authority,2017-03-08,,permissioned,full planning permission,POINT(-1.964243 51.716606),16/05023/FUL,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402567.000000&StartNorthing=201987.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/16-05023-FUL
"Gap House, 1 Longwood Court, Love Lane, Cirencester",yes,,2017-12-01,,0.01,6,6,Has planning permission for six dwellings. Change of use from offices to six apartments,local-authority-eng:COT,not owned by a public authority,2017-03-30,,permissioned,full planning permission,POINT(-1.960098 51.705707),17/00549/OFRPAN,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402854.000000&StartNorthing=200775.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-12-01,brownfield-land/local-authority-eng/COT/17-00549-OFRPAN
"38 Cricklade Road, Cirencester",yes,,2017-11-13,,0.1,8,8,Has planning permission for eight dwellings. Demolition of existing dwelling house and outbuildings and erection of two blocks consisting of in total of eight flats,local-authority-eng:COT,not owned by a public authority,2017-08-25,,permissioned,full planning permission,POINT(-1.955205 51.70745),17/01659/FUL,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=403192.000000&StartNorthing=200969.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/17-01659-FUL
"50-52 Lewis Lane, Cirencester",yes,,2017-11-13,,0.04,7,7,Has planning permission for seven dwellings. Change of use from shop to seven flats,local-authority-eng:COT,not owned by a public authority,2017-08-10,,permissioned,full planning permission,POINT(-1.962767 51.715634),17/02205/FUL,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402669.000000&StartNorthing=201879.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/17-02205-FUL
"42-54 Querns Lane, Cirencester",,,2017-11-13,,0.18,6,6,Proposed allocation for six dwellings - see SHELAA (November 2017) for further information. Suitable for development (six dwellings),local-authority-eng:COT,not owned by a public authority,,,not permissioned,,POINT(-1.968761 51.713316),C_17,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402255.000000&StartNorthing=201621.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/C-17
"Forum Car Park, Magistrates Court and Cirencester Police Station, Cirencester",,,2017-11-13,,0.88,24,24,Proposed allocation for 24 dwellings - see SHELAA (November 2017) for further information. Suitable for mixed use (24 flats) subject to the outcome of the Cirencester Parking Strategy,local-authority-eng:COT,owned by a public authority,,,not permissioned,,POINT(-1.965315 51.715545),C_57/C_101A /C_101B,http://my.cotswold.gov.uk/mcd.aspx?MapSource=WOxford/cdc_AllMaps&StartEasting=402493.000000&StartNorthing=201869.000000&StartZoom=250&o=1&Layers=Brownfield_Sites_CDC,2017-11-13,brownfield-land/local-authority-eng/COT/C-57-C-101A--C-101B
