site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Hadrian Road (land south of Metro line), Wallsend",,,2018-12-31,,1.15,18,18,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,POINT(-1.517189 54.991606),1,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Cedar Grove Block, High Street East, Wallsend",,,2018-12-31,,0.7,32,19,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,POINT(-1.520703 54.991863),2,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Langdale Centre, Langdale Gardens, Howdon",,,2018-12-31,,1.43,39,39,,local-authority-eng:NTY,owned by a public authority,,,not permissioned,,POINT(-1.497827 55.006436),38,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Land at Martin Road, Howdon",,,2018-12-31,,0.12,4,4,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,POINT(-1.502084 54.994691),48,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Howdon Green, Willington Quay",,,2018-12-31,,3.54,83,83,Residential development for 83 dwellings and details of proposed access,local-authority-eng:NTY,not owned by a public authority,2017-05-10,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=K9T2DZBH09700,permissioned,outline planning permission,POINT(-1.490384 54.992917),58,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"West Chirton South, Norham Road, North Shields",yes,,2018-12-31,,28.95,400,400,Outline planning permission for the demolition existing buildings and redevelopment of the site for up to 400 residential dwellings including access.,local-authority-eng:NTY,mixed ownership,2016-06-17,https://idoxpublicaccess.northtyneside.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N81JHFBHGUN00,pending decision,outline planning permission,POINT(-1.482154 55.008186),63,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
Backworth Business Park,yes,,2018-12-31,,4.73,65,65,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,POINT(-1.52527 55.040586),66,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Foxhunters Industrial Estate, Hillheads Road, Whitley Bay",,,2018-12-31,,2.72,61,61,,local-authority-eng:NTY,mixed ownership,,,not permissioned,,POINT(-1.454978 55.033633),67,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"201-225 High Street East, Wallsend",,,2018-12-31,,0.16,5,5,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,POINT(-1.52648 54.992326),79,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
"Forest Hall Delivery Office, Station Road, Forest Hall",,,2018-12-31,,0.16,5,5,,local-authority-eng:NTY,not owned by a public authority,,,not permissioned,,POINT(-1.568041 55.018262),81,http://my.northtyneside.gov.uk/category/1134/housing-and-employment,2017-12-22
