site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
FORMER VICTORIA COTTAGE HOSPITAL EMSWORTH,,,2017-12-08,,0.16,15,15,,local-authority-eng:HAA,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49953_1,not permissioned,,POINT(-0.937172 50.848175),EM36,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/EM36
NORTH STREET GAS SITE EMSWORTH,,,2017-12-08,,0.46,15,15,,local-authority-eng:HAA,not owned by a public authority,,,not permissioned,,POINT(-0.935874 50.849665),EM42,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/EM42
LAND AT FOWLEY COTTAGE WARBLINGTON CLOSE EMSWORTH,,,2017-12-08,,1.15,7,7,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_49262_1,not permissioned,,POINT(-0.944123 50.843562),EM43,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/EM43
PORTSMOUTH WATER HQ HAVANT,yes,,2017-12-08,,3.17,120,120,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2468_1,not permissioned,,POINT(-0.989849 50.852572),H14,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/H14
LAND AT PALK ROAD HAVANT,,,2017-12-08,,0.53,21,21,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2499_1,not permissioned,,POINT(-0.996923 50.853254),H19,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/H19
CAR PARK BEHIND THE BEAR HOTEL AND EAST STREET HAVANT,,,2017-12-08,,0.93,40,40,,local-authority-eng:HAA,mixed ownership,,,not permissioned,,POINT(-0.979594 50.851845),H22,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/H22
LAND AT FORMER OAK PARK SCHOOL HAVANT,yes,,2017-12-08,,2.26,99,99,"HAVANT HEALTH AND WELLBEING CAMPUS, COMPRISING AN 80 BED NURSING HOME, 51 AFFORDABLE EXTRA CARE FLATS, 48 AFFORDABLE AND MARKET SUPPORTED LIVING FLATS & COMMUNITY HUB FACILITIES",local-authority-eng:HAA,,2015-12-18,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_2054_4,permissioned,full planning permission,POINT(-0.976994 50.85898),H69,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/H69
KINGSCROFT FARM HAVANT,,,2017-12-08,,2.94,90,90,,local-authority-eng:HAA,not owned by a public authority,,,not permissioned,,POINT(-0.997949 50.850475),H82,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/H82
LAND REAR OF 108/110 ELM GROVE HAYLING ISLAND,yes,,2017-12-08,,0.16,14,14,,local-authority-eng:HAA,not owned by a public authority,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_58296_1,not permissioned,,POINT(-0.976065 50.79238),HY13,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/HY13
PLAYGROUND AREAS ADJ CREEK ROAD LOCAL CENTRE HAYLING ISLAND,,,2017-12-08,,0.3,10,10,,local-authority-eng:HAA,,,,not permissioned,,POINT(-0.95425 50.743095),HY32,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/HY32
OPEN SPACE SOUTH OF BUCCANEERS PUBLIC HOUSE HAYLING ISLAND,,,2017-12-08,,0.11,20,20,,local-authority-eng:HAA,,,https://planningpublicaccess.havant.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=PROPLPI_60546_3,not permissioned,,POINT(-0.965288 50.781827),HY43,http://www.havant.gov.uk/evidence-base-studies/strategic-housing-land-availability-assessment,2017-12-08,brownfield-land/local-authority-eng/HAA/HY43
