site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"St Martin's Hospital, Canterbury",yes,,2020-12-10,,6.39,163,163,Allocated in Canterbury District's Adopted Local Plan (2017) for 164 Units.,local-authority-eng:CAT,,,,Not Permissioned,,POINT(1.106021 51.277165),BR-002,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=616725,157695,27700&scale=2000",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-002
"Land Adjacent to Canterbury West Station, Canterbury",yes,,2020-12-10,,0.28,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,mixed ownership,,,Not Permissioned,,POINT(1.077472 51.285592),BR-004,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614695,158548,27700&scale=1000",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-004
"Former Employment Exchange, St Johns Lane, Canterbury",,,2020-12-10,,0.08,24,24,Allocated in Canterbury District's Adopted Local Plan (2017) for 24 Dwellings.,local-authority-eng:CAT,,,,Not Permissioned,,POINT(1.078092 51.276419),BR-006,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614781,157530,27700&scale=500",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-006
"St Johns Lane Car Park, St Johns Lane, Canterbury",,,2020-12-10,,0.06,5,5,Allocated in Canterbury District's Adopted Local Plan (2017) for 5 dwellings.,local-authority-eng:CAT,mixed ownership,,,Not Permissioned,,POINT(1.077595 51.276711),BR-019,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614745,157561,27700&scale=500",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-019
"Rosemary Lane Car Park, Rosemary Lane, Canterbury",yes,,2020-12-10,,0.27,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,POINT(1.075695 51.276806),BR-012,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614612,157566,27700&scale=500",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-012
"Hawks Lane Car Park, Hawks Lane, Canterbury",,,2020-12-10,,0.03,9,9,Allocated in Canterbury District's Adopted Local Plan (2017) for 9 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,POINT(1.078822 51.278325),BR-016,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614823,157744,27700&scale=500",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-016
"White Horse Lane, Canterbury",yes,,2020-12-10,,0.19,10,10,Allocated in Canterbury District's Adopted Local Plan (2017) for 10 dwellings.,local-authority-eng:CAT,mixed ownership,,,Not Permissioned,,POINT(1.079038 51.278769),BR-014,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=614836,157794,27700&scale=1000",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-014
"Holmans Meadow Car Park, Dover Street, Canterbury",,,2020-12-10,,0.54,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,POINT(1.083241 51.275564),BR-011,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615144,157450,27700&scale=1000",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-011
"Ivy Lane Car Park, Ivy Lane, Canterbury",yes,,2020-12-10,,0.08,10,10,Allocated in Canterbury District's Adopted Local Plan (2017) for 10 dwellings.,local-authority-eng:CAT,owned by a public authority,,,Not Permissioned,,POINT(1.087611 51.276798),BR-015,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615443,157600,27700&scale=500",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-015
"BT Car park, Upper Chantry Lane, Canterbury",,,2020-12-10,,0.43,20,20,Allocated in Canterbury District's Adopted Local Plan (2017) for 20 dwellings.,local-authority-eng:CAT,,,,Not Permissioned,,POINT(1.085929 51.274162),BR-010,"https://mapping.canterbury.gov.uk/webapps/Brownfield_Sites/?center=615338,157302,27700&scale=1000",2017-11-01,brownfield-land/local-authority-eng/CAT/BR-010
