site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Site 4, Club, Depot & 501-509, Hawthorne Road, Bootle",yes,,2018-12-20,,2.3,0,0,Planning application subject to resolution to approve subject to further details. Suitable for mixed use scheme with 100 plus dwellings. The mixed use part of the scheme would be subject to the NPPF town centre sequential and impact tests.,local-authority-eng:SFT,not owned by a public authority,2005-04-07,https://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYF8NWXB568,pending decision,,POINT(-2.987855 53.460848),B71,http://maps.sefton.gov.uk/webmaplayers/?x=334507&y=396497&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/B71
"Mushroom Farm, 8-10, Cable Street, Formby",yes,,2018-12-20,,1.03,0,0,Nearly built out but last part is long term stalled. Left over area of land capable of 5 dwellings.. Partly developed site.,local-authority-eng:SFT,not owned by a public authority,2009-05-20,,permissioned,full planning permission,POINT(-3.056076 53.561387),F142,http://maps.sefton.gov.uk/webmaplayers/?x=330107&y=407715&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/F142
"Site of Sefton Works, Field Lane, Netherton",yes,,2018-12-20,yes,0.85,0,0,Large site with permission (DC/2014/00886). Development is currently stalled. And half built. Capacity for at least 20 more dwellings.. Previously developed site in PRA,local-authority-eng:SFT,not owned by a public authority,2008-03-13,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N5BBP5NW01E00,permissioned,full planning permission,POINT(-3.008316 53.475542),L238,http://maps.sefton.gov.uk/webmaplayers/?x=333204&y=398172&resolution=2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/L238
"8, Oxford Road, Southport",yes,,2018-12-20,,0.24,0,0,Existing approval for a care home (DC/2016/01743).,local-authority-eng:SFT,not owned by a public authority,2017-01-24,,permissioned,full planning permission,POINT(-3.02642 53.636199),S446,http://maps.sefton.gov.uk/webmaplayers/?x=332247&y=416012&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/S446
"Former Service Station, 146, Park Lane, Netherton",yes,,2018-12-20,,0.1,0,0,The figure of 10 is for flats and was approved in the recent planning application (DC/2016/02117).,local-authority-eng:SFT,not owned by a public authority,2017-01-20,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFP7RFNWMET00,permissioned,full planning permission,POINT(-2.96613 53.480395),B0096,http://maps.sefton.gov.uk/webmaplayers/?x=336030&y=398594&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/B0096
"Former Johnsons Cleaners, Mildmay Road, Bootle",yes,,2018-12-20,,1.81,0,0,Former Johnsons site. Has permission and suitable for development. Has scope for mixed use with limited retail subject to NPPF sequential and impact tests. Minimum figure assumes a high number of apartments.. Previously developed former Johnsons Cleaners site in a residential area.,local-authority-eng:SFT,not owned by a public authority,2012-09-26,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYH6NWXB476,permissioned,full planning permission,POINT(-2.996852 53.460428),B1218,http://maps.sefton.gov.uk/webmaplayers/?x=333933&y=396431&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/B1218
"Land w of Southport & Formby DGH, Town Lane, Southport",yes,,2018-12-20,,4.86,0,0,Southport hospital site subject to a number of approvals. Partially brownfield due to previous uses. Stalled.. Redundant land at the Southport Hospital.,local-authority-eng:SFT,not owned by a public authority,2013-05-31,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZYEZNWXB376,permissioned,full planning permission,POINT(-2.982716 53.632449),S0112,http://maps.sefton.gov.uk/webmaplayers/?x=335208&y=415524&resolution=2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/S0112
"Klondyke Ph2&3, Monfa Road, Bootle",yes,,2018-12-20,,5.03,0,0,Local Plan allocation MN2.43. Planning permission DC/2014/00642 for 142 units.. Large cleared sites in the urban area.,local-authority-eng:SFT,not owned by a public authority,2014-07-15,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N3B0SRNWHL700,permissioned,full planning permission,POINT(-2.985675 53.463941),B0115,http://maps.sefton.gov.uk/webmaplayers/?x=334680&y=396836&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/B0115
"Sunshine House, 2, Oxford Road, Southport",yes,,2018-12-20,,0.73,0,0,DC/2015/01601 - residential care home. Potential for 20 plus residential apartments.. Former School for the Blind school building. Currently vacant.,local-authority-eng:SFT,not owned by a public authority,2016-12-20,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NUPW5JNWGQE00,permissioned,full planning permission,POINT(-3.028248 53.636803),S0115,http://maps.sefton.gov.uk/webmaplayers/?x=332098&y=416086&resolution=0.2&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/S0115
"51-53, Alexandra Road, Southport",yes,,2018-12-20,,0.53,0,0,Approved for a care home. Partial brownfield. DC/2016/02175.. Vacant site in the built up area.,local-authority-eng:SFT,not owned by a public authority,2017-02-10,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG4NBSNWMJF00,permissioned,full planning permission,POINT(-2.990452 53.651965),S0120,http://maps.sefton.gov.uk/webmaplayers/?x=334669&y=417740&resolution=1&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/S0120
"39a, St Johns Road, Crosby",yes,,2018-12-20,,0.33,0,0,DC/2014/01354 - granted permission for 11 dwellings. Brownfield land by the railway. Former commercial uses.,local-authority-eng:SFT,not owned by a public authority,2014-10-17,http://pa.sefton.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N9FENUNWJ8H00,permissioned,outline planning permission,POINT(-3.029745 53.478181),C0110,http://maps.sefton.gov.uk/webmaplayers/?x=331811&y=398456&resolution=0.5&epsg=27700&mapname=smbc&baseLayer=ColourMapping&datalayers=Sefton%20Boundary%2CBrownfield%20Land%20Register%202018%2CselectFeaturesControl_container,2017-10-17,brownfield-land/local-authority-eng/SFT/C0110
