site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"tower place, waterworks street, immingham",yes,,2017-10-18,,0.8,32,32,'Developer/Owner of the site is currently pursuing the discharge of conditions for the sites planning consent. This application was validated on 2015-02-02 and is pending consideration.''. Erect 31 houses and 1 apartment,local-authority-eng:NEL,not owned by a public authority,2010-08-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVJLJXB209,permissioned,full planning permission,POINT(-0.201117 53.61819),BS0001,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0001
"71-85 hamilton street, grimsby",,,2017-10-18,,0.27,30,24,'The site was granted planning permission for 3 dwellings and 21 apartments on 2007-11-05 but has since expired. An existing car wash forms part of the site.''. outline application to erect 3 dwellings and 21 apartments,local-authority-eng:NEL,not owned by a public authority,2007-11-05,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZV5LJXB137,not permissioned,outline planning permission,POINT(-0.061584 53.572859),BS0002,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0002
Chapmans Pond,yes,,,,3.76,,,Not Permissioned,local-authority-eng:NEL,not owned by a public authority,,,not permissioned,,POINT(-0.037706 53.566478),BS0003,,,brownfield-land/local-authority-eng/NEL/BS0003
"land off pelham road, cleethorpes (1)",yes,,2017-10-18,,0.54,14,14,S106 approved. Demolish existing commercial premise and erect 14 link homes (12 no. 3 bed link over 2 floors and 2 no. 3 bed semi detached over 3 floors),local-authority-eng:NEL,not owned by a public authority,2015-12-24,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVRLJXB013,permissioned,full planning permission,POINT(-0.03728 53.56543),BS0004,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0004
"land off pelham road, cleethorpes (2)",,,2017-10-18,,3.96,118,118,"'The site is within close proximity to the Humber estuary and close to a designated site of local nature conservation importance, and development may have an ecological impact which will need to be assessed.''. Erection of 3 storey office building and facilities block with associated car parking, access and landscaping",local-authority-eng:NEL,owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=PH1XR8LJL5F00&activeTab=summary,pending decision,,POINT(-0.03516 53.56542),BS0005,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0005
"former clifton bingo, grant street, grimsby",yes,,2017-10-18,,0.21,80,35,"Outline for LDO, erection of buildings and / or use of land primarily for Class C3 with ancillary A1, A3, D2 and C1 use. Reserved Matters, 29.06.2018",local-authority-eng:NEL,not owned by a public authority,2016-03-09,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY47VLJ00700,permissioned,full planning permission,POINT(-0.030088 53.561917),BS0007,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0007
"former birds-eye factory site, ladysmith road, grimsby",yes,,2017-10-18,,4.16,260,176,"This site benefits from outline planning permission and reserved matters have been approved for part of the site (DC/630/12/HEN). For plots 11-23 13 dwellings in lieu of 14.. Redevelopment into a residential development for 177 mixed dwellings, amended. Commenced Work 14.09.2018",local-authority-eng:NEL,not owned by a public authority,2013-02-18,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?previousCaseType=Application&keyVal=NRY43NLJ00700&previousCaseNumber=DM%2F0965%2F17%2FREM&activeTab=summary&previousKeyVal=OXPROULJL3X00,permissioned,outline planning permission,POINT(-0.06855 53.56081),BS0008,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0008
"the cedars offices, eastern inway, grimsby",yes,,2017-10-18,,0.43,34,32,"Demolition of existing social services building and erection of a residential development of 17 dwellings with associated accesses, landscaping and boundary treatments",local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,pending decision,full planning permission,POINT(-0.110803 53.553458),BS0010,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0010
"cordage mill, convamore road, grimsby",,,2017-10-18,,3.22,113,113,"'The site incorporates a grade II listed building, is in Flood Zone 3 and carries a potential for contamination due to its historical use as a mill. However the development of the site gives an opportunity to bring a listed building back into use.''. Development Opportunity for Site.",local-authority-eng:NEL,not owned by a public authority,,,not permissioned,other,POINT(-0.0729 53.56206),BS0011,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0011
"former western school site, cambridge road, grimsby",yes,,2017-10-18,,10.38,400,400,"http://planninganddevelopment.nelincs.gov.uk/online-applications/files/0956B4068764E26E473A10EAD9E3E590/pdf/DM_0677_15_LDO-NEWSPAPER_CLIPPING-1031524.pdf. Outline permission for LDO, erection of buildings and / or use of land for Class A1, A2, A3, B1, C3 and D1 uses.",local-authority-eng:NEL,owned by a public authority,2016-03-09,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NRY4BRLJ00700,permissioned,full planning permission,POINT(-0.121135 53.556057),BS0012,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0012
"land off college street, grimsby",yes,,2017-10-18,,0.43,13,13,Erect 10 three bedroom and 3 four bedroom dwellings.,local-authority-eng:NEL,not owned by a public authority,2016-02-12,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NVUY4CLJLSJ00,permissioned,full planning permission,POINT(-0.094392 53.560542),BS0013,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0013
"land at north west of diana princess of wales hospital site, grimsby",,,2017-10-18,,0.5,19,18,Erect 18 Dwelling,local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?keyVal=ZZZZVLLJXB717&activeTab=summary,not permissioned,,POINT(-0.099545 53.549324),BS0015,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0015
Fletchers Yard,yes,,,,0.18,2,2,Erect two dwellings with associated parking,local-authority-eng:NEL,not owned by a public authority,2017-06-23,,permissioned,reserved matters approval,POINT(-0.117962 53.563244),BS0016,,,brownfield-land/local-authority-eng/NEL/BS0016
"land at willows farm, immingham",,,2017-10-18,,0.66,8,8,Erect 8 Dwellings,local-authority-eng:NEL,not owned by a public authority,2018-02-02,http://planninganddevelopment.nelincs.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,outline planning permission,POINT(-0.22463 53.60727),BS0017,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0017
"land at 65 park street/brereton avenue, cleethorpes",yes,,2017-10-18,,0.18,14,14,"'planning permission available upon appeal, DC/729/12/SSU.''. Erect 14 Dwellings",local-authority-eng:NEL,not owned by a public authority,,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVALJXB335,not permissioned,,POINT(-0.05799 53.56946),BS0018,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0018
"land at trenchard close, immingham",yes,,2017-10-18,,0.34,18,18,Erect 18 dwellings.,local-authority-eng:NEL,not owned by a public authority,2016-07-20,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVLLJXB895,permissioned,full planning permission,POINT(-0.198563 53.61836),BS0020,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0020
"29-31 chantry lane, grimsby",yes,,2017-10-18,,0.08,11,11,Change of use into eleven residential units,local-authority-eng:NEL,not owned by a public authority,2013-04-05,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZZVHLJXB627,permissioned,full planning permission,POINT(-0.09258 53.564568),BS0021,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0021
"former leaking boot public house, grimsby road and suggitts lane, cleethorpes",yes,,2017-10-18,,0.27,21,11,"'Approved conditions and signing of S106.''. Erection of 15 four bedroom, 4 three bedroom and 2 two bedroom dwellings.. 10 of the properties have been built, 11 left to build",local-authority-eng:NEL,not owned by a public authority,2016-02-10,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NJPTBTLJJZ400,permissioned,full planning permission,POINT(-0.041707 53.566515),BS0022,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0022
"land at utgard way, grimsby",yes,,2017-10-18,,0.2,8,8,Planning permission has now lapsed.. Erect 4 pairs of semi-detached dwellings,local-authority-eng:NEL,not owned by a public authority,2016-09-28,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBN9JTLJIV500,permissioned,full planning permission,POINT(-0.10274 53.54324),BS0027,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0027
"land at station road, stallingborough",yes,,2017-10-18,,0.5805,14,14,"Approved conditions and signing of S106. Erect 4 detached bungalows, 2 pairs of semi-detached bungalows and 2 pairs of link semi-detached houses",local-authority-eng:NEL,not owned by a public authority,2017-04-06,http://planninganddevelopment.nelincs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OBQW5FLJIYO00,permissioned,outline planning permission,POINT(-0.18433 53.58639),BS0030,,2017-10-18,brownfield-land/local-authority-eng/NEL/BS0030
