site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"LandOffTheGrove,BeckRow",yes,,2017-09-01,,0.83,73,73,SHLAA REF BR/05 SHLAA allocation Mixed use. Brownfield -dwellings and grounds outside settlement boundary. LINK TO SHLAA,local-authority-eng:FOR,,,,not permissioned,,POINT(0.465348 52.373531),BF002,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF002&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF002
"WarrenClose,Brandon",yes,,2017-09-01,,0.39,23,23,"SHLAA REF B/29 SALP REF SA2(A) - residential. Brownfield, previous library and preschool. LINK TO SHLAA",local-authority-eng:FOR,not owned by a public authority,,,not permissioned,,POINT(0.626043 52.446108),BF006,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF006&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF006
"LandOffGasHouseLane,Brandon",yes,,2017-09-01,,0.35,10,10,"SHLAA REF B/31 SALP REF SA2(b) - residential DC/16/1450/OUT - 10 dwellings; pending. Brownfield, previous gasworks. LINK TO SHLAA",local-authority-eng:FOR,not owned by a public authority,,,pending decision,,POINT(0.630605 52.447832),BF007,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF007&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF007
"Landrearof65,69,73StationRoad,Lakenheath",yes,,2017-09-01,,0.81,24,24,"SHLAA REF L/03. Brownfield- gardens within settlement boundary, but not town. LINK TO SHLAA",local-authority-eng:FOR,,,,not permissioned,,POINT(0.520855 52.424065),BF012,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF0012&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF012
"MatthewsNurserySite,DumplingBridgeLane,Lakenheath",yes,,2017-09-01,,1.86,13,13,F/2010/0337/OUT - 13 dwellings approved 28/02/12 SHLAA REF L/29 SALP REF SA7(a) - mixed. Mixed - glasshouses and open land within settlement boundary. LINK TO PLANNING APPLICATION,local-authority-eng:FOR,mixed ownership,2015-08-06,,permissioned,reserved matters approval,POINT(0.51666 52.418076),BF014,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF014&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF014
"DistrictCouncilOffices,CollegeHeathRoad,Mildenhall",yes,,2017-09-01,,2.01,89,89,SHLAA REF M/46 SALP REF SA5(b) - residential. Brownfield- Council offices. LINK TO SITE ALLOCATIONS LOCAL PLAN,local-authority-eng:FOR,owned by a public authority,,,not permissioned,,POINT(0.519068 52.345744),BF015,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF015&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF015
"LandAtWamilCourt,Mildenhall",yes,,2017-09-01,,0.62,19,19,SHLAA REF M/47. Brownfield - care home. LINK TO SHLAA,local-authority-eng:FOR,owned by a public authority,,,not permissioned,,POINT(0.50434 52.342092),BF016,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF016&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF016
"FormerSwimmingPoolSite,Newmarket",yes,,2017-09-01,,0.26,14,14,SHLAA REF N/29 SALP REF SA6(b) - mixed Planning application for 7 units relates to part of site at Public House. Brownfield - old swimming pool site and disused public house within settlement boundary. LINK TO PLANNING APPLICATION,local-authority-eng:FOR,not owned by a public authority,,,not permissioned,,POINT(0.397764 52.241325),BF019,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF019&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF019
"StFelixMiddleSchoolSite,Newmarket",yes,,2017-09-01,,1.39,50,50,"SHLAA REF N/32 SHLAA allocation Mixed use. Mixed - playingfields, outbuildings assoc with school, in settlement boundary. LINK TO SHLAA",local-authority-eng:FOR,owned by a public authority,,,not permissioned,,POINT(0.40085 52.256971),BF020,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF020&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF020
"LandOffTurnpikeRoad,RedLodge",yes,,2017-09-01,,2.56,132,132,"Planning application is for 55 dwellings SHLAA REF RL/03 SALP REF SA9(a) - residential SHLAA allocation Mixed use. Mixed - residential, haulage depot, mobile home park, garage. LINK TO SITE ALLOCATIONS LOCAL PLAN",local-authority-eng:FOR,mixed ownership,,,pending decision,,POINT(0.482736 52.30318),BF021,http://maps.westsuffolk.gov.uk/MyWestSuffolk.aspx?MapSource=WestSuffolk/AllMapsTest&SearchLayer=brownfield&SearchField=brownfield_ref&SearchValue=BF021&StartZoom=500,2017-09-01,brownfield-land/local-authority-eng/FOR/BF021
