site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Quinton Road, Wootton",yes,,2020-12-16,,1.16,19,19,"Part of Former Wootton Sewage Works. Part of the site is within Floodzone 2,3 and 3B. Allocated in emerging Local Plan (Part 2)",local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.880875 52.19556),BFR0171,https://www.northampton.gov.uk/download/downloads/id/10720/bfr0171,2018-12-20,brownfield-land/local-authority-eng/NOR/BFR0171
Ransome Road/Nunn Mills Road,yes,,2020-12-16,,11.85,200,200,Site allocated in CAAP and Emerging Local Plan (Part 2) for residential development,local-authority-eng:NOR,owned by a public authority,,,not permissioned,,POINT(-0.88908 52.227895),BFR0181,https://www.northampton.gov.uk/download/downloads/id/10716/bfr0181,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0181
"Blackthorn Middle School, Blackthorn Road",yes,,2020-12-16,,3.24,115,115,Site was formerly Blackthorn Middle School and now vacant. N/2018/0848 - full permission. Under construction as of April 2020.,local-authority-eng:NOR,not owned by a public authority,2019-09-30,,permissioned,full planning permission,POINT(-0.814142 52.269257),BFR0191,https://www.northampton.gov.uk/download/downloads/id/10049/bfr0191,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0191
"Parklands Middle School, Devon Way",yes,,2020-12-16,,4.94,132,132,N/2006/1052 (WNDC app) Outline App for residential development withdrawn (23 Jan 2012). N/2018/0904 Outline application with all matters reserved except access for up to 132no dwellings (approved 21/3/19). N/2019/0591 Reserved matter application for 132 dwellings approved (24/10/2019). Work not commenced as of April 2020.,local-authority-eng:NOR,owned by a public authority,2019-10-24,,permissioned,reserved matters approval,POINT(-0.874267 52.271068),BFR0205,https://www.northampton.gov.uk/download/downloads/id/10046/bfr0205,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0205
Railway Station Car Park,yes,,2019-12-18,,2.13,68,68,Forms part of Policy 19 (Castle Station) in the Central Area Action Plan (adopted 2013) and emerging Local Plan (Part 2).,local-authority-eng:NOR,owned by a public authority,,,not permissioned,,POINT(-0.905585 52.237643),BFR0288,https://www.northampton.gov.uk/download/downloads/id/10048/bfr0288,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0288
Chronicle & Echo North,yes,,2020-12-16,,0.88,42,42,"Allocated in CAAP and emerging Local Plan (Part 2). N/2016/1434 (temporary car park, Great Russell Street) proposed construction of 12 dwellings (approved) COMPLETED 2020. N/2016/0319. N/2018/1162 The Cuckoo’s Nest change of use of Public House to 6 flats, approved 3/12/18, not yet implemented as of April 2020. N/2019/0426 (former Top of the Town Nightclub) Construction of four storey building (including basement) to provide 14no flats and basement parking approved 13 July 2020, supersedes previous lapsed permissions.",local-authority-eng:NOR,not owned by a public authority,2018-12-03,,permissioned,full planning permission,POINT(-0.890553 52.242881),BFR0335,https://www.northampton.gov.uk/download/downloads/id/10053/bfr0335,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0335
Chronicle & Echo South,yes,,2020-12-16,,0.3,19,19,"Allocated in CAAP and emerging Local Plan (Part 2). N/2015/0333 Hybrid planning application comprising (a) Full Planning Application for the erection of 1810m2 new retail food store with associated access from Earl Street, landscaping and car parking; and (b) Outline Planning Application with all matters reserved except access (from Great Russell Street) of up to 19 residential dwellings. Aldi foodstore completed, outline amended 2018. Reserved matter Application N/2019/0357 for 14 dwellings approved 20/2/2020.",local-authority-eng:NOR,not owned by a public authority,2016-03-18,,permissioned,reserved matters approval,POINT(-0.891159 52.242147),BFR0336,https://www.northampton.gov.uk/download/downloads/id/10721/bfr0336,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0336
Countess Road,yes,,2020-12-16,,2.55,68,68,"Allocated in emerging Local Plan (Part 2). N/2015/1021 and N/2017/0401 superseded by N/2019/0563 Barker Buildings, part demolition and conversion of the existing factory building to 54no apartments and the erection of a new 3-storey building to provide 14no apartments, together with bin and cycle storage and parking (approved 25/9/19), under construction April 2020.",local-authority-eng:NOR,not owned by a public authority,2019-09-25,,permissioned,full planning permission,POINT(-0.913337 52.244493),BFR0338,https://www.northampton.gov.uk/download/downloads/id/10056/bfr0338,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0338
"Former Semilong Service Station, St Andrews Road",yes,,2017-12-13,,0.08,24,24,N/2005/0797 planning permission for 24 flats. N/2012/0905 planning permission for 22 unit residential care home (C2). Both proposals involve offices on the ground floor. Construction works have started on site.,local-authority-eng:NOR,not owned by a public authority,2012-12-13,,permissioned,full planning permission,POINT(-0.90401 52.243256),BFR0507,https://www.northampton.gov.uk/download/downloads/id/10072/bfr0507,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0507
"Bective Works/Jabez House, Bective Road/Yelvertoft Road",yes,,2020-12-16,,0.53,168,168,"Lawful Development Certificate N/2019/1450 issued 27/01/2020 in respect of N/2015/0419, demolition of Bective Works and Jebez House and erection of student accommodation comprising 293 study bedrooms and including retail unit accessed from Yelvertoft Road. N/2019/0612 Erection of purpose-built student accommodation comprising 385no rooms with 420no bed-spaces, following partial demolition of existing buildings approved in principle 19/05/2020.",local-authority-eng:NOR,not owned by a public authority,2015-07-30,,permissioned,other,POINT(-0.89841 52.264334),BFR0510,https://www.northampton.gov.uk/download/downloads/id/10062/bfr0510,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0510
Sixfields East,yes,,2020-12-16,,10.2,255,255,Allocated in emerging Local Plan (Part 2). N/2014/0596 outline planning application for mixed use development including 255 dwellings not yet decided (December 2020).,local-authority-eng:NOR,mixed ownership,,,pending decision,other,POINT(-0.930323 52.236645),BFR0594,https://www.northampton.gov.uk/download/downloads/id/10060/bfr0594,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0594
Southbridge/Nunn Mills,yes,,2019-12-18,,0.36,94,94,"Allocated in emerging Local Plan (Part 2). All planning history associated with residential development of this site now largely completed. However, 94 dwellings (part affordable housing) are left to be completed on two parts of the site. process is underway to transfer these two parcels of land to Northampton Borough Council.",local-authority-eng:NOR,mixed ownership,,,not permissioned,,POINT(-0.892813 52.23087),BFR0624,https://www.northampton.gov.uk/download/downloads/id/10063/bfr0624,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0624
"Car Garage Workshops, 409 Harlestone Road",yes,,2019-12-18,,1.09,35,35,Allocated in emerging Local Plan (Part 2).,local-authority-eng:NOR,not owned by a public authority,,,not permissioned,,POINT(-0.943592 52.25526),BFR0719,https://www.northampton.gov.uk/download/downloads/id/10066/bfr0719,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0719
"Former St Crispin’s Hospital, St Crispin Drive",yes,,2017-12-13,,2.75,235,235,"This site is currently under construction for residential development. N/2004/1542 has been partly implemented. Application N/2015/1454 for the rest of the site approved. Demolition of the existing ward blocks. Restoration of the clock tower and conversion to residential use comprising 13no apartments, restoration of the administration building and conversion to residential use to provide 4no apartments, the erection of 120no apartments and 98 houses (235no dwellings total) with associated roads and underground car parks.",local-authority-eng:NOR,not owned by a public authority,2017-05-08,,permissioned,full planning permission,POINT(-0.957739 52.243293),BFR0896,https://www.northampton.gov.uk/download/downloads/id/10069/bfr0896,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR0896
"Hawkins Shoe Factory, Overstone Road, and 4 - 12 Dunster Street",yes,,2019-12-18,,0.17,105,105,"Allocated in emerging Local Plan (Part 2). N/2015/0673 Conversion and alterations of factory premises to form 105 apartments with associated parking both on site and on street, replacement of windows and new roof lights, proposed infill extension on Dunster Street facade including new roof terrace.",local-authority-eng:NOR,not owned by a public authority,2016-07-28,,permissioned,full planning permission,POINT(-0.890553 52.241112),BFR0903,https://www.northampton.gov.uk/download/downloads/id/10077/bfr0903,2016-06-29,brownfield-land/local-authority-eng/NOR/BFR0903
Land at St Peters Way/ Court Road/ Freeschool Street,yes,,2020-12-16,,1.18,5,5,Allocated for mixed use including residential in Policy 33 Central Area Action Plan (2013) and Northampton Local Plan Part 2 Submission Draft (2019).,local-authority-eng:NOR,mixed ownership,,,not permissioned,,POINT(-0.901913 52.235871),BFR1010,https://www.northampton.gov.uk/download/downloads/id/10075/bfr1010,2017-12-13,brownfield-land/local-authority-eng/NOR/BFR1010
