site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Hawkwood Road Car Park,,,2017-12-21,,1,220,180,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.83657 50.7253),B/BLR/0083,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
"Asda, St. Paul's Road",,,2017-12-21,,3.48,110,90,,local-authority-eng:BMH,not owned by a public authority,,,not permissioned,,POINT(-1.86296 50.7259),B/BLR/0085,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Richmond Hill,,,2017-12-21,,0.3,77,63,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.87722 50.7225),B/BLR/0096,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Land at Cambridge Road,yes,,2017-12-21,,0.49,70,58,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.8871 50.7217),B/BLR/0087,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Durley Road,,,2017-12-21,,0.32,44,40,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.88566 50.7166),B/BLR/0092,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Winter Gardens,yes,,2017-12-21,,1.96,150,114,,local-authority-eng:BMH,mixed ownership,,,not permissioned,,POINT(-1.87978 50.7172),B/BLR/0093,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Eden Glen,,,2017-12-21,,0.43,50,40,,local-authority-eng:BMH,mixed ownership,,,not permissioned,,POINT(-1.87779 50.7177),B/BLR/0088,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Central Car Park,yes,,2017-12-21,,1.24,220,180,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.87223 50.7192),B/BLR/0084,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Land adj. Princess Road/Wessex Way,,,2017-12-21,,0.62,55,45,,local-authority-eng:BMH,mixed ownership,,,not permissioned,,POINT(-1.90336 50.7238),B/BLR/0094,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
"Land adj. 131, Jewell Road",yes,,2017-12-21,,0.03,7,5,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.82381 50.7513),B/BLR/0090,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Wilkinson Drive,yes,,2017-12-21,,0.03,7,5,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.82307 50.7513),B/BLR/0091,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
"HANNAH LEVY HOUSE, 15 POOLE ROAD",yes,,2017-12-21,,0.23,16,12,,local-authority-eng:BMH,not owned by a public authority,,,not permissioned,,POINT(-1.89172 50.7198),B/BLR/0095,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
"Ambulance Station, 42 Porchester Road",yes,,2017-12-21,,0.23,11,9,,local-authority-eng:BMH,not owned by a public authority,,,not permissioned,,POINT(-1.86527 50.7297),B/BLR/0089,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
Glen Fern Road,,,2017-12-21,,1.15,55,45,,local-authority-eng:BMH,owned by a public authority,,,not permissioned,,POINT(-1.8716 50.721),B/BLR/0086,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
8-10 Madeira Road,yes,,2017-12-21,,0.25,54,54,"Outline submission for the erection of a 4/6 storey block of student accommodation with bin and cycle storage, formation of vehicular access and parking spaces",local-authority-eng:BMH,,2017-03-14,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,outline planning permission,POINT(-1.86769 50.7233),B/BLR/0002,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
59 Christchurch Road,yes,,2017-12-21,,0.06,14,14,Erection of a 3/4 storey block of 14 flats with underground parking. Application for Reserved Matters in respect of application 7-2009-21552-D,local-authority-eng:BMH,not owned by a public authority,2012-02-27,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,reserved matters approval,POINT(-1.8491 50.7224),B/BLR/0003,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
18-20 Studland Road,yes,,2017-12-21,,0.16,13,13,Erection of 3 1/2 storey building comprising 6 holiday flats and 13 residential flats with basement parking and formation of new vehicular access - Revised Application,local-authority-eng:BMH,not owned by a public authority,2014-01-24,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,full planning permission,POINT(-1.89787 50.7124),B/BLR/0004,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
113 Lowther Road,yes,,2017-12-21,,0.06,5,5,"Alterations, 3 storey extension, extension to enclose staircase, conversion of dwellinghouse into 6 flats with bin and cycle stores and formation of parking spaces - Revised application",local-authority-eng:BMH,not owned by a public authority,2009-09-22,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,full planning permission,POINT(-1.86502 50.7328),B/BLR/0005,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
r/o 27-29 Cardigan Road,yes,,2017-12-21,,0.49,11,11,Erection of 26 dwellings & associated car parking spaces,local-authority-eng:BMH,,2009-04-08,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,full planning permission,POINT(-1.87446 50.7401),B/BLR/0006,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
55 Southwick Road and 11a Warnford Road,yes,,2017-12-21,,0.36,23,23,"Erection of 20 dwellinghouses and 3 flats, bin and cycle stores and formation of vehicular access and parking spaces - Revised application",local-authority-eng:BMH,not owned by a public authority,2013-08-21,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,full planning permission,POINT(-1.8096 50.7344),B/BLR/0007,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
25 Belle Vue Road,yes,,2017-12-21,,0.06,8,8,"Erection of 3 storey block of 9 flats with associated parking, bin and cycle stores - Reserved Matters Application in respect of 7-2010-673-H",local-authority-eng:BMH,not owned by a public authority,2013-06-19,http://planning.bournemouth.gov.uk/RealTimeRegister/planappsrch.aspx,permissioned,reserved matters approval,POINT(-1.80498 50.7222),B/BLR/0008,https://www.google.com/maps/d/viewer?mid=1BGAkKPfji6xn7jk2OstHBGjvCYB1vqXc&ll=50.72409533613286%2C-1.868762192891154&z=15,2017-12-21
