site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
130 Cazenove Road,,,2017-12-31,,0.07,5,5,,local-authority-eng:HCK,,2010-06-03,,permissioned,full planning permission,POINT(-0.063027 51.565707),2008/0551,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534352&lat=186981,2017-12-31
1A West Bank,,,2017-12-31,,0.06,8,8,,local-authority-eng:HCK,,2008-11-25,,permissioned,full planning permission,POINT(-0.078225 51.574149),2008/1262,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533274&lat=187892,2017-12-31
325 Lordship Road,,,2017-12-31,,0.07,22,22,,local-authority-eng:HCK,,2012-03-30,,permissioned,full planning permission,POINT(-0.087661 51.569043),2009/2093,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532635&lat=187307,2017-12-31
19-29 de Beauvoir Road,,,2017-12-31,,0.06,33,33,,local-authority-eng:HCK,,2014-01-20,,permissioned,full planning permission,POINT(-0.08181 51.538696),2012/2828,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533129&lat=183943,2017-12-31
5-9 Yorkton Street London E2 8NH,,,2017-12-31,,0.31,20,20,,local-authority-eng:HCK,,2015-03-31,,permissioned,full planning permission,POINT(-0.069153 51.531439),2013/0502,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534028&lat=183159,2017-12-31
"Woodberry Down Estate Phases 2-8, 307 Seven Sisters Road",,,2017-12-31,,0.47,2696,2696,,local-authority-eng:HCK,,,,permissioned,other,POINT(-0.090149 51.573022),2013/3223,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532451&lat=187745,2017-12-31
18 Rossendale Street,,,2017-12-31,,0.06,24,24,,local-authority-eng:HCK,,2016-06-13,,permissioned,full planning permission,POINT(-0.059753 51.563306),2014/0332,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534586&lat=186720,2017-12-31
154 Dalston Lane,,,2017-12-31,,0.04,7,7,,local-authority-eng:HCK,,2015-01-20,,permissioned,full planning permission,POINT(-0.066598 51.547853),2014/0610,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534157&lat=184989,2017-12-31
231a Graham Road,,,2017-12-31,,0.04,9,9,,local-authority-eng:HCK,,2014-05-22,,permissioned,full planning permission,POINT(-0.056285 51.546837),2014/0727,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534875&lat=184895,2017-12-31
47 Lea Bridge Road,,,2017-12-31,,0.17,26,26,,local-authority-eng:HCK,,2014-11-18,,permissioned,full planning permission,POINT(-0.053784 51.559143),2014/0814,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535012&lat=186268,2017-12-31
Land at 47 Lea Bridge Road,,,2019-07-10,,0.07,20,20,,local-authority-eng:HCK,,2015-03-31,,permissioned,full planning permission,POINT(-0.053784 51.559143),2014/2129,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535012&lat=186268,2017-12-31
34 Englefield Road,,,2017-12-31,,0.05,9,9,,local-authority-eng:HCK,,2014-12-09,,permissioned,full planning permission,POINT(-0.081945 51.543024),2014/3457,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533107&lat=184424,2017-12-31
Morpeth Road garages,,,2017-12-31,,0.16,12,12,,local-authority-eng:HCK,,2018-06-01,,permissioned,full planning permission,POINT(-0.046494 51.536009),2015/1612,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535586&lat=183709,2017-12-31
1 Vince Street EC1V 9HB,,,2019-01-31,,0.02,17,17,,local-authority-eng:HCK,,2017-06-04,,permissioned,full planning permission,POINT(-0.085849 51.526281),2015/3377,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=532885&lat=182555,2019-01-31
54-54a Clapton Common,,,2017-12-31,,0.06,19,19,,local-authority-eng:HCK,,2017-03-08,,permissioned,full planning permission,POINT(-0.063742 51.571294),2015/4019,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534286&lat=187601,2017-12-31
28 Powell Road E5 8DJ,,,2019-01-31,,0.11,21,21,uses the application 2017/3431 boundary,local-authority-eng:HCK,,2017-04-07,,permissioned,full planning permission,POINT(-0.056955 51.557181),2016/0901,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535059lat=185575,2019-01-31
Former Frampton Arms and land adjacent to Sherard and Catesby House 47 Well Street,,,2017-12-31,,0.29,20,20,,local-authority-eng:HCK,,2017-03-10,,permissioned,full planning permission,POINT(-0.050924 51.541011),2016/1347,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535264&lat=184257,2017-12-31
"Lyttleton House, Well Street",,,2017-12-31,,0.31,25,25,,local-authority-eng:HCK,,2017-03-10,,permissioned,full planning permission,POINT(-0.049279 51.54271),2016/1348,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535373&lat=184449,2017-12-31
"Tower Court, Clapton Common E5 9AJ",,,2019-01-31,,0.7,65,65,,local-authority-eng:HCK,,,,permissioned,full planning permission,POINT(-0.068084 51.573039),2016/1930,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533980&lat=187787,2019-01-31
"Stamford Lodge, Amhurst Park",,,2017-12-31,,0.36,8,8,,local-authority-eng:HCK,,2017-03-27,,permissioned,full planning permission,POINT(-0.074206 51.573301),2016/2345,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533555&lat=187805,2017-12-31
Cambridge Court Amhurst Park,,,2017-12-31,,0.29,5,5,,local-authority-eng:HCK,,2016-08-24,,permissioned,full planning permission,POINT(-0.077202 51.574798),2016/2420,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=533343&lat=187966,2017-12-31
Land to the R/O 130-134 Richmond Road,,,2017-12-31,,0.03,7,7,,local-authority-eng:HCK,,2017-06-20,,permissioned,full planning permission,POINT(-0.067719 51.542836),2016/3833,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=534094&lat=184429,2017-12-31
13A Derby Road,,,2017-12-31,,0.05,7,7,,local-authority-eng:HCK,,2017-01-03,,permissioned,full planning permission,POINT(-0.046241 51.537561),2016/4140,https://map.hackney.gov.uk/LBHackneymap/?zoom=14&lon=535600&lat=183881,2017-12-31
