site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land Adjacent To Kennet And Avon Canal, Wharf Side, Aldermaston",yes,,2017-10-17,,0.35,11,11,"Erection of 11 no. four 2 bed, two 3 bed and five 4 bedroom dwellings, together with access, car parking, landscaping and associated works (including demolition of attached garages and garden walls and the relocation of existing Visitor Centre car parking and pumping station)",local-authority-eng:WBK,not owned by a public authority,2012-03-16,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LP9A9CRD0EJ00,permissioned,full planning permission,POINT(-1.135206 51.400631),BR/2017/01,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LP9A9CRD0EJ00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-01
"Springwood Engineering, Bunces Lane, Burghfield Common, Reading, RG7 3DG",yes,,2017-10-17,,0.47,13,13,"Erection of 14 dwellings (3 x 4 bed, 7 x 3 bed and 4 x 2 bed), access road, car and cycle parking following demolition of existing single storey dwelling",local-authority-eng:WBK,not owned by a public authority,2015-11-30,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NHCR2FRD0HD00,permissioned,full planning permission,POINT(-1.059518 51.396541),BR/2017/02,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NHCR2FRD0HD00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-02
"Greens Yard, High Street (Tithe Barn Close), Compton",yes,,2017-10-17,,0.95,25,25,"Approval of Reserved Matters following Outline planning permission 11/01159/XOUTMA - Matters to be considered layout, appearance, landscaping and scale. For 25 residential units.",local-authority-eng:WBK,not owned by a public authority,2015-04-14,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N4L0L4RD04Z00,permissioned,reserved matters approval,POINT(-1.253276 51.516743),BR/2017/03,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N4L0L4RD04Z00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-03
"Pirbright Institute site (formerly Institute For Animal Health), Compton",,,2017-10-17,,9.1,140,140,The site is included as an allocation within the adopted Housing Site Allocations Development Plan Document. A Supplementary Planning Document has also been prepared for the site. http://info.westberks.gov.uk/hsa | http://info.westberks.gov.uk/CHttpHandler.ashx?id=36532&p=0,local-authority-eng:WBK,owned by a public authority,,,not permissioned,,POINT(-1.25482 51.51838),BR/2017/04,http://info.westberks.gov.uk/CHttpHandler.ashx?id=43955&p=0,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-04
"Crookham House, Crookham Hill, Crookham Common, Thatcham, RG19 8DQ",yes,,2017-10-17,,7.32,8,8,"Change of use and redevelopment to provide a mixed-use scheme incorporating 2 stables buildings and 1 new vehicular access, 13 new dwellings, and the change of use of the existing Crookham House by its conversion to a further single dwelling and including associated demolition of existing extensions and outbuildings and the change of use of playing fields to ancillary recreation and equestrian uses. Alternatively, and notwithstanding the implementation of the rest of the proposed development, in the event that the residential use of the converted building is not brought into use or does not continue; the change of use of the Crookham House building to offices (Use Class B1(a))",local-authority-eng:WBK,not owned by a public authority,2015-03-26,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MPQ9R4RD04Z00,permissioned,full planning permission,POINT(-1.246687 51.380449),BR/2017/05,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MPQ9R4RD04Z00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-05
"St Johns Hall, Station Road, Hungerford",yes,,2017-10-17,,0.05,6,6,"Demolition of existing Hall and erection of 6 flats (4 x one bed and 2 x two bed) plus parking, access and landscaping",local-authority-eng:WBK,not owned by a public authority,2014-07-31,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MUAU7KRD0EA00,permissioned,full planning permission,POINT(-1.511632 51.414294),BR/2017/06,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MUAU7KRD0EA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-06
"Three Swans Hotel, 117 High Street, Hungerford",yes,,2017-10-17,,0.2,13,13,"Comprehensive redevelopment of land to the rear of Three Swans Hotel, involving the construction of 13 residential units including 10 apartments and 3 houses, parking, landscaping, access from Park Street and associated works. To include partial demolition of non listed wall",local-authority-eng:WBK,not owned by a public authority,2011-12-28,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=LRVR39RD09N00,permissioned,full planning permission,POINT(-1.515336 51.414867),BR/2017/07,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRVR39RD09N00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-07
"Redundant Garage Site Adjacent To 40 Woodbury, Lambourn",yes,,2017-10-17,,0.14,5,5,The construction of four 2 - bed 4 - person houses and one 1 bed - 2 - person house together with external works and car parking,local-authority-eng:WBK,not owned by a public authority,2014-10-16,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N5LVWFRD0EA00,permissioned,full planning permission,POINT(-1.521755 51.502472),BR/2017/08,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N5LVWFRD0EA00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-08
"Northcroft Surgery, Northcroft Lane, Newbury, RG14 1BU",yes,,2017-10-17,,0.05,5,5,"Change of Use from D1 - Doctors Day Surgery (building currently vacant) to C3(b) - Five Assisted living apartments. Single storey extension to form entrance porch, new windows, internal alterations, new vehicular and pedestrian access gates, cycle parking and refuse store",local-authority-eng:WBK,not owned by a public authority,2016-07-14,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O855T4RD0IP00,permissioned,full planning permission,POINT(-1.326232 51.402064),BR/2017/09,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O855T4RD0IP00,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-09
"39 London Road, Newbury, RG14 1JL",yes,,2017-10-17,,0.05,6,6,Change of Use from B1 (a) into six flats,local-authority-eng:WBK,not owned by a public authority,2017-01-06,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OGQRWNRD0K500,permissioned,full planning permission,POINT(-1.322955 51.405867),BR/2017/10,https://publicaccess.westberks.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OGQRWNRD0K500,2017-10-17,brownfield-land/local-authority-eng/WBK/BR-2017-10
