name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BLR02,"St Martin's Walk Centre (Upper Floors), Dorking RH4 1UX",yes,,2017-11-28,,0.5,25,25,Conversion and/or extension of existing office space in upper floors to provide additional residential units.. http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf,local-authority-eng:MOL,owned by a public authority,,,not permissioned,,POINT(-0.329811 51.232473),BLR02,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR02
BLR06,"Claire House and James House, Bridge St, Leatherhead KT22 8BZ",yes,,2017-11-28,,0.21,25,25,Residential development as part of a mixed use scheme as set out in the Transform Leatherhead Masterplan.. http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385,local-authority-eng:MOL,owned by a public authority,,http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2014/1918,not permissioned,,POINT(-0.331253 51.293989),BLR06,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR06
BLR04,"Bull Hill Site, Leatherhead, KT22 7AH",,,2017-11-28,,1.85,120,120,Residential development as part of a mixed use scheme as set out in the Transform Leatherhead Masterplan.. http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385,local-authority-eng:MOL,owned by a public authority,,,not permissioned,,POINT(-0.330567 51.297151),BLR04,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR04
BLR01,"Grove Corner, Lower Shott/Guildford Road, Bookham KT23 4LP",yes,,2017-11-28,,0.33,5,5,"Residential development as part of a well-designed mixed use building and/or development on garage court to rear, incorporating up to around 10 residential units (gross).. http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf",local-authority-eng:MOL,owned by a public authority,,,not permissioned,,POINT(-0.37199 51.276444),BLR01,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR01
BLR05,"Sorting Office, Station Rd, Leatherhead KT22 7AE and Telephone Exchange, Station Rd, Leatherhead KT22 7AF",,,2017-11-28,,0.77,95,95,"Residential redevelopment of existing sorting office and telephone exchange, subject to satisfactory relocation of existing uses.. http://www.molevalley.gov.uk/media/pdf/7/9/Brownfield_LAA_June_2017REVFC.pdf|http://www.molevalley.gov.uk/index.cfm?articleid=29385",local-authority-eng:MOL,not owned by a public authority,,,not permissioned,,POINT(-0.332044 51.295224),BLR05,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR05
BLR03,"Vine Court, Chalkpit Lane, Dorking RH4 1XG",yes,,2017-11-28,,0.33,30,30,Extension and conversion of Vine Court to provide 30 No. flats with associated landscaping.,local-authority-eng:MOL,not owned by a public authority,2017-10-05,http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2015/0177,permissioned,full planning permission,POINT(-0.333982 51.234295),BLR03,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR03
BLR09,"Devonshire House, 66 Church St, Leatherhead KT22 8DP",yes,,2017-11-28,,0.07,9,9,Change of use from office (Use Class B1) to residential (Use Class C3). Creation of 7 No. flats via reconfiguration of existing building and the creation of 2 No. new flats in an extension to the rear wing.,local-authority-eng:MOL,not owned by a public authority,2016-03-03,http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2015/0555,permissioned,full planning permission,POINT(-0.32739 51.293447),BLR09,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR09
BLR12,"Land to the rear of 272-294 High St, Dorking RH4 1QT",yes,,2017-11-28,,0.11,8,8,"Demolish existing building and erect 8 No. apartments including 8 No. undercroft car parking for residents and 15 No. leased and licensed car parking spaces, together with associated refuse stores, cycle parking, amenity space, and landscaping.",local-authority-eng:MOL,not owned by a public authority,2016-10-10,http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/0659,permissioned,full planning permission,POINT(-0.325781 51.23337),BLR12,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR12
BLR13,"207-213 High St, Dorking RH4 1RU",yes,,2017-11-28,,0.08,14,14,Change of use of 1st floor from commercial to residential to create 8 No. units. Construction of an additional floor at 2nd floor level to create 6 No. residential units including alterations to the fenestration.,local-authority-eng:MOL,not owned by a public authority,2017-06-07,http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2015/0677|http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/0905,permissioned,full planning permission,POINT(-0.327615 51.232904),BLR13,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR13
BLR14,"145-153 High St, Dorking RH4 1AG",yes,,2017-11-28,,0.1,9,9,Erection of 2nd floor and rear extension for the creation of 9 No. flats with associated cycle and refuse storage. Alteration to shop front to create access from High Street.,local-authority-eng:MOL,not owned by a public authority,2016-12-12,http://www.molevalley.gov.uk/swiftlg/apas/run/WPHAPPDETAIL.DisplayUrl?theApnID=MO/2016/1108,permissioned,full planning permission,POINT(-0.329025 51.232398),BLR14,https://maps.molevalley.gov.uk/,2017-11-28,/brownfield-land/local-authority-eng/MOL/BLR14
