site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Land east of Beck Lane, Barrow Upon Humber",,,2017-12-19,,2.23,71,71,The site is located within the development limit of Barrow upon Humber.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.37421 53.678746),IN1-18,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=507485.029164299&StartNorthing=421480.830485244&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/IN1-18
"Former Carpark, Collum Avenue, Scunthorpe",,,2017-12-19,,0.16,14,14,The site is allocated for residential development within North Lincolnshire Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,owned by a public authority,,,not permissioned,,POINT(-0.644239 53.56769),SCUH-12,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489885.39706548&StartNorthing=408752.20508063&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/SCUH-12
"Land to rear of 48 to 57 Bridge Street, Brigg",,,2017-12-19,,0.8,23,23,The site is located within the development limit of Brigg.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.495458 53.552195),OI177,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=499774.472835261&StartNorthing=407226.311871983&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/OI177
"32-34 Newland Avenue, Scunthorpe",,,2017-12-19,,0.05,8,8,The site is located within the development limit of Scunthorpe.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.670121 53.58759),PA/2017/113,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=488130.033784832&StartNorthing=410933.745093097&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/PA-2017-113
"Former St Marys CycleWorks, Barton Upon Humber",,,2017-12-19,,1.95,73,73,The site is allocated for residential development within North Lincolnshire Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.436055 53.685715),BARH-3,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=503383.294028402&StartNorthing=422164.505355223&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/BARH-3
"Land of Godnow Road, Crowle",,,2017-12-19,,1.32,51,51,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.83362 53.604224),CROH-2,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=477277.22790944&StartNorthing=412594.569243751&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/CROH-2
"Hartwell Ford, Scunthorpe",,,2017-12-19,,0.74,33,33,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.652225 53.586827),SCUH-C4,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489316.258427903&StartNorthing=410871.102701337&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/SCUH-C4
"Former Scunthorpe Telegraph Office Site, Scunthorpe",,,2017-12-19,,0.24,67,67,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.65713 53.59104),SCUH-C6,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=488982.730215676&StartNorthing=411333.617116233&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/SCUH-C6
Advance Crosby Scheme Phase 2 Scunthorpe,yes,,2017-12-19,,0.36,14,14,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,owned by a public authority,,,not permissioned,,POINT(-0.649798 53.592729),SCUH-7,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489464.455739415&StartNorthing=411530.788193024&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/SCUH-7
Former Kingsway House Scunthorpe,,,2017-12-19,,0.4,16,16,The site is allocated for housing development within the Housing and Employment Land Allocation Development Plan Document.,local-authority-eng:NLN,not owned by a public authority,,,not permissioned,,POINT(-0.655312 53.578395),SCUH-15,http://maps.northlincs.gov.uk/iSharewebin.Web/myNorthlincs.aspx?mapsource=Northlincs_webin/nlc_AllMaps&StartEasting=489129.630847458&StartNorthing=409929.248773277&StartZoom=1000&Layers=brownfield,2017-12-19,brownfield-land/local-authority-eng/NLN/SCUH-15
