name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
EP36,Former Railway Sidings Tutts Barn Lane,,,2019-12-12,,4.06,181,181,,local-authority-eng:EAS,not owned by a public authority,,,not permissioned,,POINT(0.285005 50.780857),EP36,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2019-12-12,/brownfield-land/local-authority-eng/EAS/EP36
HA18,Garages adjacent 25-32 Fletching Road,,,2018-12-11,,0.1,8,8,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,POINT(0.287791 50.800733),HA18,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/HA18
HA27,14-29 Brassey Parade,yes,,2020-12-18,,0.39,22,22,"Erection of mansard roof over existing building to provide additionaltwo-storeys. Formation of additional 29 x residential flats within first, second and third floors. Retention of retail units on ground floor and 7 x existing residential flats on first floor. Single-storeyextension to northern elevation for use as bin and cycle store",local-authority-eng:EAS,not owned by a public authority,2019-08-28,,permissioned,full planning permission,POINT(0.277463 50.797122),HA27,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11,/brownfield-land/local-authority-eng/EAS/HA27
HA35,Garages to the rear of 11 Cade Street,,,2018-12-11,,0.05,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,POINT(0.283307 50.802454),HA35,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2018-12-11,/brownfield-land/local-authority-eng/EAS/HA35
HA43,Garages to the rear of 17 Pulborough Avenue,,,2018-12-11,,0.16,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,POINT(0.275792 50.801133),HA43,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/HA43
HA45,Garages adjacent to 1 Wadhurst Close,,,2018-12-11,,0.09,5,5,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,POINT(0.278907 50.799629),HA45,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/HA45
LA01,Car park to east of Langney Shopping Centre,yes,,2020-12-18,,0.13,11,11,Erection of 11 houses including parking and access,local-authority-eng:EAS,not owned by a public authority,2020-08-14,,permissioned,full planning permission,POINT(0.305957 50.803137),LA01,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA01
LA03,87-89 Pevensey Bay Road,yes,,2020-12-21,,0.15,7,7,Outline application (Access only to be determined) for the demolition of existing buildings and erection of seven dwellings.,local-authority-eng:EAS,not owned by a public authority,2020-04-17,,permissioned,outline planning permission,POINT(0.320712 50.797153),LA03,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2020-12-21,/brownfield-land/local-authority-eng/EAS/LA03
LA22,Garages between 7 and 9 Biddenden Close,yes,,2018-12-11,,0.08,5,5,"Demolition of existing garages, and construction of 5no 2 bed 4 person houses; including associated parking, access, & landscaping",local-authority-eng:EAS,owned by a public authority,2018-09-07,,permissioned,full planning permission,POINT(0.309477 50.799651),LA22,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA22
LA31,Garages adjacent to 45 Westerham Road,,,2018-12-11,,0.08,6,6,,local-authority-eng:EAS,owned by a public authority,,,not permissioned,,POINT(0.309158 50.798206),LA31,http://www.lewes-eastbourne.gov.uk/planning-policy/brownfield-land-register/,2017-12-20,/brownfield-land/local-authority-eng/EAS/LA31
