site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Ground, First and Second Floor, 328-330 High Road, Wembley, HA9 6AZ",,,2019-12-13,,0.03,6,6,,local-authority-eng:BEN,not owned by a public authority,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,POINT(-0.287414 51.55366),BR00003,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00003
"Heron House, 109-115 Wembley Hill Road, Wembley, HA9 8DA",yes,,2019-12-13,,0.15,40,40,16/4156,local-authority-eng:BEN,not owned by a public authority,2018-05-24,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.287561 51.557265),BR00004,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00004
"Stonebridge Primary School Annexe, Twybridge Way, London, NW10 0ST",yes,,2019-12-13,,0.6,67,67,Most recent permission: 18/4810,local-authority-eng:BEN,owned by a public authority,2019-06-24,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.266283 51.542723),BR00005,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00005
"1 Olympic Way, Wembley, HA9 0NP",yes,,2019-12-13,,0.54,227,227,17/4538,local-authority-eng:BEN,not owned by a public authority,2017-12-19,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,other,POINT(-0.278971 51.561992),BR00006,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00006
"Olympic Office Centre, 8 Fulton Road, Wembley, HA9 0NU",,,2019-12-13,,0.49,253,253,17/5097,local-authority-eng:BEN,not owned by a public authority,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,pending decision,full planning permission,POINT(-0.279098 51.55931),BR00008,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00008
"205, 205A, 205B and Church Road car park and Building rear of 189-203 Church Road, London, NW10 9EP",yes,,2019-12-13,,0.3,34,34,13/1098,local-authority-eng:BEN,not owned by a public authority,2017-02-10,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.249061 51.548262),BR00009,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00009
"Wembley Point, 1 Harrow Road, Wembley, HA9 6DE",yes,,2019-12-13,,0.92,439,439,18/3125,local-authority-eng:BEN,not owned by a public authority,2017-01-11,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,other,POINT(-0.274157 51.544644),BR00010,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00010
"Oman Avenue Garages, Oman Avenue, London",yes,,2019-12-13,,0.42,7,7,17/0500,local-authority-eng:BEN,not owned by a public authority,2017-03-30,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.227657 51.555848),BR00012,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00012
"2 Atlip Road, Wembley, HA0 4LU",yes,,2019-12-13,,2.58,99,99,15/2061,local-authority-eng:BEN,not owned by a public authority,2017-05-26,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.297194 51.540084),BR00013,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00013
"Land R/O 37-41, High Street, London, NW10",,,2019-12-13,,0.1,12,12,,local-authority-eng:BEN,not owned by a public authority,,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,not permissioned,,POINT(-0.247183 51.536409),BR00020,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00020
"348, Dollis Hill Lane, NW2 6HL",yes,,2018-12-14,,0.054,5,5,17/5243,local-authority-eng:BEN,not owned by a public authority,2018-02-23,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.224388 51.564558),BR00021,https://maps.london.gov.uk/brownfield-site-register,2018-12-14,brownfield-land/local-authority-eng/BEN/BR00021
"150-152 Walm Lane, London, NW2 4RU",yes,,2019-12-13,,0.1,9,9,17/1603,local-authority-eng:BEN,mixed ownership,2017-07-06,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.218638 51.551443),BR00025,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00025
"Raglan Court & Garages, Raglan Court, Empire Way, Wembley, HA9",yes,,2019-12-13,,1.4,72,72,16/3408,local-authority-eng:BEN,not owned by a public authority,2018-09-04,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.284618 51.559955),BR00027,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00027
"Storage Land next to 75, St Pauls Avenue, London, NW2 5TG",yes,,2019-12-13,,0.23,70,70,17/5291,local-authority-eng:BEN,not owned by a public authority,2019-12-17,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.227357 51.549727),BR00028,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00028
"2A Preston Waye & 283-287 odd, Preston Road, Harrow, HA3",yes,,2019-12-13,,0.19,21,21,16/54444,local-authority-eng:BEN,mixed ownership,2017-08-14,https://pa.brent.gov.uk/online-applications/simpleSearchResults.do?action=firstPage,permissioned,full planning permission,POINT(-0.295142 51.573166),BR00030,https://maps.london.gov.uk/brownfield-site-register,2017-12-15,brownfield-land/local-authority-eng/BEN/BR00030
