site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Stretford Memorial Hospital, 226 Seymour Grove, Stretford, M16 0DU",yes,,2017-12-18,,0.75,36,36,Site could be a potential housing site for a minimum of 36 units,local-authority-eng:TRF,not owned by a public authority,,,not permissioned,,POINT(-2.274386 53.452801),1503,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.452801/-2.2743858,2017-12-18,brownfield-land/local-authority-eng/TRF/1503
"Former Mosedales Brickworks, 4 Ends Lane, Flixton",yes,,2017-12-18,,0.7,27,27,Site is included in the Draft Allocations plan as a potential housing site for a minimum of 27 units,local-authority-eng:TRF,not owned by a public authority,,,not permissioned,,POINT(-2.39142 53.439729),1530,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.439729/-2.3914204,2017-12-18,brownfield-land/local-authority-eng/TRF/1530
"Higher Road Depot and Adjoining site, Urmston",yes,,2017-12-18,,0.58,22,22,Site is included in the Draft Allocations plan as a potential housing site for a minimum of 22 units,local-authority-eng:TRF,owned by a public authority,,,not permissioned,,POINT(-2.348259 53.448698),1552,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.448698/-2.3482591,2017-12-18,brownfield-land/local-authority-eng/TRF/1552
"Wharf Road, Altrincham",yes,,2017-12-18,,0.22,11,11,Site could be a potential housing site for a minimum of 11 units,local-authority-eng:TRF,owned by a public authority,,,not permissioned,,POINT(-2.351065 53.398237),1568,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.398237/-2.3510651,2017-12-18,brownfield-land/local-authority-eng/TRF/1568
"Regent Road/New Street, Altrincham",yes,,2017-12-18,,0.42,21,21,Site is included in the Adopted Altrincham Business Neighbourhood Plan as a potential housing site for a minimum of 21 units.,local-authority-eng:TRF,owned by a public authority,,,not permissioned,,POINT(-2.352807 53.385217),1582,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.385217/-2.3528071,2017-12-18,brownfield-land/local-authority-eng/TRF/1582
"Oakfield Road/Balmoral Road, Altrincham",yes,,2017-12-18,,0.85,43,43,Site is included in the Adopted Altrincham Business Neighbourhood Plan as a potential housing site for a minimum of 43 units.,local-authority-eng:TRF,not owned by a public authority,,,not permissioned,,POINT(-2.344476 53.386796),1585,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.386796/-2.3444757,2017-12-18,brownfield-land/local-authority-eng/TRF/1585
"Mayors Road/Manors Road, Altrincham",yes,,2017-12-18,,0.35,17,17,Site is included in the Adopted Altrincham Business Neighbourhood Plan as a potential housing site for a minimum of 17 units.,local-authority-eng:TRF,not owned by a public authority,,,not permissioned,,POINT(-2.345324 53.385679),1586,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.385679/-2.3453236,2017-12-18,brownfield-land/local-authority-eng/TRF/1586
"Former Bakemark UK, Skerton Road, Old Trafford",yes,,2017-12-18,,2.51,125,125,Site is included in the Draft Allocations plan as a potential housing site for a minimum of 125 units,local-authority-eng:TRF,not owned by a public authority,,,not permissioned,,POINT(-2.278468 53.459982),1607,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/17/53.459982/-2.2784684,2017-12-18,brownfield-land/local-authority-eng/TRF/1607
"Former Boat Yard, Edge Lane, Stretford",yes,,2017-12-18,,0.21,28,28,"Erection of one four storey building and one part three, part two storey building with undercroft car parking to provide 28 no. dwellings, comprising 5 no. one bedroom apartments and 23 no. two bedroom apartments",local-authority-eng:TRF,not owned by a public authority,2016-08-19,http://publicaccess.trafford.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW4EQLTA303,permissioned,full planning permission,POINT(-2.304217 53.446518),1608,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.446518/-2.3042168,2017-12-18,brownfield-land/local-authority-eng/TRF/1608
"289 Hale Road, Halebarns",yes,,2017-12-18,,0.87,31,31,Site is included in the Draft Allocations plan as a potential housing site for a minimum of 31 units,local-authority-eng:TRF,not owned by a public authority,,,not permissioned,,POINT(-2.316824 53.372356),1623,https://mappinggm.org.uk/gmodin/?lyrs=brownfield_2018_gm#os_maps_light/18/53.372356/-2.316824,2017-12-18,brownfield-land/local-authority-eng/TRF/1623
