name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
S112,"21 Culford Drive, Bartley Green",,,2017-12-19,,0.36,18,18,Identified by Consultants,local-authority-eng:BIR,mixed ownership,,,Not Permissioned,,POINT(-1.997924 52.435432),S112,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S112
S113,"167 Jiggins Lane, Bartley Green",,,2019-12-31,,0.07,4,4,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.993176 52.439265),S113,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S113
S114,"Coopers Arms, adjacent to 10 Bean Croft, Bartley Green",yes,,2017-12-19,,0.16,6,6,2017/07187/PA,local-authority-eng:BIR,owned by a public authority,2017-11-23,,permissioned,full planning permission,POINT(-1.997158 52.444745),S114,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S114
S118,"Land adjacent to 17 Jiggins Lane, Bartley Green",,,2019-12-31,,0.07,3,3,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.996178 52.436288),S118,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S118
S120,"Land to the rear of 713-735 Millpool South Road, Highter's Heath",,,2017-12-19,,0.63,15,15,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.883527 52.412397),S120,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S120
S154,"Land To the rear of 5-29 Doveridge Road, Hall Green South",,,2017-12-19,,0.32,13,13,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.847747 52.42088),S154,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S154
S159,"205-207 Lakey Lane, Hall Green North",,,2017-12-19,,0.12,5,5,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.8279 52.429533),S159,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S159
S160,"Land to the rear of 15-87 Cateswell Road, Hall Green North",yes,,2019-12-31,,2.51,89,89,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.843928 52.438902),S160,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S160
S172,"Land adjacent to 39 Camp Lane, King's Norton North",,,2017-12-19,,0.27,5,5,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.934154 52.413225),S172,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S172
S173,"108 Wharf Road, King's Norton South",yes,,2019-12-31,,0.36,28,28,2016/08455/PA,local-authority-eng:BIR,,2017-03-30,,permissioned,full planning permission,POINT(-1.922926 52.407849),S173,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S173
S182,"Land adjacent to 317 Leach Green Lane, Rubery & Rednal",,,2017-12-19,,0.28,6,6,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-2.002839 52.386108),S182,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S182
S185,"Land adjacent to 1 Sandhurst Road, Moseley",,,2017-12-19,,0.21,10,10,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.891776 52.442353),S185,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S185
S191,"Land adjacent to 24 Sandhurst Road, Moseley",,,2017-12-19,,0.2,8,8,Identified by Consultants,local-authority-eng:BIR,mixed ownership,,,Not Permissioned,,POINT(-1.891186 52.442093),S191,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S191
S192,"Land adjacent to 6 Moor Green Lane, Moseley",yes,,2019-12-31,,0.27,14,14,2015/07557/PA,local-authority-eng:BIR,mixed ownership,2016-07-15,,permissioned,full planning permission,POINT(-1.892976 52.442314),S192,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S192
S195,"Land adjacent to 91 Billesley Lane, Moseley",,,2019-12-31,,0.08,2,2,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.879948 52.438299),S195,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S195
S196,"Land adjacent to 14-21 Ashdown Close, Moseley",,,2017-12-19,,0.12,5,5,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.881689 52.440075),S196,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S196
S197,"124-132 Anderton Park Road, Moseley",,,2017-12-19,,0.22,28,28,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.880652 52.445872),S197,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S197
S199,"42 Westfield Road, Brandwood & King's Heath",,,2019-12-31,,0.11,4,4,Identified by Consultants,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.897689 52.436887),S199,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S199
S202,"Land to the rear of 115-139 The Fordrough, Longbridge & West Heath",,,2019-12-31,,0.13,4,4,Identified by Consultants,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.954858 52.40159),S202,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S202
S204,"Land to the rear of 1-15 Coney Green Drive, Longbridge & West Heath",,,2019-12-31,,0.55,17,17,Identified by Consultants,local-authority-eng:BIR,mixed ownership,,,Not Permissioned,,POINT(-1.973448 52.402712),S204,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S204
S205,"34-36 The Mill Walk, Longbridge & West Heath",,,2019-12-31,,0.11,2,2,Identified by City Council Officers,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.972492 52.40305),S205,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S205
S97,"955 Pershore Road, Bournbrook & Selly Park",yes,,2019-12-31,,0.1,1,1,2016/08163/PA,local-authority-eng:BIR,,2016-12-19,,permissioned,full planning permission,POINT(-1.917005 52.43813),S97,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S97
S102,"21 Merritts Brook Lane, Allens Cross",,,2019-12-31,,0.26,12,12,Expired Planning Permission 2012/06084/PA,local-authority-eng:BIR,,,,pending decision,,POINT(-1.975352 52.419863),S102,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S102
N487,"STW Works, North Edgbaston",,,2019-12-31,,2.98,90,90,Birmingham Development Plan,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.934083 52.476136),N487,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/N487
S41,"Bowood Crescent, Longbridge & West Heath",,,2019-12-31,,0.06,3,3,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.964517 52.406104),S41,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S41
S42,"Braceby Avenue rear 81, Billesley",,,2019-12-31,,0.09,4,4,Identified by City Council Officers,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.865437 52.426268),S42,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S42
S46,"Cadine Gardens, Moseley",,,2019-12-31,,0.2,8,8,Identified by City Council Officers. In BMHT 5 year programme.,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.906617 52.438776),S46,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S46
S52,"Dawberry Road next to 72, Brandwood & King's Heath",,,2019-12-31,,0.07,2,2,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.907041 52.423033),S52,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S52
S54,"Fladbury Crescent 100-118, Weoley & Selly Oak",,,2017-12-19,,0.15,5,5,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.9469 52.439858),S54,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S54
S58,"Glenavon Road 23, Highter's Heath",,,2019-12-31,,0.07,2,2,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.880206 52.408838),S58,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S58
S63,"Modbury Avenue, Bartley Green",yes,,2019-12-31,,0.1,3,3,2017/10959/PA,local-authority-eng:BIR,,2018-05-24,,permissioned,full planning permission,POINT(-1.991312 52.439176),S63,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S63
S64,"Monmouth Road, Bartley Green",,,2019-12-31,,0.06,2,2,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.99148 52.435878),S64,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S64
S65,"Newick Grove (adj 14), Brandwood & King's Heath",,,2019-12-31,,0.09,2,2,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.911056 52.418184),S65,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S65
S66,"Newman Way Rear (114), Rubery & Rednal",,,2019-12-31,,0.07,3,3,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-2.010372 52.387648),S66,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S66
S69,"Sedgehill Avenue (rear 25), Harborne",,,2019-12-31,,0.11,3,3,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.957691 52.450246),S69,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S69
S74,"Woodcock Lane (rear 178), Bartley Green",,,2019-12-31,,0.06,2,2,Identified by City Council Officers,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.981739 52.430259),S74,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S74
S93,"Bus depot, Yardley Wood Road, Highter's Heath",,,2019-12-31,,1.28,64,64,Promoted by Developer/Owner,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.871192 52.41519),S93,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S93
S216,"61, High Street (Over), Harborne",,,2019-12-31,,0.06,3,3,Identified by City Council Officers,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.945068 52.460602),S216,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S216
S273,"Adjacent 85 Rednal Road, Longbridge & West Heath",yes,,2019-12-31,,0.14,14,14,2018/02205/PA,local-authority-eng:BIR,,2018-06-19,,permissioned,reserved matters approval,POINT(-1.959316 52.397842),S273,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S273
S285,"Land bounded by Hight Street and Harborne Park Road and Albert Road and Albert Walk, Harborne",,,2017-12-19,,0.11,17,17,Expired Planning Permission (2011),local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.957291 52.457758),S285,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S285
S316,"128 Portland Road, North Edgbaston",,,2017-12-19,,0.14,6,6,Expired Planning Permission 2008/04068/PA,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.950133 52.476413),S316,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S316
S317,"278 Hagley Road, Harborne",,,2017-12-19,,0.11,11,11,Expired Planning Permission 2007/00951/PA,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.955848 52.472844),S317,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S317
S381,"50 School Road, Moseley",yes,,2019-12-31,,0.2,14,14,2018/03462/PA,local-authority-eng:BIR,,2018-08-02,,permissioned,full planning permission,POINT(-1.886159 52.441507),S381,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S381
S418,"146 to 156 Sarehole Road, Hall Green North",,,2017-12-19,,0.47,16,16,Expired Planning Permission 2009/02454/PA,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.853966 52.439055),S418,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S418
S479,"Rear of 817 to 829 Hagley Road West, Quinton",,,2017-12-19,,0.12,7,7,Expired Planning Permission 2007/01474/PA,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-2.011394 52.46159),S479,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S479
S308,"Land adjacent 1, St Johns Road, Harborne",,,2019-12-31,,0.19,12,12,Expired Planning Permission 2013/06331/PA,local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.945549 52.46071),S308,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S308
S275,"Land adjacent 44 Station Road, Longbridge & West Heath",,,2017-12-19,,0.17,12,12,Expired Planning Permission (2012/02702/PA),local-authority-eng:BIR,,,,Not Permissioned,,POINT(-1.964871 52.408078),S275,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S275
S198,"Land to rear 5 to 7 Park Hill, Moseley",yes,,2019-12-31,,0.25,4,4,2010/02369/PA,local-authority-eng:BIR,,2010-11-04,,permissioned,full planning permission,POINT(-1.889766 52.450126),S198,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S198
S532,"Melfort Grove, Highter's Heath",,,2019-12-31,,0.07,2,2,Identified by City Council,local-authority-eng:BIR,owned by a public authority,,,Not Permissioned,,POINT(-1.883315 52.412948),S532,https://maps.birmingham.gov.uk/webapps/shlaa/,2017-12-19,/brownfield-land/local-authority-eng/BIR/S532
