site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Walsh’s Yard, 190 Poolbrook Road, Malvern",yes,,2019-01-07,,0.35,6,6,"Variation of Condition 15 of Outline Planning Permission 15/01399/OUT, relating to approved housing mix, to allow the provision of two 3 bedroom dwellings, three 4 to 5 bedroom dwellings and one 5/6 bedroomed dwelling. Variation of Condition 15 of Outline Planning Permission 15/01399/OUT, relating to approved housing mix, to allow the provision of two 3 bedroom dwellings, three 4 to 5 bedroom dwellings and one 5/6 bedroomed dwelling. https://plan.malvernhills.gov.uk/plandisp.aspx?recno=76234",local-authority-eng:MAV,not owned by a public authority,2016-09-30,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=76234,permissioned,outline planning permission,POINT(-2.309115 52.094306),MHDCBLR/0001,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0001+Walsh+Yard%2C+Common+Road%2C+Malvern.pdf/08bb8fea-b0b4-f7ef-a843-049da46459b8,2017-12-28
"Portland House, 129 Church Street, Malvern",,,2019-01-07,,0.22,15,15,,local-authority-eng:MAV,owned by a public authority,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=73156,Not Permissioned,,POINT(-2.324935 52.112002),MHDCBLR/0002,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0002+Portland+House%2C+Church+Street%2C+Malvern.pdf/cadca1a1-9c5d-a34f-ac69-fcea24678a09,2017-12-28
"(Former Hospital) Landsdowne Crescent, Malvern",,,2019-01-07,,0.27,15,15,Variation of condition 2 of Planning Permission 18/00432/FUL to allow the provision of an additional 5 bedrooms to provide a 51 bedroom care home through the re-formatting of the internal layout of the proposed building and associated external alterations to include additional external door openings.. Variation of condition 2 of Planning Permission 18/00432/FUL to allow the provision of an additional 5 bedrooms to provide a 51 bedroom care home through the re-formatting of the internal layout of the proposed building and associated external alterations to include additional external door openings.. https://plan.malvernhills.gov.uk/plandisp.aspx?recno=78409,local-authority-eng:MAV,not owned by a public authority,2018-07-05,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=78409,permissioned,,POINT(-2.320339 52.112608),MHDCBLR/0003,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0003+Former+Hospital%2C+Landsdowne+Crescent%2C+Malvern.pdf/3b819c33-fc15-d99c-eb75-53e0ef5713fd,2017-12-28
"Pickersleigh Grove, Malvern - part BF (buildings now demolished) and part GF",yes,,2019-01-07,,3.29,92,92,"Approval of Reserved Matters for appearance, landscaping and scale following approval of outline permission ref 13/00900/OUT for residential development of 92 residential units.. Approval of Reserved Matters for appearance, landscaping and scale following approval of outline permission ref 13/00900/OUT for residential development of 92 residential units.. https://plan.malvernhills.gov.uk/plandisp.aspx?recno=78133",local-authority-eng:MAV,not owned by a public authority,2018-11-20,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=78133,permissioned,reserved matters approval,POINT(-2.317205 52.119476),MHDCBLR/0004,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0004+Pickersleigh+Grove%2C+Malvern.pdf/75fa740c-f63b-bd1b-a3d3-cc9282c0b8e5,2017-12-28
"former Railway Sidings, Peachfield Road;",,,2019-01-07,,0.66,22,18,,local-authority-eng:MAV,not owned by a public authority,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=46526,Not Permissioned,,POINT(-2.324068 52.095111),MHDCBLR/0005,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0005+Former+Railway+Sidings%2C+Peachfield+Road%2C+Malvern.pdf/3822a5cb-03cd-e482-96bb-23ccbd3889ff,2017-12-28
"Victoria Road Car Park, Malvern",,,2019-01-07,,0.28,21,18,,local-authority-eng:MAV,owned by a public authority,,,Not Permissioned,,POINT(-2.325412 52.113331),MHDCBLR/0006,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0006+Victoria+Road+Car+Park%2C+Malvern.pdf/769cfa34-62c2-380b-8884-c974287a2539,2017-12-28
"Barracks Store, Court Road, Malvern",,,2019-01-07,,0.81,31,25,,local-authority-eng:MAV,not owned by a public authority,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=58460,Not Permissioned,,POINT(-2.317711 52.104407),MHDCBLR/0007,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0007+Barracks+Store%2C+Court+Road%2C+Malvern.pdf/f8dcc812-6cf3-dddb-4051-8a333e6cbba0,2017-12-28
"Malvern Technology Centre, Malvern",,,2019-01-08,,15.4,330,270,,local-authority-eng:MAV,not owned by a public authority,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=76538,Not Permissioned,,POINT(-2.313112 52.100184),MHDCBLR/0008,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0008+Malvern+Technology+Centre%2C+Malvern.pdf/f67dcb67-2542-91a1-0407-59d3d3bc5f43,2017-12-28
"Land adj Henwick Mill House, Martley Road - part BF and part GF, Lower Broadheath;",,,2019-01-08,,1.54,46,38,,local-authority-eng:MAV,not owned by a public authority,,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=66107,Not Permissioned,,POINT(-2.249061 52.203737),MHDCBLR/0011,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0011+Land+adj+Henwick+Mill+House%2C+Martley+Road%2C+Lower+Broadheath.pdf/37ed5b38-8dc0-331a-88c0-df8d06abb39b,2017-12-28
"Land adj. former Pheasant Inn - part BF and part GF, Welland",yes,,2019-01-08,,0.67,14,14,Outline Application for the Erection of up to 14No. Dwellings and Retention of Existing Public House. All Matters Reserved Except Access.. Outline Application for the Erection of up to 14No. Dwellings and Retention of Existing Public House. All Matters Reserved Except Access.. https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74076,local-authority-eng:MAV,not owned by a public authority,2017-10-19,https://plan.malvernhills.gov.uk/plandisp.aspx?recno=74076,permissioned,outline planning permission,POINT(-2.296148 52.058287),MHDCBLR/0012,https://www.malvernhills.gov.uk/documents/283188/8904555/MHDCBLR0012+Land+adj+former+Pheasant+Inn%2C+Welland.pdf/90ebf4a6-035d-2260-639f-adf302d1f99f,2017-12-28
