name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
HO0023b,"Kendrick Place and Castle View Road, Moxley",,,2017-12-29,,0.73,25,25,,local-authority-eng:WLL,owned by a public authority,,,not permissioned,,POINT(-2.054603 52.559429),HO0023b,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0023b
HO0027,"Goscote Lodge Crescent (Site B), Goscote",yes,,2020-03-10,,11.11,407,407,,local-authority-eng:WLL,mixed ownership,2017-12-13,,permissioned,,POINT(-1.972005 52.610173),HO0027,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0027
HO0029,"Goscote Lane Copper Works, Goscote",yes,,2020-03-10,,8.76,263,263,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.979133 52.61814),HO0029,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0029
HO0036,"Wilkes Avenue (Bentley Home), Bentley",,10/03/2020,2020-03-10,,0.69,37,37,residential development has been completed on site,local-authority-eng:WLL,,2016-04-08,,permissioned,full planning permission,POINT(-2.0171 52.588874),HO0036,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0036
HO0039a,"Joynson Street (site of former Kings Hill JMI School), Darlaston",,,2017-12-29,,0.49,17,17,,local-authority-eng:WLL,,,,not permissioned,,POINT(-2.02746 52.56522),HO0039a,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0039a
HO0039b,"Adjoining 15 Joynson Street, Darlaston",,,2017-12-29,,0.08,5,5,planning permission expired,local-authority-eng:WLL,,,,not permissioned,,POINT(-2.028501 52.564786),HO0039b,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0039b
HO0041a,"Hatherton Liberal Club, North Street, Walsall",,,2017-12-29,,0.18,6,6,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.980325 52.592296),HO0041a,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0041a
HO0041b,"Mill Street, (former scrap yard), Walsall",,,2017-12-29,,0.34,12,12,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.980994 52.592004),HO0041b,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0041b
HO0043,"Watling Street (land north of Kings Deer Road), Brownhills",,,2017-12-29,,0.21,15,15,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.930725 52.655402),HO0043,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0043
HO0046,"Noose Crescent (former Lakeside School), Willenhall",,,2017-12-29,,1.71,59,59,,local-authority-eng:WLL,owned by a public authority,,,not permissioned,,POINT(-2.070365 52.588621),HO0046,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0046
HO0060a,"Hollyhedge Lane (east side) (30 to 32), Walsall",,,2017-12-29,,0.29,33,33,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.992808 52.587217),HO0060a,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0060a
HO0060b,"Hollyhedge Lane (east side) (28), Walsall",,,2017-12-29,,0.21,24,24,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.992668 52.586873),HO0060b,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0060b
HO0060c,"Hollyhedge Lane (east side) (former Bradford Coal Wharf), Walsall",,,2017-12-29,,0.45,52,52,,local-authority-eng:WLL,owned by a public authority,,,not permissioned,,POINT(-1.992397 52.586456),HO0060c,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0060c
HO0062,"Former Metal Casements, Birch Street, Walsall",,,2017-12-29,,2.71,95,95,,local-authority-eng:WLL,not owned by a public authority,,,not permissioned,,POINT(-1.990545 52.590292),HO0062,http://mymaps.walsall.gov.uk/,2017-12-29,/brownfield-land/local-authority-eng/WLL/HO0062
