site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Former Sewage Works, South of Harbury Lane",,,2017-12-31,,13.1,327,196,Local plan allocation for 215 dwellings. Policy DS13 allocation of land for a country park also applies,local-authority-eng:WAW,not owned by a public authority,,,not permissioned,,POINT(-1.548556 52.261144),H02,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=5000&location=431001.677083333^262658.5625&layersidentifier=cb22aef6dd3841d8874328867f1020a1&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/H02
"Kenilworth School Site, Leyes Lane",,,2017-12-31,,9.41,315,189,Local plan allocation for 250 dwellings,local-authority-eng:WAW,owned by a public authority,,,not permissioned,,POINT(-1.56044 52.345401),H09,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=430067.458333334^272012.03125&layersidentifier=d819a8db892d401c8210a05600e9e43d&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/H09
Land at Montague Road,,,2017-12-31,,3.49,140,140,Local plan allocation for 140 dwellings,local-authority-eng:WAW,owned by a public authority,,,not permissioned,,POINT(-1.576395 52.291769),H11,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=429036.942916667^266045.81875&layersidentifier=464781f95ca048058421ee4e0673e54e&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/H11
"Kenilworth VI Form College, Rouncil Lane",,,2017-12-31,,5.2,187,112,Local plan allocation for 130 dwellings,local-authority-eng:WAW,owned by a public authority,,,not permissioned,,POINT(-1.580252 52.332032),H12,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=5000&location=428853.722916667^270408.022916667&layersidentifier=3cdb1478153847d38e57cebb9f217ff8&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/H12
Riverside House,,,2017-12-31,,1.75,32,32,Local plan allocation for 100 dwellings. Demolition of Riverside House and the redevelopment of the site to provide new buildings ranging from 2.5 to 6 storeys for up to 170 residential dwellings.,local-authority-eng:WAW,owned by a public authority,,https://planningdocuments.warwickdc.gov.uk/online-applications/simpleSearchResults.do?action=firstPage&searchType=Application&searchCriteria.reference=W/17/1701,pending decision,outline planning permission,POINT(-1.543373 52.289246),H14,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=750&location=431268.8%5e265771.54&layersidentifier=6dd444fe69f5435b893f99067cec2a75&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/H14
Court Street,,,2017-12-31,,1.48,75,30,Local plan allocation for 75 dwellings,local-authority-eng:WAW,owned by a public authority,,,not permissioned,,POINT(-1.530581 52.283064),H16,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=432126.135770833^265105.173270833&layersidentifier=87a283ab94d540a49a4c4c3b7b86f4cb&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/H16
Station Approach,,,2017-12-31,,4.7,212,212,"SHLAA allocation. '''Demolition of the existing bus depot, car sales lot and disused building between the lower and upper portions of Station Approach and changes to existing Warwick District Council car park reducing spaces from 300 down to 100. Construction of 212 homes consisting of 118 flats and 94 houses with ancillary parking, open space and associated highway alterations to Station Approach.''''",local-authority-eng:WAW,not owned by a public authority,2016-02-04,https://planningdocuments.warwickdc.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=_WARWI_DCAPR_73167,permissioned,full planning permission,POINT(-1.538563 52.285136),L35,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=431500.4205^265335.947&layersidentifier=1d83ccfb80114bf8a6b9968e98d83bba&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/L35
"Land at Hazelmere, Golf Lane",,,2017-12-31,,0.57,22,10,SHLAA allocation,local-authority-eng:WAW,not owned by a public authority,,,not permissioned,,POINT(-1.517958 52.260241),L55,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=750&location=432998^262562&layersidentifier=1c85868b3aac4a1892b3abf3d0130d53&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/L55
"Land at Little Acre, Golf Lane",,,2017-12-31,,2.78,93,56,SHLAA allocation,local-authority-eng:WAW,not owned by a public authority,,,not permissioned,,POINT(-1.516688 52.259849),L56,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=1000&location=433131.217708333^262487.850520834&layersidentifier=2900f8f471fe4c938e652fe02f61f9fe&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/L56
Lillington Free Church,yes,,2017-12-31,,0.41,25,25,"SHLAA allocation. Erection of a church/cummunity hall and 25no affordable dwellings with associated landscaping, parking, access and infrastructure.",local-authority-eng:WAW,not owned by a public authority,2017-09-15,https://planningdocuments.warwickdc.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_WARWI_DCAPR_78384,permissioned,full planning permission,POINT(-1.520806 52.304611),L58,http://ceres2.warwickdc.gov.uk/CNET49LIVE/CMFindIt/Default.aspx?getmap=true&scale=500&location=432773.45^267497.008&layersidentifier=1add1a511bfb493ab61014d271395b33&backgroundmap=MapDefaultLayerNames,2017-12-31,brownfield-land/local-authority-eng/WAW/L58
