name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
SHLAA/BIN/032,Chesterfield Arms Church Street Bingham,yes,,2020-03-31,,0.32,10,10,Planning permission 18/00298/FUL,local-authority-eng:RUS,not owned by a public authority,2018-08-17,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0010SDNLLI000,permissioned,full planning permission,POINT(0.9505 52.9521),SHLAA/BIN/032,https://arcg.is/0PCSGT0,2020-03-31,/brownfield-land/local-authority-eng/RUS/SHLAA-BIN-032
SHLAA/BUN/001,"Bunny Brickworks, Bunny",yes,,2020-03-31,,2.4,100,80,Part of mixed use allocation,local-authority-eng:RUS,not owned by a public authority,,,not permissioned,,POINT(-1.1383 52.8534),SHLAA/BUN/001,https://arcg.is/0PCSGT0,2020-03-31,/brownfield-land/local-authority-eng/RUS/SHLAA-BUN-001
SHLAA/FLI/001,"Flintham Islamic Institute, Flintham",,,2020-03-31,,3.45,95,95,Permission 15/03060/OUT expired,local-authority-eng:RUS,not owned by a public authority,,,not permissioned,,POINT(-0.9025 53.014),SHLAA/FLI/001,https://arcg.is/0PCSGT0,2017-12-11,/brownfield-land/local-authority-eng/RUS/SHLAA-FLI-001
SHLAA/NEW/002,"Former RAF Newton, Newton",yes,,2020-03-31,,35.4,550,500,"Outline planning permission 10/02105/OUT granted in 2013. Number of dwellings in permisison: up to 550. Variation of conditions that required footbidge, 50 live work units and affordable housing provision approved Sept 2018.",local-authority-eng:RUS,not owned by a public authority,2014-01-30,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=NMYENNNL08H00,permissioned,outline planning permission,POINT(-0.9813 52.966),SHLAA/NEW/002,https://arcg.is/0PCSGT0,2017-12-11,/brownfield-land/local-authority-eng/RUS/SHLAA-NEW-002
SHLAA/RAD/040,"Pedigree Wholesale, The Crescent, Radcliffe on Trent",,,2020-03-31,,0.5,10,10,Suggested number of dwellings from SHLAA: 15,local-authority-eng:RUS,not owned by a public authority,,,not permissioned,,POINT(-1.0301 52.9488),SHLAA/RAD/040,https://arcg.is/0PCSGT0,2017-12-11,/brownfield-land/local-authority-eng/RUS/SHLAA-RAD-040
SHLAA/RUD/040,"15 Parkyns Street, Ruddington",,,2020-03-31,,0.05,5,5,Lapsed planning permission,local-authority-eng:RUS,not owned by a public authority,,,not permissioned,,POINT(-1.15 52.8913),SHLAA/RUD/040,https://arcg.is/0PCSGT0,2017-12-11,/brownfield-land/local-authority-eng/RUS/SHLAA-RUD-040
SHLAA/STA/014,"Hillcrest Workshops, Stanton in the Wolds",yes,,2020-03-31,,0.49,6,6,Planning permission 18/02288/FUL,local-authority-eng:RUS,not owned by a public authority,2018-12-11,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IOIDQ7NLD7000,permissioned,,POINT(-1.0516 52.8739),SHLAA/STA/014,https://arcg.is/0PCSGT0,2020-03-31,/brownfield-land/local-authority-eng/RUS/SHLAA-STA-014
SHLAA/WBR/001,"West Bridgford Depot, West Bridgford",yes,,2020-03-31,,1.7,76,50,Suggested number of dwellings from SHLAA: 50,local-authority-eng:RUS,owned by a public authority,2019-06-18,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000CCHNLLI000,permissioned,,POINT(-1.1195 52.9283),SHLAA/WBR/001,https://arcg.is/0PCSGT0,2017-12-11,/brownfield-land/local-authority-eng/RUS/SHLAA-WBR-001
SHLAA/WBR/016,"Former Filling Station, Radcliffe Road, West Bridgford",,,2020-03-31,,0.1,6,6,Planning permission 13/01936/FUL expired 2018,local-authority-eng:RUS,not owned by a public authority,,,not permissioned,,POINT(-1.1329 52.938),SHLAA/WBR/016,https://arcg.is/0PCSGT0,2017-12-11,/brownfield-land/local-authority-eng/RUS/SHLAA-WBR-016
SHLAA/WBR/111,"John Germans Drovers, 37 Gordon Road, West Bridgford",yes,,2020-03-31,,0.02,9,9,Planning permission 16/02908/FUL,local-authority-eng:RUS,not owned by a public authority,2017-03-08,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000HEANLLI000,permissioned,full planning permission,POINT(-1.1251 52.9295),SHLAA/WBR/111,https://arcg.is/0PCSGT0,2017-12-12,/brownfield-land/local-authority-eng/RUS/SHLAA-WBR-111
SHLAA/WBR/124,"134A Trent Boulevard, West Bridgford",yes,,2020-03-31,,0.09,9,9,Planning permission 18/00856/FUL,local-authority-eng:RUS,not owned by a public authority,2018-08-20,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000NS6NLLI000,permissioned,full planning permission,POINT(-1.1174 52.938),SHLAA/WBR/124,https://arcg.is/0PCSGT0,2018-08-28,/brownfield-land/local-authority-eng/RUS/SHLAA-WBR-124
SHLAA/WBR/144,"Trentside Club, West Bridgford",yes,,2020-03-31,,0.37,34,34,Planning permission 18/00946/FUL,local-authority-eng:RUS,not owned by a public authority,2019-01-10,https://planningon-line.rushcliffe.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=IOM0YBNLD7000,permissioned,full planning permission,POINT(-1.143 52.931),SHLAA/WBR/144,https://arcg.is/0PCSGT0,2020-03-31,/brownfield-land/local-authority-eng/RUS/SHLAA-WBR-144
