name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
13/00747/FUL,Three Barrels Winklebury Centre Basingstoke,yes,,2017-12-31,,0.06,5,5,Small site granted permission (13/00747/FUL) in Feburary 2014. Currently under construction and considered deliverable within five years.. Construction of 2 no. 2-bed flats & 4 no. 1-bed flats following demolition of existing 1st floor flat,local-authority-eng:BAN,not owned by a public authority,2014-02-11,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MO0ZDBCRAT000,permissioned,full planning permission,POINT(-1.124352 51.268051),13/00747/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MO0ZDBCRAT000,2017-12-31,/brownfield-land/local-authority-eng/BAN/13-00747-FUL
13/02321/FUL,Main Hall Park Prewett Northbrook Crescent Basingstoke,yes,,2018-12-31,,0.25,19,19,"Planning permission was granted for a net gain of 19 units in March 2015 (13/02321/FUL) . The site is under construction and the developer has confirmed, through the site monitoring consultation, that the remaining units will be delivered in 2018/19. A planning application was been submitted to provide an additional 9 units in the hall (17/00565/FUL), but this has been withdrawn. The site is deliverable within five years.. Conversion of main hall to 19 residential units and 300m2 of community space",local-authority-eng:BAN,not owned by a public authority,2015-03-20,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=MVYE55CRAT000,permissioned,full planning permission,POINT(-1.119274 51.280815),13/02321/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=MVYE55CRAT000,2017-12-31,/brownfield-land/local-authority-eng/BAN/13-02321-FUL
14/02200/OUT,Burnham Copse Infant School New Church Road Tadley,yes,,2018-12-31,,1.41,36,36,Outline planning permission for 36 residential units was granted in March 2016 (14/02200/OUT). Aster Communities who are developing the site expect it be complete in 2019/20. Reserved matters application currently being considered and at an advanced stage (18/00524/RES). The site is deliverable within five years.. Redevelopment of former Burnham Copse Infant School site for up to 36 residential units (use classC3),local-authority-eng:BAN,not owned by a public authority,2016-03-04,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=N9F2VTCRHA500,permissioned,outline planning permission,POINT(-1.150834 51.355794),14/02200/OUT,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N9F2VTCRHA500,2017-12-31,/brownfield-land/local-authority-eng/BAN/14-02200-OUT
14/03214/FUL,Cranbourne House The Harrow Way,yes,,2018-12-31,,0.07,7,7,Small site granted permission (14/03214/FUL) in July 2015. The site is considered deliverable within five years.. Residential development of 7 units,local-authority-eng:BAN,not owned by a public authority,2015-07-28,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NDWLC6CRL0M00,permissioned,full planning permission,POINT(-1.100125 51.249226),14/03214/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NDWLC6CRL0M00,2018-12-31,/brownfield-land/local-authority-eng/BAN/14-03214-FUL
14/03880/FUL,The Railway Inn Station Road,yes,,2018-12-31,,0.14,5,5,Small site granted permission for 5 dwellings in July 2015 (14/03880/FUL). No starts recorded on site at 1 April 2018 but site considered deliverable within five years.. Erection of 5 dwellings,local-authority-eng:BAN,not owned by a public authority,2015-07-07,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NGU8J8CRFND00,permissioned,full planning permission,POINT(-1.337799 51.237057),14/03880/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NGU8J8CRFND00,2018-12-31,/brownfield-land/local-authority-eng/BAN/14-03880-FUL
15/00975/FUL,Leamington Court Andover Road Newfound,yes,,2018-12-31,,0.5,13,13,Planning permission was granted in May 2016 for the conversion of offices to 7 units and erection of 6 further units on site (15/00975/FUL). Site is under construction. The site is deliverable within five years.. Partial demolition of office building (B1a) & conversion of remainder to form 7 no. dwellings & erection of 6 no. dwelling,local-authority-eng:BAN,not owned by a public authority,2016-05-13,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NLGY47CRJBL00,permissioned,full planning permission,POINT(-1.172445 51.257887),15/00975/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NLGY47CRJBL00,2017-12-31,/brownfield-land/local-authority-eng/BAN/15-00975-FUL
15/03170/FUL,Wella (Gb) Wella Road Basingstoke,yes,,2018-12-31,,0.67,70,70,A prior notification was approved for the conversion of the building to residential use (14/02433/GPDOFF) encompassing 12 units. A new application for 70 units on the site (15/03170/FUL) was granted permission in December 2016. The site has been cleared to enable development to take place and start on site was recorded in recorded 2017. Completions expected from 2018/19. The site is deliverable within five years.. Demolition of existing buildings (Class B1a) and redevelopment of site to provide a 3 storey residential block providing 70 flats,local-authority-eng:BAN,not owned by a public authority,2016-12-23,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NUB80JCRFS600,permissioned,full planning permission,POINT(-1.10259 51.252623),15/03170/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NUB80JCRFS600,2017-12-31,/brownfield-land/local-authority-eng/BAN/15-03170-FUL
15/04189/FUL,Lock Up Garage Site May Street/lower Brook Street Brookvale Basingstoke,yes,,2018-12-31,,0.21,12,12,Full planning permission (15/04189/FUL) was granted in March 2017 for 12 affordable units. The site has been sold by the council and the new owners Sovereign and construction has started on sites with completions expected in 2018/19. The site is deliverable within five years.. Erection of 12 no. dwellings to provide affordable housing (4 no. 1-bed flats & 8 no. 2-bed houses) with associated parking and landscaping following demolition of existing lock-up garages,local-authority-eng:BAN,mixed ownership,2017-03-06,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NYBIG0CRJWL00,permissioned,full planning permission,POINT(-1.098058 51.266048),15/04189/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYBIG0CRJWL00,2017-12-31,/brownfield-land/local-authority-eng/BAN/15-04189-FUL
15/04469/RES,Queen Marys College Land Adjacent To Cliddesden Road Basingstoke,yes,,2018-12-31,,0.23,6,6,Outline planning permission grated under reference BDB/74060 in July 2016. Reserved matters approval graned July 2017 (15/04469/RES). As at the 1 April 2018 construction was yet to start. Site considered deliverable within five years.. Erection of 6 no. dwellings,local-authority-eng:BAN,,2016-07-15,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NZI3KXCRKV200,permissioned,reserved matters approval,POINT(-1.086105 51.255992),15/04469/RES,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZI3KXCRKV200,2017-12-31,/brownfield-land/local-authority-eng/BAN/15-04469-RES
15/04506/FUL,Royal British Legion The Street Bramley,yes,,2018-12-31,,1.41,9,9,Small site granted permission (15/04506/FUL) in November 2016. No start on site has been recorded at 1 April 2018 but the site considered deliverable within five years.. Erection of 9 no. dwellinghouses (4 no. 2-bed dwellings & 5 no. 4-bed dwellings) following demolition of members' club,local-authority-eng:BAN,not owned by a public authority,2016-11-11,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NZPT71CRL0V00,permissioned,full planning permission,POINT(-1.150834 51.355794),15/04506/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZPT71CRL0V00,2017-12-31,/brownfield-land/local-authority-eng/BAN/15-04506-FUL
15/04534/FUL,Brickells Yard Oakley Lane Oakley,yes,,2018-12-31,,0.27,10,10,"An application (15/04534/FUL) for 10 units was granted in September 2016. The site is under cosntruction and completions are expected in 2019/20. It is considered that the site is deliverable within five years.. Demolition of existing industrial units & erection of 4 no. 2-bed, 4 no. 3-bed & 2 no. 4-bed dwellings",local-authority-eng:BAN,not owned by a public authority,2016-09-09,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=NZT4PMCR0AQ00,permissioned,full planning permission,POINT(-1.172679 51.252745),15/04534/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NZT4PMCR0AQ00,2017-12-31,/brownfield-land/local-authority-eng/BAN/15-04534-FUL
16/00031/GPDOFF,Innovation Court New Street Basingstoke,yes,,2018-12-31,,0.41,46,46,A prior notification was approved for the conversion of the building to residential use (16/00031/GPDOFF) in March 2016 for 35 flats. After the 1 April 2018 a further prior notification was approved to take the numbe of units up to 46 (18/01504/GPDOFF). The site is under construction and completions are expected from 2019/20. The site is deliverable within five years.. Change of use of class B1a office to class C3 consisting of 46 no. flats,local-authority-eng:BAN,not owned by a public authority,2016-03-01,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O0KSNVCR0F100,permissioned,full planning permission,POINT(-1.089837 51.263014),16/00031/GPDOFF,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O0KSNVCR0F100,2017-12-31,/brownfield-land/local-authority-eng/BAN/16-00031-GPDOFF
16/00971/FUL,Vantage (Fairfield House) Victoria Street Basingstoke,yes,,2018-12-31,,0.14,37,37,A prior notification was approved for the conversion of the building to residential use (14/03542/GPDOFF) for 29 units in January 2015 with a further 1 unit added through an application in January 2016 (15/03960/FUL). An application for 7 additional units on an additional floor was granted in December 2016 (16/00971/FUL). The development is under construction and completions are expected from 2018/19. The site is deliverable within five years.. Change of use of B1a to C3 residential consisting of 37 flats,local-authority-eng:BAN,not owned by a public authority,2016-12-16,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O470CHCRG9B00,permissioned,full planning permission,POINT(-1.089371 51.261669),16/00971/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O470CHCRG9B00,2017-12-31,/brownfield-land/local-authority-eng/BAN/16-00971-FUL
16/01362/GPDOFF,Brackenwood House 1st & 2nd Floor Kimbell Road Basingstoke,yes,,2018-12-31,,0.02,6,6,Small site granted consent via prior approval (16/01362/GPDOFF) in September 2016. No start on site has been recorded at 1 April 2018 but the site considered deliverable within five years.. Change of use of class B1a to C3 comprising of 6 no. flats (2 no. 2-bed & 4 no. 1-bed),local-authority-eng:BAN,not owned by a public authority,2016-09-27,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O5U024CR0FP00,permissioned,full planning permission,POINT(-1.104813 51.253292),16/01362/GPDOFF,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O5U024CR0FP00,2017-12-31,/brownfield-land/local-authority-eng/BAN/16-01362-GPDOFF
16/01585/FUL,21 & 23 Church Street Basingstoke,yes,,2018-12-31,,0.05,5,5,Small site granted permission (16/01585/FUL) in November 2016. Currently under construction and considered deliverable within five years.. Erection of 2no. 1floor extns & 2no. External staircases to create 3no. 1 bed and 2no. 2 bed flats and restaurant with outdoor seating,local-authority-eng:BAN,not owned by a public authority,2016-11-09,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O6LSBICRI7100,permissioned,full planning permission,POINT(-1.0878 51.263274),16/01585/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O6LSBICRI7100,2017-12-31,/brownfield-land/local-authority-eng/BAN/16-01585-FUL
16/02465/FUL,Raja Newbury Road Headley,yes,,2018-12-31,,0.11,6,6,Small site granted permission (16/02465/FUL) in November 2016. Construction has started on site and site considered deliverable within five years.. Change of use from restaurant to 4 no. apartments following demolition of extension & erection of 2 no. dwellings,local-authority-eng:BAN,not owned by a public authority,2016-11-28,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=O9URSKCRLFM00,permissioned,full planning permission,POINT(-1.257537 51.357905),16/02465/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=O9URSKCRLFM00,2017-12-31,/brownfield-land/local-authority-eng/BAN/16-02465-FUL
16/02664/FUL,Hurstbourne Station Stoke Lane,yes,,2018-12-31,,2.28,44,44,This site has detailed planning permission (16/02664/FUL) granted in November 2017. The applicant is working to discharge relevant conditions (including in relation to contaminated land) and expects completions on site from 2021. The site is deliverable within five years.. Mixed residential & commercial development comprising the erection of 44 no. dwellings & 6 no. commercial units,local-authority-eng:BAN,not owned by a public authority,2017-11-09,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OAO18FCRMAW00,permissioned,full planning permission,POINT(-1.380332 51.239924),16/02664/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OAO18FCRMAW00,2018-12-31,/brownfield-land/local-authority-eng/BAN/16-02664-FUL
16/02676/FUL,20 Winchester Street Basingstoke,yes,,2018-12-31,,0.09,15,15,Planning permission was granted in October 2013 for the conversion of the upper floors of the building to form 14 residential units (BDB/75489). A further application has since been granted for one additional flat (16/02676/FUL in September 2016). The site is under construction and is due to be completed in 2018/19. The site is deliverable within five years.. Change of use of 1st and 2nd floors to create 14 no. 2-bed flats and 1no. 2-bed flat at 2nd floor,local-authority-eng:BAN,not owned by a public authority,2016-10-20,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=relatedCases&keyVal=OAPTJXCRMDS00,permissioned,full planning permission,POINT(-1.088352 51.262632),16/02676/FUL,https://planning.basingstoke.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OAPTJXCRMDS00,2017-12-31,/brownfield-land/local-authority-eng/BAN/16-02676-FUL
