site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Peacock Hotel, Corringham Road",yes,,2017-12-17,,0.8,23,23,"Planning application for demolition of existing building and erection of 23 dwellings, creation of new access and road with associated parking and landscaping.",local-authority-eng:WLI,,2016-11-18,,permissioned,full planning permission,POINT(-0.763165 53.405451),133439,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Tesco Car Park, Gainsborough",yes,,2017-12-17,,0.36,25,25,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.77074 53.396244),CL1217,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Site between Wembley/Hickman St, Gainsborough",,,2017-12-17,,0.81,34,34,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.775093 53.397079),CL1244,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"West of Primrose Street, Gainsborough",,,2017-12-17,,2.22,83,83,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.775222 53.394654),CL1246,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land enclosed by Thornton St, Bridge St, King St and Bridge Rd, Gainsborough",,,2017-12-17,,0.58,25,25,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.774943 53.392871),CL1247,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Middlefield School of Technology, Middlefield Lane, Gainsborough",yes,,2017-12-17,,3.98,112,112,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.763748 53.392046),CL1248,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Sinclairs, Ropery Road, Gainsborough",yes,,2017-12-17,,3.03,114,114,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.781925 53.401158),CL1253,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land north of Northholme, Gainsborough",yes,,2017-12-17,,0.79,51,51,"Allocated in the Central Lincolnshire Local Plan. Planning application for proposed residential development, comprising 51 dwellings - includes mini-roundabout on Northolme.",local-authority-eng:WLI,,2014-06-27,,permissioned,full planning permission,POINT(-0.773336 53.404334),125240,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land between North Street and Church Street, Gainsborough",yes,,2017-12-17,,0.19,48,48,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.775974 53.403606),CL1610,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Gleadells Wharf, Bridge Street",yes,,2017-12-17,,0.16,14,14,Planning application for the demolition of existing dilapidated warehouse on the site and erect 14no. residential dwellings.,local-authority-eng:WLI,,2016-02-04,,permissioned,full planning permission,POINT(-0.776295 53.395519),133393,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Gateway Riverside Housing Zone, Gainsborough",yes,,2017-12-17,,6.12,245,245,Allocated in the Central Lincolnshire Local Plan. Local Development Order (LDO) which grants outline planning permission for up to 245 dwellings.,local-authority-eng:WLI,,2016-07-19,,permissioned,outline planning permission,POINT(-0.776051 53.38988),134014,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Town Centre Riverside Housing Zone a,Gainsborough",,,2017-12-17,,1.73,73,73,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.776029 53.398006),CL4687,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Town Centre Riverside Housing Zone b,Gainsborough",,,2017-12-17,,1.1,55,55,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.778132 53.399133),CL4688,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Amp Rose Housing Zone, Gainsborough",yes,,2017-12-17,,2.28,78,78,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.764801 53.399329),CL4690,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
Land between 27 and 31 Union Street,yes,,2017-12-17,,0.08,6,6,Planning application for demolition of chapel and construction of six houses.,local-authority-eng:WLI,,2016-04-22,,permissioned,full planning permission,POINT(-0.335747 53.386525),131545,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Tradelights, 19 Oxford Street",yes,,2017-12-17,,0.1,7,7,Planning application to erect 7no. starter homes and associated parking.,local-authority-eng:WLI,,2015-02-13,,permissioned,full planning permission,POINT(-0.334162 53.386288),132068,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"19 Oxford Street, Market Rasen",yes,,2017-12-17,,0.13,7,7,"Planning application for the demolition of existing showroom, offices nd warehouse and erection of 7no. dwellings with associated access road and parking.",local-authority-eng:WLI,,2015-11-25,,permissioned,full planning permission,POINT(-0.334086 53.386295),133184,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Spa shop, Lincoln Road, Dunholme",yes,,2017-12-17,,0.13,5,5,Planning application for demolition of existing Spar Shop and erection of 5no. Dwellings.,local-authority-eng:WLI,,2016-03-10,,permissioned,full planning permission,POINT(-0.466376 53.300536),133203,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Neighbourhood Plan Allocation D, All Saints Lane, Nettleham",yes,,2017-12-17,,0.38,30,30,Allocated in the Central Lincolnshire Local Plan,local-authority-eng:WLI,,,,not permissioned,,POINT(-0.491315 53.266514),CL4663,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Queensway, Sturton by Stow",yes,,2017-12-17,,0.27,8,8,Planning application for the demolition of 20no. garages and the construction of 8no. affordable dwellings.,local-authority-eng:WLI,,2015-03-04,,permissioned,full planning permission,POINT(-0.665612 53.309671),130886,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Red Lion, 1 Marton Road, Sturton by Stow",yes,,2017-12-17,,0.19,6,6,Hybrid planning application for the change of use of the former Red Lion public house from a drinking establishment (A4) to a single dwellinghouse (C3); Partial demolition of single storey extensions and further external alterations; Outline application for residential development of up to five dwellings (All Matters Reserved).,local-authority-eng:WLI,,2015-11-02,,permissioned,full planning permission,POINT(-0.665372 53.312563),133052,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"The Old Scrapyard, Stow Road, Ingham",yes,,2017-12-17,,1.67,35,35,"Planning application for 31no. dwellinghouses and 4no. live-work units-mixed use of C3 dwellinghouses and B1 light industrial- associated roads, drainage and landscaping and footway on Stow Road.",local-authority-eng:WLI,,2016-02-10,,permissioned,full planning permission,POINT(-0.580673 53.333755),130739,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Eastern part Brookenby Park, Brookenby, Binbrook Market Rasen",yes,,2017-12-17,,2.09,9,9,Outline planning application for the erection of 9no. dwellings-access and layout to be considered and not reserved for subsequent applications.,local-authority-eng:WLI,,2016-03-09,,permissioned,outline planning permission,POINT(-0.187795 53.442536),133282,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Land off Westfield Approach & Wragby Road East, North Greetwell",,,2017-12-17,,0.4,12,12,Outline planning application for residential development-access to be considered and not reserved for subsequent applications.,local-authority-eng:WLI,,2015-05-13,,permissioned,outline planning permission,POINT(-0.483005 53.250479),132689,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"Caenby Road, Caenby, Glentham, Lincolnshire",yes,,2017-12-17,,0.37,6,6,Application for approval of reserved matters to erect 6no. Dwelling following outline planning permission 132154 granted 13 February 2015.,local-authority-eng:WLI,,2016-09-09,,permissioned,reserved matters approval,POINT(-0.49601 53.399277),134644,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
"George Hotel, 15 Main Road, Langworth",yes,,2017-12-17,,2.02,36,36,"Reserved matters application for the development of 36no. dwellings, including flooding compensatory storage strategy and the provision of a community store- following outline planning permission 130773 granted 24 April 2015.",local-authority-eng:WLI,,2016-05-23,,permissioned,reserved matters approval,POINT(-0.405264 53.27612),133773,https://www.west-lindsey.gov.uk/_resources/assets/attachment/full/0/55645.pdf,2017-12-17
