site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
Depot at Feltham Hill Road and Poplar Road,yes,,2017-12-22,,1.47,30,30,Allocation within the current Development Plan,local-authority-eng:SPE,not owned by a public authority,,,Not permissioned,,POINT(-0.444415 51.428108),BL01,,2017-09-01
28-44 Feltham Road,yes,,2017-12-22,,0.47,23,23,Allocation within the current Development Plan,local-authority-eng:SPE,not owned by a public authority,,,Not permissioned,,POINT(-0.453851 51.432444),BL02,,2017-09-01
158-166 Feltham Road,yes,,2017-12-22,,1.3,60,60,Allocation within the current development plan,local-authority-eng:SPE,not owned by a public authority,,,Not permissioned,,POINT(-0.443777 51.432421),BL03,,2017-09-01
Works adjoining Harrow Road,yes,,2017-12-22,,0.58,36,36,Allocation within the current Development Plan,local-authority-eng:SPE,not owned by a public authority,,,Not permissioned,,POINT(-0.458937 51.44597),BL04,,2017-09-01
Steel works and Builders Merchants,yes,,2017-12-22,,1.37,100,100,Allocation within the current Development Plan,local-authority-eng:SPE,not owned by a public authority,,,Not permissioned,,POINT(-0.50432 51.432314),BL05,,2017-09-01
"381-385 Staines Road West, Ashford",yes,,2017-12-22,,0.26,12,12,"Erection of block comprising 8 no. one and two bed flats to the front of the site and 4 no. dwellings (comprising 1 no. 2 bed chalet bungalow, 2 no. three bed semi detached houses and 1 no. four bed detached house) to the rear of the site",local-authority-eng:SPE,not owned by a public authority,2017-02-13,,permissioned,full planning permission,POINT(-0.443849 51.422604),BL06,,2017-11-09
"Builders Merchants, Moor Lane, Staines",yes,,2017-12-22,,0.57,36,36,Flood zone 2. Redevelopment of the site to provide 36 residential units,local-authority-eng:SPE,not owned by a public authority,2015-09-03,,permissioned,full planning permission,POINT(-0.515553 51.437618),BL07,,2017-11-09
"42 High Street, Shepperton",yes,,2018-11-13,,0.67,6,6,"Change of use from offices/bank to a mixed use of commercial units at ground floor level and to 3 no. residential flats above on first floor with balconies, erection of new second floor with 3 no. flats with balconies, erection of part single storey, part two storey rear extension and new windows and doors including new access to fron",local-authority-eng:SPE,not owned by a public authority,2018-02-09,,permissioned,full planning permission,POINT(-0.448338 51.394406),BL08,,2018-11-13
"Bridge Street Car Park, Staines",yes,,2017-12-22,,0.71,205,205,To provide buildings ranging from 4 and 12 storeys in height comprising 205 residential units,local-authority-eng:SPE,owned by a public authority,2016-03-15,,permissioned,full planning permission,POINT(-0.516626 51.434253),BL09,,2017-11-09
"Renshaw Trading estate, Mill Mead, Staines",yes,,2017-12-22,,0.86,275,275,Flood zone 2. Erection of up to 275 units in two buildings,local-authority-eng:SPE,not owned by a public authority,,,pending decision,outline planning permission,POINT(-0.509319 51.436083),BL10,,2017-11-09
"Shapla Restauarant, Russell Road, Shepperton",yes,,2017-12-22,,0.04,5,5,Conversion to provide an additional 5 residential flats,local-authority-eng:SPE,not owned by a public authority,2016-10-07,,permissioned,full planning permission,POINT(-0.44724 51.390021),BL11,,2017-12-02
"Monkey Puzzle House, 69-71 Windmill Road, Sunbury",yes,,2017-12-22,,0.17,14,14,Extension to te existing building to provide 14 no. apartments,local-authority-eng:SPE,not owned by a public authority,2017-09-26,,permissioned,full planning permission,POINT(-0.429963 51.418195),BL12,,2017-12-02
"Headline House, Stanwell Road, Ashford",yes,,2017-12-22,,0.95,10,10,Application approved on appeal. Erection of a two storey building with second floor accommodation to provide 5 no. one bedroom flats and 5 no. two bedroom flats with associated parking and amenity space following demolition of the existing commercial building on site,local-authority-eng:SPE,not owned by a public authority,2017-09-22,,permissioned,full planning permission,POINT(-0.471731 51.434454),BL13,,2017-12-02
Land to r/o 7-9 Woodthorpe Road & 5 Station Road Ashford,yes,,2018-11-13,,0.1,5,5,"Erection of two storey rear extension to 7-9 Woodthorpe Road and two storey building with accommodation in the roofspace at 5 Station Road following demolition of existing building and part of arcade area to provide 5 no. 2 bed flats with associated amenity space, servicing and cycle storage.",local-authority-eng:SPE,not owned by a public authority,2018-02-23,,permissioned,full planning permission,POINT(-0.468882 51.435732),BL14,,2018-11-13
"Inglewood Hall, Green Street, Sunbury",yes,,2018-12-21,,0.1,6,6,"Conversion of House of multiple occupation (HMO) to 6 residential flats (1 x 1 bed , 3 x 2 bed and 2 x 3 bed) involving extension and alteration to front and rear with associated parking, refuse storage and amenity space",local-authority-eng:SPE,not owned by a public authority,2017-11-10,,permissioned,full planning permission,POINT(-0.41684 51.41084),BL15,,2018-12-10
"Majestic House, to the north of High Street, Staines",yes,,2018-12-21,,1.05,260,260,Provison of 260 flats as part of redevelopment of the site,local-authority-eng:SPE,not owned by a public authority,2016-06-07,,permissioned,reserved matters approval,POINT(-0.503891 51.436153),BL16,,2017-12-02
"Staines Town Hall, Market Square, Staines",yes,,2018-12-21,,0.14,13,13,"Change of use from a pub/restaurant use (within Class A3/A4) to 13 residential units, comprising 2 no. studio flats, 6 no. 1-bed flats and 5 no. 2-bed flats, and associated alterations",local-authority-eng:SPE,not owned by a public authority,2018-02-09,,permissioned,full planning permission,POINT(-0.514167 51.432914),Bl17,,2018-12-10
"Benwell House, Green Street, Sunbury",yes,,2018-12-21,,0.18,33,33,Prior approval for change of use from office (B1a) to Residential (C3) comprising 33 units.,local-authority-eng:SPE,owned by a public authority,2018-01-15,,permissioned,other,POINT(-0.442715 51.39135),BL18,,2018-12-10
"Dolphin House, 140 Windmill Road, Sunbury",yes,,2017-12-21,,0.35,7,7,Erection of a 7th floor on top of main building to create 7 no. flats and other external alterations including an increase in height of existing parapet by 850 mm and new roof to towe,local-authority-eng:SPE,not owned by a public authority,2017-07-03,,permissioned,full planning permission,POINT(-0.43099 51.41618),BL19,,2018-12-10
"251-253 Staines Road West, Sunbury",yes,,2017-12-22,,0.05,5,5,Alterations to facilitate the conversion of the ground floor retail units (A1) and first floor flats to provide 5 no. residential flats with associated parking and amenity space.,local-authority-eng:SPE,not owned by a public authority,2016-11-01,,permissioned,full planning permission,POINT(-0.425377 51.420095),BL20,,2017-12-02
"Bridge House, Bridge Street, Staines",yes,,2017-12-22,,0.06,9,9,"Erection of one additional floor level to the existing building, creating a second floor and change the use of the existing office building into residential thus providing 2 no. one bed apartments and 7 no. two bed apartments with associated car parking",local-authority-eng:SPE,not owned by a public authority,2016-12-15,,permissioned,full planning permission,POINT(-0.51558 51.434237),BL21,,2017-12-02
"20 Bridge Street, Staines",yes,,2018-12-21,,0.01,8,8,Erection of a four storey building of 8 self-contained flats comprising 3 no. 1 bed flats and 5 no. 2 bed flats with associated cycle parking following demolition of existing two storey buildin,local-authority-eng:SPE,not owned by a public authority,2018-07-30,,permissioned,full planning permission,POINT(-0.51597 51.43436),BL22,,2018-12-10
"5-7 Clarence Street, Staines",yes,,2018-12-21,,0.01,5,5,Prior Approval notification for the change of use of the first and second floors from office (B1) to 5 no. residential flats (C3),local-authority-eng:SPE,not owned by a public authority,2018-08-22,,permissioned,other,POINT(-0.51379 51.43358),BL23,,2018-12-10
"West Wing, Council Offices, Knowle Green, Staines",yes,,2018-12-21,,0.67,25,25,Prior approval for change of use from office (B1a) to Residential (C3) comprising 25 units.,local-authority-eng:SPE,owned by a public authority,2018-10-17,,permissioned,other,POINT(-0.50008 51.4293),BL24,,2018-12-10
"62 Kingston Road, Staines",yes,,2018-12-21,,0.02,5,5,"Demolition of existing dwelling and erection of a four-storey building to provide 4 no. one bedroom and 1 no. two bedroom flats with balconies, associated car parking, bin store and landscaping with access from Kingston Road",local-authority-eng:SPE,not owned by a public authority,2018-12-10,,permissioned,full planning permission,POINT(-0.50202 51.43305),BL25,,2018-12-10
"Strata Technology Ltd, Strata House, Batavia Road, Sunbury",yes,,2018-12-21,,,12,12,: Prior approval for the change of use from offices (use class B1a) to residential (use class C3) consisting of,local-authority-eng:SPE,not owned by a public authority,2018-12-10,,permissioned,other,POINT(-0.4075 51.41499),BL26,,2018-12-10
