name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
BR-001,Mack & Lawler Builders Ltd 2a Low Ousegate,yes,,2018-12-20,,0.02,8,8,See planning application: 16/02710/ORC. Proposed change of use from offices to flats (use class C3) under Class J Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,local-authority-eng:YOR,not owned by a public authority,2017-03-06,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.083357 53.957719),BR-001,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-001
BR-002,Pizza Hut Ltd 10 Pavement,yes,,2018-12-20,,0.03,8,8,"See planning application: 17/00835/FUL. Change of use of first, second and third floors(use Class A3) to 8no. residential units (Use Class C3)",local-authority-eng:YOR,not owned by a public authority,2017-06-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.079773 53.958527),BR-002,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-002
BR-003,Car Parking Area Holgate Road,yes,,2018-12-20,,0.03,6,6,See planning application: 15/02295/FUL. Erection of 3 storey block of 6 no. Apartments,local-authority-eng:YOR,not owned by a public authority,2016-03-01,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.094808 53.953959),BR-003,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-003
BR-004,Alma House 15 Alma Terrace,yes,,2018-12-20,,0.04,7,7,See planning application: 17/01763/FUL. Conversion of guest house (use class C1) to 7no. residential units (use class C3),local-authority-eng:YOR,not owned by a public authority,2017-10-31,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.075679 53.947261),BR-004,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-004
BR-005,The Falcon Tap 94 Micklegate,yes,,2018-12-20,,0.04,11,11,"See planning application: 17/01468/FULM. External alterations to retained ground floor public house and renovation of upper floors to form two flats, with construction of two residential blocks to rear forming 9no flats",local-authority-eng:YOR,not owned by a public authority,2017-11-13,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.089515 53.956984),BR-005,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-005
BR-006,Rear of 25 Bootham,yes,,2018-12-20,,0.04,9,9,"See planning application: 18/00376/FUL. This supersedes previous application: 17/01445/FUL. Erection of three and four storey building to accommodate ground floor commercial space (use class A1, A2, A3 and B1) and 9no. residential units and single storey rear extension to 25/27 Bootham following demolition of existing extensions (revised scheme)",local-authority-eng:YOR,not owned by a public authority,2018-04-17,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.085747 53.963454),BR-006,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-006
BR-007,Colin Hicks Motors Garage & Yard to R/O 33 Bootham,yes,,2018-12-20,,0.05,14,14,See planning application: 17/01546/FUL. This supersedes application: 15/02762/FUL. Erection of 14no. flats (use class C3) following demolition of car repair garage,local-authority-eng:YOR,not owned by a public authority,2018-01-23,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.086026 53.963905),BR-007,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-007
BR-009,26-30 Swinegate,yes,,2018-12-20,,0.06,8,8,See planning application: 16/01532/FUL. Conversion of upper floors of 4-6 Church Street and 26-30 Swinegate (use Class B1a) to form 8no. Apartments,local-authority-eng:YOR,not owned by a public authority,2016-10-07,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.081185 53.960156),BR-009,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-009
BR-012,Savilles (UK) Ltd 48 Bootham,yes,,2018-12-20,,0.12,14,14,"See planning application: 18/00550/FULM. This supersedes application: 17/01541/ORC. Conversion of office buildings to 13no. residential units including erection of two storey extension, demolition of rear extension and erection of dwelling in rear car park",local-authority-eng:YOR,not owned by a public authority,2018-10-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.087644 53.96381),BR-012,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-012
BR-013,Garage Court Site at Challoner Road,yes,,2018-12-20,,0.12,8,8,See planning application: 14/01191/FUL. Start to landscaping part of application now complete. Residential development to include 6no. apartments and 2no. houses with associated parking and landscaping,local-authority-eng:YOR,owned by a public authority,2014-08-08,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.118166 53.934619),BR-013,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-013
BR-014,1-12 Kensal Rise,yes,,2018-12-20,,0.15,6,6,"See planning application: 18/00262/FUL. This application supersedes application: 14/01857/FUL. Additional floor to accommodate 6no. roof top apartments with three new staircase pods and associated cycle stores, bin stores and parking to 1-12 Kensal Rise",local-authority-eng:YOR,not owned by a public authority,2018-04-24,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.073002 53.949101),BR-014,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-014
BR-016,Arabesque House Monks Cross Drive Huntington,yes,,2018-12-20,,0.18,56,56,See planning application: 17/01369/ORC. Proposed change of use of units 1 to 6 Arabesque House from offices (use class B1a) to 56 flats (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,local-authority-eng:YOR,not owned by a public authority,2017-07-31,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.049153 53.988741),BR-016,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-016
BR-018,G1 Newbury Avenue,yes,,2018-12-20,,0.28,5,5,See planning application: 18/00410/GRG3 this supersedes application 14/01517/GRG3. Erection of 5no. bungalows with associated gardens and parking following the demolition of existing garages,local-authority-eng:YOR,owned by a public authority,2018-05-04,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.120418 53.94561),BR-018,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-018
BR-020,Environment Agency Coverdale House Aviator Court,yes,,2018-12-20,,0.48,34,34,See planning application: 18/00172/ORC this supersedes application 17/01570/ORC. It should be noted that application: 18/01696/FUL has also been approved for Change of Use to a 24hr veterinary surgery. Proposed change of use from offices to 34no. apartments (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2,local-authority-eng:YOR,not owned by a public authority,2018-03-05,https://www.york.gov.uk/SearchPlanningApplications,permissioned,other,POINT(-1.103337 53.987566),BR-020,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-020
BR-022,York Barbican Paragon Street,yes,,2018-12-20,,0.96,187,187,"See planning application: 13/02135/FULM. Erection of 1 no. part 4/part 5 storey building comprising 175no. apartments and 1 no. 3 storey building comprising 12no. apartments with associated access, parking and landscaping",local-authority-eng:YOR,not owned by a public authority,2017-08-24,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.074263 53.953425),BR-022,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-022
BR-023,Del Monte Skelton Park Trading Estate Skelton,yes,,2018-12-20,,2.29,60,60,See planning application: 14/01478/OUTM. Residential development for up to 60 dwellings,local-authority-eng:YOR,not owned by a public authority,2016-03-09,https://www.york.gov.uk/SearchPlanningApplications,permissioned,outline planning permission,POINT(-1.13509 53.995663),BR-023,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-023
BR-024a,The Cocoa Works Haxby Road (Phase I),yes,,2018-12-20,,2.35,258,258,See planning application: 17/00284/FULM.. Conversion and extension of the former Confectionery blocks to 258no. apartments; demolition of buildings and extension to accommodate concierge and community room; erection of convenience store,local-authority-eng:YOR,not owned by a public authority,2017-09-14,https://www.york.gov.uk/SearchPlanningApplications,permissioned,full planning permission,POINT(-1.07857 53.974409),BR-024a,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-024a
BR-024b,The Cocoa Works Haxby Road (Phase II),yes,,2018-12-20,,4.7,600,600,"18/01011/OUTM Approved at November 15th 2018 Planning Committee - awaiting S106 agreement. This is a draft housing allocation site (Part of ST17) Outline planning application with all matters reserved except for means of access for a mix of uses including 425no. dwellings, offices, retail, a creche and community uses",local-authority-eng:YOR,not owned by a public authority,,https://www.york.gov.uk/SearchPlanningApplications,,other,POINT(-1.080091 53.974565),BR-024b,https://www.york.gov.uk/downloads/download/4172/brownfield_register,,/brownfield-land/local-authority-eng/YOR/BR-024b
BR-025a,Hungate Development Site (Block G),yes,,2018-12-20,,0.28,196,196,See planning application: 17/03032/REMM. Reserved matters application for Block G comprising 196 residential units with commercial floorspace at ground floor (retail/leisure uses),local-authority-eng:YOR,not owned by a public authority,2018-02-19,https://www.york.gov.uk/SearchPlanningApplications,permissioned,reserved matters approval,POINT(-1.075113 53.959076),BR-025a,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-025a
BR-025b,"Hungate Development Site (Blocks D, F & H)",yes,,2018-12-20,,1.57,466,466,"See planning application: 15/01709/OUTM. Outline consent for Blocks G (see BR-026 for Reserved matters approval) and H (179 homes TBC) for either C3/C2 and flexible commercial uses. Full application for Block D (186 homes); and Block F (101homes), community centre and multi-storey car park",local-authority-eng:YOR,not owned by a public authority,2006-07-18,https://www.york.gov.uk/SearchPlanningApplications,permissioned,outline planning permission,POINT(-1.075113 53.959076),BR-025b,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2017-12-21,/brownfield-land/local-authority-eng/YOR/BR-025b
BR-026,Simons Auto Services 17 Mansfield Street,yes,,2018-12-20,,0.02,10,10,See planning application: 17/02991/FULM. Erection of 4-storey residential block with 10no. flats and associated parking following demolition of car repair garage,local-authority-eng:YOR,not owned by a public authority,2018-09-12,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.072744 53.961422),BR-026,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-026
BR-027,Fiesta Latina 14 Clifford Street,yes,,2018-12-20,,0.04,10,10,"See planning application: 17/02224/FULM. Conversion of basement and ground floor from restaurant (use class A3) to office use (use class B1), and upper floors from office (use class B1) to 10no. dwellings (use class C3). Construction of roof extension, second floor rear extension and alterations to elevations",local-authority-eng:YOR,not owned by a public authority,2018-01-12,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.081964 53.956612),BR-027,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-027
BR-028,Bank of Scotland 6 Nessgate,yes,,2018-12-20,,0.04,16,16,"See planning application: 17/02451/ORC. Proposed change of use of first, second and third floor offices (use class B1) to 16no. residential units (use class C3), under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 as amended.",local-authority-eng:YOR,not owned by a public authority,2017-12-11,https://www.york.gov.uk/SearchPlanningApplications,,other,POINT(-1.082219 53.957531),BR-028,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-028
BR-029,Proposed Hotel 46-50 Piccadilly (Residential Part of Scheme),yes,,2018-12-20,,0.07,8,8,See planning application: 17/00429/FULM. Erection of part 5/part 6 storey hotel (140 bedrooms) with ground floor restaurant and 5 storey building comprising 8 no. apartments (class C3),local-authority-eng:YOR,not owned by a public authority,2017-12-18,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.077765 53.956292),BR-029,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-029
BR-030,Thomas Dick Ltd Hallfield Road,yes,,2018-12-20,,0.07,14,14,"See planning application: 17/02576/FULM. Erection of three storey building comprising of 14 no. residential units with associated parking, external refuse storage and private amenity areas following demolition of existing building",local-authority-eng:YOR,not owned by a public authority,2018-10-08,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.068657 53.961525),BR-030,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-030
BR-031,23 Piccadilly,yes,,2018-12-20,,0.11,24,24,See planning application: 17/02624/ORC. Proposed change of use of office (use class B1) to 24no. residential units (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015 as amended,local-authority-eng:YOR,not owned by a public authority,2017-12-28,https://www.york.gov.uk/SearchPlanningApplications,,other,POINT(-1.076786 53.956473),BR-031,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-031
BR-032,Nova 2 George Cayley Drive,yes,,2018-12-20,,0.11,9,9,See planning application: 18/00739/FUL. Erection of three storey building forming 9no. apartments.,local-authority-eng:YOR,not owned by a public authority,2018-07-13,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.098274 53.986144),BR-032,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-032
BR-033,York Post Office Employees Social Club 26 Marygate,yes,,2018-12-20,,0.12,7,7,See planning application: 18/01865/FUL. Erection of 5no. dwellings following demolition of Post Office Club function room and conversion of existing warehouse into 2no. Dwellings,local-authority-eng:YOR,not owned by a public authority,2018-10-17,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.088785 53.963198),BR-033,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-033
BR-034,Land to West of Block D Aviator Court,yes,,2018-12-20,,0.13,6,6,See planning application: 17/03067/FUL. Erection of two storey building comprising of 6no. residential apartments with associated parking and landscaping,local-authority-eng:YOR,not owned by a public authority,2018-03-05,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.103014 53.9884),BR-034,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-034
BR-035,Shepherd Engineering Services Mill Mount,yes,,2018-12-20,,0.37,21,21,See planning application: 18/00339/ORC. Proposed change of use from offices to 21no. apartments (use class C3) under Class O Part 3 Schedule 2 of Article 3 of The Town and Country Planning (General Permitted Development) Order 2015,local-authority-eng:YOR,not owned by a public authority,2018-04-06,https://www.york.gov.uk/SearchPlanningApplications,,other,POINT(-1.094288 53.95196),BR-035,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-035
BR-036,Former Lowfield School Dijon Avenue,yes,,2018-12-20,,2.32,140,140,"See planning application: 17/02428/FULM Please note that this is a mixed GF/BF site (see associated map for details) Outline consent 17/02429/OUTM estimates for a total of 165 dwellings over the whole site. (4.54ha). Erection of 96no. two and three storey houses, 26no. bungalows and three storey 18no. apartment building with new access and associated infrastructure",local-authority-eng:YOR,owned by a public authority,2018-08-21,https://www.york.gov.uk/SearchPlanningApplications,,full planning permission,POINT(-1.125567 53.951436),BR-036,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-036
BR-037,British Sugar Corporation Ltd Plantation Drive (CYC Boundary),yes,,2018-12-20,,0,1100,1100,"See planning application: 15/00524/OUTM. Outline application for the development of the site comprising up to 1,100 residential units, community uses (D1/D2) and new public open space with details of access and demolition of the Former Manor School buildings. This is a draft housing allocation site (ST1)",local-authority-eng:YOR,not owned by a public authority,2018-09-28,https://www.york.gov.uk/SearchPlanningApplications,,outline planning permission,POINT(-1.179838 51.202796),BR-037,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-037
BR-038,Former Gas Works 24 Heworth Green (Phases I & II),yes,,2018-12-20,,3.54,336,336,not permissioned. This is a draft housing allocation site (H1),local-authority-eng:YOR,not owned by a public authority,,,,other,POINT(-1.070045 53.964915),BR-038,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-038
BR-039,Burnholme School,yes,,2018-12-20,,1.9,72,72,not permissioned. This is a draft housing allocation site (H3),local-authority-eng:YOR,owned by a public authority,,,,other,POINT(-1.048099 53.964078),BR-039,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-039
BR-040,Bootham Crescent Football Ground,yes,,2018-12-20,,1.72,86,86,not permissioned. This is a draft housing allocation site (H7),local-authority-eng:YOR,not owned by a public authority,,,,other,POINT(-1.088298 53.969486),BR-040,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-040
BR-041,Askham Bar Park&Ride,yes,,2018-12-20,,1.57,60,60,not permissioned. This is a draft housing allocation site (H8),local-authority-eng:YOR,owned by a public authority,,,,other,POINT(-1.11484 53.933436),BR-041,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-041
BR-042,Former Oak Haven EPH 144 Acomb Road,yes,,2018-12-20,,0.33,56,56,not permissioned. This is a draft housing allocation site (H20),local-authority-eng:YOR,owned by a public authority,,,,other,POINT(-1.118941 53.956376),BR-042,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-042
BR-043,Willow House EPH Long Close Lane,yes,,2018-12-20,,0.2,15,15,not permissioned. This is a draft housing allocation site (H52),local-authority-eng:YOR,owned by a public authority,,,,other,POINT(-1.071626 53.954789),BR-043,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-043
BR-044,Land at Layerthorpe,yes,,2018-12-20,,0.2,20,20,not permissioned. This is a draft housing allocation site (H55),local-authority-eng:YOR,not owned by a public authority,,,,other,POINT(-1.071179 53.962596),BR-044,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-044
BR-045,York Central Leeman Road,yes,,2018-12-20,,35,1700,1700,not permissioned. This is a draft housing allocation site (ST5),local-authority-eng:YOR,not owned by a public authority,,,,other,POINT(-1.094596 53.959521),BR-045,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-045
BR-046a,Terry's Extension Site - Clock Tower,yes,,2018-12-20,,0.14,22,22,16/01646/FULM approved at 5th Jan 2017 Planning Committee (awaiting S106 agreement). This is a draft housing allocation site (Part of ST16) Conversion of Clock Tower and former Boiler House to form 22no. apartments with Museum Space and associated car parking,local-authority-eng:YOR,not owned by a public authority,,https://www.york.gov.uk/SearchPlanningApplications,,other,POINT(-1.089953 53.941069),BR-046a,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-046a
BR-046b,Terry's Extension Site - Land to Rear of Factory,yes,,2018-12-20,,1.3,56,56,18/02582/FULM submitted for 123 homes - not yet determined. This is a draft housing allocation site (Part of ST16) Application for 123 apartments submitted but not yet determined,local-authority-eng:YOR,not owned by a public authority,,https://www.york.gov.uk/SearchPlanningApplications,,other,POINT(-1.089523 53.939853),BR-046b,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-046b
BR-046c,Terry's Extension Site - Car Park,yes,,2018-12-20,,0.6,33,33,not permissioned. This is a draft housing allocation site (Part of ST16),local-authority-eng:YOR,not owned by a public authority,,,,other,POINT(-1.086565 53.940675),BR-046c,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-046c
BR-047,Castle Mills Car Park Piccadilly York,yes,,2018-12-20,,0.27,108,108,not permissioned. Agreed by CYC Executive for residential development at April 2018 meeting,local-authority-eng:YOR,owned by a public authority,,,,other,POINT(-1.077239 53.955272),BR-047,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-047
BR-048,Site Of 17 To 21 Piccadilly York,yes,,2018-12-20,,0.11,23,23,not permissioned. Agreed by CYC Executive for residential development at April 2018 meeting. N.B. This site has temporary mixed use consent through 17/00274/FUL that expires in June 2020.,local-authority-eng:YOR,owned by a public authority,,,,other,POINT(-1.077525 53.956803),BR-048,https://www.york.gov.uk/downloads/download/4172/brownfield_register,2018-12-20,/brownfield-land/local-authority-eng/YOR/BR-048
