site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date
"Police Station, 12, Bell Road, Bottisham, CAMBRIDGE, CB25 9DF",yes,,2017-12-12,,0.11,9,9,Redevelopment of former police station Construction of 9No. Flats with offstreet parking and new access road off Bell Road,local-authority-eng:ECA,owned by a public authority,2017-03-09,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFM1FRGGKPB00,permissioned,full planning permission,POINT(0.256845 52.222905),Site/02/08,https://www.eastcambs.gov.uk/sites/default/files/Site_02_08.pdf,2017-12-12
Former D S Smith Site Reach Road Burwell Burwell CB25 0AH,yes,,2017-12-12,,3.06,70,70,Approval of details for all reserved matters for the housing element ( plots 1-70) of planning application 14/00046/OUM,local-authority-eng:ECA,not owned by a public authority,2015-11-10,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NWOI9ZGGFM100&activeTab=summary,permissioned,reserved matters approval,,Site/05/06,https://www.eastcambs.gov.uk/sites/default/files/Site_05_06.pdf,2017-12-12
"1, Oak Lane, Cheveley, NEWMARKET, CB8 9RA",yes,,2017-12-12,,0.51,7,7,Residential development of site formerly Everitt & Gough 2 Oak Lane Cheveley Newmarket Suffolk,local-authority-eng:ECA,not owned by a public authority,2016-09-14,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O1JVLLGGIUA00,permissioned,outline planning permission,POINT(0.462439 52.21174),Site/06/05,https://www.eastcambs.gov.uk/sites/default/files/Site_06_05.pdf,2017-12-12
"The Grange, Nutholt Lane, Ely CB7 4EE",yes,,2017-12-12,,0.61,10,10,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,owned by a public authority,,,not permissioned,,,Site/10/11,https://www.eastcambs.gov.uk/sites/default/files/Site_10_11.pdf,2017-12-12
"Paradise Leisure Centre, Newnham St, Ely CB7 4PQ",yes,,2017-12-12,,1,50,50,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,owned by a public authority,,,not permissioned,,,Site/10/12,https://www.eastcambs.gov.uk/sites/default/files/Site_10_12.pdf,2017-12-12
"Station Gateway, Angel Drove, Ely",yes,,2017-12-12,,11.41,100,100,The site is allocated by the Local Plan for mixed-use development.,local-authority-eng:ECA,not owned by a public authority,,,not permissioned,,,Site/10/19,https://www.eastcambs.gov.uk/sites/default/files/Site_10_19.pdf,2017-12-12
"Princess of Wales Hospital, Lynn Road, Ely CB6 1DN",yes,,2017-12-12,,4.03,77,77,The Proposed Submission Local Plan identifies the site for mixed-use development.,local-authority-eng:ECA,owned by a public authority,,,not permissioned,,,Site/10/28,https://www.eastcambs.gov.uk/sites/default/files/Site_10_28.pdf,2017-12-12
Land At Barton Road Car Park Barton Road Ely Cambridgeshire,yes,,2017-12-12,,0.19,11,11,"Residential development for 11 dwellings, with minor alterations to the existing vehicular and pedestrian access.",local-authority-eng:ECA,owned by a public authority,2016-12-28,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NXYI08GGGGP00&activeTab=summary,permissioned,reserved matters approval,,Site/10/31,https://www.eastcambs.gov.uk/sites/default/files/Site_10_31.pdf,2017-12-12
"Lisle Lane, Ely, Cambridgeshire, CB7 4FA",yes,,2017-12-12,,0.71,58,58,"Demolition of existing buildings and erection of assisted living accomodation for the elderly including provision of communal facilities, car parking and landscaping",local-authority-eng:ECA,not owned by a public authority,2015-08-28,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?keyVal=NOEB8WGGHQ200&activeTab=summary,permissioned,reserved matters approval,,Site/10/32,https://www.eastcambs.gov.uk/sites/default/files/Site_10_32.pdf,2017-12-12
"Pound Store, 10, Forehill, ELY, Cambridgeshire CB7 4AF",yes,,2017-12-12,,0.1,7,7,Refurbishment and partial demolition of existing building to provide six residential townhouses and one residential flat over retained commercial unit.,local-authority-eng:ECA,not owned by a public authority,2016-06-10,http://pa.eastcambs.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O289UXGGJBL00,permissioned,full planning permission,POINT(0.266795 52.398304),Site/10/33,https://www.eastcambs.gov.uk/sites/default/files/Site_10_33.pdf,2017-12-12
