site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"Phoenix Special Purpose Machines, Hospital Street",,,2018-12-18,,0.31,11,11,Site allocation in TBC LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.697015 52.635747),BR001,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR001.pdf,2017-12-08,
Land off Cottage Farm Road,,,2018-12-18,,1.5,48,48,Site allocation in TBC LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.681157 52.610778),BR002,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR002.pdf,2017-12-08,
Derelict buildings south of B5404,,,2018-12-18,,0.17,6,6,Site allocation in TBC LP 2006-2031. Lapsed planning permission 0551/2007,,not owned by a public authority,,,not permissioned,,POINT(-1.681992 52.611262),BR003,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR003.pdf,2017-12-08,
"Norris Bros, Lichfield Street",,,2018-12-18,,0.2,20,20,Site allocation in TBC LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.699216 52.634251),BR004,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR004.pdf,2017-12-08,
"Arriva Bus Depot, Aldergate",,,2018-12-18,,0.39,40,40,Site allocation in TBC LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.694985 52.635379),BR005,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR005.pdf,2017-12-08,
Northern Part of Beauchamp Employment Area,,,2018-12-18,,1.04,34,34,Site allocation in TBC LP 2006-2031,,not owned by a public authority,,,not permissioned,,POINT(-1.676942 52.611137),BR006,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR006.pdf,2017-12-08,
Station Car Park off B5404,,,2018-12-18,,0.23,9,9,,,not owned by a public authority,,,not permissioned,,POINT(-1.680263 52.611496),BR007,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR007.pdf,2017-12-08,
"Hyundai Garage, Lichfield Street",,,2018-12-18,,0.24,12,12,,,not owned by a public authority,,,not permissioned,,POINT(-1.702254 52.634382),BR008,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR008.pdf,2017-12-08,
Factory north of B5404,,,2018-12-18,,0.17,7,7,,,not owned by a public authority,,,not permissioned,,POINT(-1.675176 52.610289),BR009,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR009.pdf,2017-12-08,
"Jewsons, Saxon Drive",,,2018-12-18,,0.51,32,32,,,not owned by a public authority,,,not permissioned,,POINT(-1.687781 52.635679),BR010,https://www.tamworth.gov.uk/sites/default/files/planning_docs/brownfield_register/BR010.pdf,2017-12-08,
