site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
"56 High Street, Saffron Walden CB10 1EF",yes,,2017-12-12,,0.09,10,5,Could incorporate town centre uses of retail; offices,local-authority-eng:UTT,not owned by a public authority,,,Not permissioned,,,UBLR/17/001,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-001
"Viceroy Coaches, Rear of 10-12 Bridge Street, Saffron Walden CB10 1BU",yes,,2017-12-12,,0.244,13,8,,local-authority-eng:UTT,not owned by a public authority,,,Not permissioned,,,UBLR/17/002,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-002
"Helena Romanes School, Parsonage Downs, Great Dunmow, CM6 2AU",yes,,2017-12-12,,3.571,135,81,,local-authority-eng:UTT,owned by a public authority,,,Not permissioned,,,UBLR/17/003,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-003
"Claypits Farm, Bardfield Road, Thaxted, CM6 2LW",yes,,2017-12-12,,0.523,23,14,UTT/18/0750/OP approved 2 October 2019,local-authority-eng:UTT,not owned by a public authority,,,Not permissioned,,,UBLR/17/004,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-004
"Jossaume, Thaxted Road, Saffron Walden CB11 3AA",yes,,2017-12-12,,0.417,20,12,,local-authority-eng:UTT,not owned by a public authority,,,Not permissioned,,,UBLR/17/005,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-005
"Former Perkins Garage Site, 14 Stortford Road, Great Dunmow, CM6 1DF",yes,,2020-12-29,,0.123,12,12,Delivered,local-authority-eng:UTT,not owned by a public authority,2013-11-08,,permissioned,full planning permission,,UBLR/17/007,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-007
"Council Depot, New Street, Great Dunmow, CM6 1BH",yes,,2017-12-12,,0.287,15,9,,local-authority-eng:UTT,owned by a public authority,,,Not permissioned,,,UBLR/17/008,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-008
"Land rear of The Kilns, Thaxted Road, Saffron Walden, CB10 2UQ",yes,,2017-12-12,,0.905,49,49,,local-authority-eng:UTT,not owned by a public authority,2016-11-16,,permissioned,outline planning permission,,UBLR/17/009,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-009
"Mill House, Royston Road, Wendens Ambo, CB11 4JX",yes,,2017-12-12,,0.02,6,6,,local-authority-eng:UTT,not owned by a public authority,2017-09-15,,permissioned,Other (Prior Approval not Required),,UBLR/17/011,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-011
"Westons Yard, Chelmsford Road, White Roding CM6 1RF",yes,,2017-12-12,,0.28,7,7,,local-authority-eng:UTT,not owned by a public authority,2017-06-16,,permissioned,outline planning permission,,UBLR/17/013,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-013
"Land east of Green Hollow, Clapton Hall Lane, Dunmow CM6 1JF",yes,,2017-12-12,,0.376,5,5,,local-authority-eng:UTT,not owned by a public authority,2017-08-31,,permissioned,outline planning permission,,UBLR/17/016,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-016
"Sabre House, Dunmow Road, Stebbing CM6 3LF",yes,,2017-12-12,,0.448,9,9,,local-authority-eng:UTT,not owned by a public authority,2017-11-28,,permissioned,outline planning permission,,UBLR/17/017,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2017-12-12,brownfield-land/local-authority-eng/UTT/UBLR-17-017
"Land Rear Of Canada Cottages, Stortford Road, Great Dunmow",yes,,2019-03-31,,0.25,7,7,,local-authority-eng:UTT,not owned by a public authority,2017-11-15,,permissioned,outline planning permission,,UBLR/19/001,http://udc.maps.arcgis.com/apps/webappviewer/index.html?id=b1f5fe0efeb84d9a853d75740eb4d907,2019-03-31,brownfield-land/local-authority-eng/UTT/UBLR-19-001
