site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
CENTRAL DOCKS,,,2018-05-22,,17.4475,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-3.002265 53.415148),613,,,brownfield-land/local-authority-eng/LIV/613
90 TOWNSEND LANE,,,2018-05-22,,0.035117,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.945587 53.429364),1040,,,brownfield-land/local-authority-eng/LIV/1040
FORMER 406-434 PARK ROAD,,,2018-05-22,,0.210665,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.959567 53.3818),1261,,,brownfield-land/local-authority-eng/LIV/1261
27-29 IVANHOE ROAD,,,2018-05-22,,0.09529,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.946817 53.381101),1648,,,brownfield-land/local-authority-eng/LIV/1648
BOND STREET / ELDON GROVE SITE,,,2018-05-22,,0.9,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.985473 53.417724),1659,,,brownfield-land/local-authority-eng/LIV/1659
SITE IN LAUREL ROAD ADJACENT TO No:17,,,2018-05-22,,0.800566,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.93628 53.411279),1704,,,brownfield-land/local-authority-eng/LIV/1704
LAND TO SOUTH OF PARK STREET BTWN UPPER ESSEX ST / TOXTETH ST,,,2018-05-22,,0.12442,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.970431 53.386871),1842,,,brownfield-land/local-authority-eng/LIV/1842
LAND BOUNDED BY HARLOW ST / HAYLOCK CLOSE / MILL STREET,,,2018-05-22,,0.351716,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.970557 53.383787),1895,,,brownfield-land/local-authority-eng/LIV/1895
FORMER 15-37 BESSEMER ST / 102-104 BERESFORD RD / 378-400 MILL STREET,,,2018-05-22,,0.36174,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.968795 53.383028),1897,,,brownfield-land/local-authority-eng/LIV/1897
FORMER 321-325 SCOTLAND RD,,,2018-05-22,,0.204784,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.982373 53.422244),1949,,,brownfield-land/local-authority-eng/LIV/1949
WALTON HOSPITAL SITE / RICE LANE,,,2018-05-22,,11.7031,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.968109 53.451484),1962,,,brownfield-land/local-authority-eng/LIV/1962
89-99 RENSHAW STREET,,,2018-05-22,,0.12253,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.975295 53.402329),2197,,,brownfield-land/local-authority-eng/LIV/2197
SOUTH EAST JUNCTION OF ISLINGTON / NORTON STREET,,,2018-05-22,,0.402386,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.974705 53.410729),2261,,,brownfield-land/local-authority-eng/LIV/2261
FORMER PLAYGROUND AND LAND TO THE EAST OF 52 TYNWALD HILL,,,2018-05-22,,0.320319,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.920364 53.421785),2381,,,brownfield-land/local-authority-eng/LIV/2381
"Land at Silverdale Avenue, Hilberry Avenue, Sutton Street Liverpool 13",,,2018-05-22,,0.166907,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.930697 53.422227),2389,,,brownfield-land/local-authority-eng/LIV/2389
FORMER ST AUGUSTINES HOME / AIGBURTH ROAD,,,2018-05-22,,0.98388,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.946465 53.376745),2403,,,brownfield-land/local-authority-eng/LIV/2403
63 & 65 DUKE STREET / 15 WOLSTENHOLME SQUARE,,,2018-05-22,,0.053109,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.98239 53.4021),2426,,,brownfield-land/local-authority-eng/LIV/2426
GARSTON UNDER THE BRIDGE REDEVELOPMENT AREA,,,2018-05-22,,7.86604,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.898137 53.349585),2560,,,brownfield-land/local-authority-eng/LIV/2560
KING EDWARD TRIANGLE,,,2018-05-22,,2.33179,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.998004 53.411175),2877,,,brownfield-land/local-authority-eng/LIV/2877
LAND AT FORMER 20-26 OAKES STREET,,,2018-05-22,,0.100343,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.968984 53.409194),3102,,,brownfield-land/local-authority-eng/LIV/3102
GRASSED AREA CORNER OF PRESCOT STREET & ERSKINE STREET,,,2018-05-22,,0.246003,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.962533 53.411322),3169,,,brownfield-land/local-authority-eng/LIV/3169
"BAPTIST CHURCH, CORNER OF WELLINGTON ROAD & MARSHSIDE CLOSE",,,2018-05-22,,0.081873,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.966645 53.385014),3732,,,brownfield-land/local-authority-eng/LIV/3732
"THE DAVID LEWIS CENTRE, CHESTER STREET / UPPER STANHOPE STREET",,,2018-05-22,,0.571781,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.972831 53.393863),3733,,,brownfield-land/local-authority-eng/LIV/3733
42-44 STANLEY STREET L1,,,2018-05-22,,0.036738,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.986495 53.406623),3750,,,brownfield-land/local-authority-eng/LIV/3750
"FORMER SARAH MCARD NURSERY, SHAW STREET",,,2018-05-22,,0.244653,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.968006 53.413813),3761,,,brownfield-land/local-authority-eng/LIV/3761
16 FLEET STREET CONCERT STEPS. L1,,,2018-05-22,,0.039691,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.981216 53.403395),3884,,,brownfield-land/local-authority-eng/LIV/3884
"THE BAY HORSE HOTEL, 14 GRINFIELD STREET",,,2018-05-22,,0.03192,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.95694 53.403421),3923,,,brownfield-land/local-authority-eng/LIV/3923
49 MARSH STREET,,,2018-05-22,,0.010457,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.98219 53.441104),3955,,,brownfield-land/local-authority-eng/LIV/3955
HOLLY COTTAGE AND LAND OF WOOD LANE,,,2018-05-22,,0.606774,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.829982 53.381396),4011,,,brownfield-land/local-authority-eng/LIV/4011
LAND BOUNDED BY SKELHORNE ST / BOLTON ST & NEW HILBRE WALK,,,2018-05-22,,0.19523,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.978101 53.40662),4019,,,brownfield-land/local-authority-eng/LIV/4019
"FORMER KELTON CONVENT, WOODLANDS ROAD",,,2018-05-22,,0.619483,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.925824 53.374551),4067,,,brownfield-land/local-authority-eng/LIV/4067
349 MILL STREET/44 HARLOW STREET,,,2018-05-22,,0.036474,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.969921 53.384278),4071,,,brownfield-land/local-authority-eng/LIV/4071
LAND AT 20-28 GLAMIS ROAD,,,2018-05-22,,0.093872,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.934469 53.428867),4079,,,brownfield-land/local-authority-eng/LIV/4079
WORKS AT 86 COLERIDGE STREET,,,2018-05-22,,0.101749,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.950414 53.413649),4186,,,brownfield-land/local-authority-eng/LIV/4186
"DYSON RYCROFT MEMORIAL HALL, BETWEEN 153&155 KENSINGTON",,,2018-05-22,,0.109658,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.951978 53.412252),4189,,,brownfield-land/local-authority-eng/LIV/4189
LAND ON THE CORNER OF WARWICK STREET & PRINCE WILLIAM STREET AND TO THE REAR OF RETAIL UNITS L8,,,2018-05-22,,0.154988,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.974361 53.390417),4202,,,brownfield-land/local-authority-eng/LIV/4202
LAND BETWEEN NEW HENDERSON STREET & SHAFTESBURY STREET L8,,,2018-05-22,,0.148511,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.974914 53.389603),4204,,,brownfield-land/local-authority-eng/LIV/4204
LAND BETWEEN NOS 10-30 NEW HENDERSON STREET L8,,,2018-05-22,,0.130715,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.975249 53.389106),4205,,,brownfield-land/local-authority-eng/LIV/4205
LAND BETWEEN SPEKELANDS & 70 OAKHILL PARK,,,2018-05-22,,0.163848,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.907254 53.408214),4222,,,brownfield-land/local-authority-eng/LIV/4222
LAND BETWEEN UPTON CLOSE & LITTLE HEATH ROAD L24,,,2018-05-22,,0.13595,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.836343 53.341585),4225,,,brownfield-land/local-authority-eng/LIV/4225
LAND ON THE CORNER OF MILL STREET/BERESFORD ROAD AND TO THE REAR OF THE FLORENCE INSTITUTE L8,,,2018-05-22,,0.1878,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.967781 53.383369),4267,,,brownfield-land/local-authority-eng/LIV/4267
SITE AT WESTWINSTER ROAD / FOLEY STREET,,,2018-05-22,,0.052174,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.978347 53.431095),4320,,,brownfield-land/local-authority-eng/LIV/4320
"BELEM TOWER & BELEM CLOSE, AIGBURTH DRIVE",,,2018-05-22,,0.602316,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.947051 53.386223),4368,,,brownfield-land/local-authority-eng/LIV/4368
137-139 KENSINGTON (AT JUNCTION WITH FARNWORTH STREET),,,2018-05-22,,0.031092,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.954122 53.411956),4399,,,brownfield-land/local-authority-eng/LIV/4399
"SITE OF FORMER CROWN P.H., 2 STOPGATE LANE, LIVERPOOL, L9",,,2018-05-22,,0.154198,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.93596 53.450815),4464,,,brownfield-land/local-authority-eng/LIV/4464
"FORMER DOG AND GUN PUBLIC HOUSE, CROXTETH HALL LANE/CARR LANE EAST, LIVERPOOL, L12",,,2018-05-22,,0.179982,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.903143 53.450591),4475,,,brownfield-land/local-authority-eng/LIV/4475
"FORMER GARAGE PREMISES AT 94 TOWNSEND LANE, (ON CORNER OF DARMONDS GREEN AVENUE), LIVERPOOL, L6",,,2018-05-22,,0.179306,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.9418 53.430976),4535,,,brownfield-land/local-authority-eng/LIV/4535
"LAND ADJACENT TO LINNET HOUSE,LINNET LANE LIVERPOOL, L8",,,2018-05-22,,0.149147,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.948603 53.385699),4536,,,brownfield-land/local-authority-eng/LIV/4536
"ALDER GRANGE, CENTRAL DRIVE. SANDFIELD PARK L12.",,,2018-05-22,,0.952634,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.903128 53.424335),4584,,,brownfield-land/local-authority-eng/LIV/4584
LAND TO THE REAR OF 563-565 AIGBURTH ROAD L19,,,2018-05-22,,0.051367,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.911541 53.361043),4659,,,brownfield-land/local-authority-eng/LIV/4659
SITE AT LONG LANE,,,2018-05-22,,0.198287,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.952864 53.463994),4661,,,brownfield-land/local-authority-eng/LIV/4661
"LEIGHTON DENE NURSING HOME, LONG LANE",,,2018-05-22,,0.541241,,,,local-authority-eng:LIV,,,,permissioned,,POINT(-2.922475 53.456709),4790,,,brownfield-land/local-authority-eng/LIV/4790
